Date;IHSG;Foreign Net Buying
Jan-23;6839.34;-3,213,397.44
Feb-23;6843.24;5,708,724.86
Mar-23;6805.28;4,123,213.19
Apr-23;6915.72;12,294,469.72
May-23;6633.26;1,671,040.05
Jun-23;6661.88;-4,377,044.70
Jul-23;6931.36;2,715,354.86
Aug-23;6953.26;-20,102,491.60
Sep-23;6939.89;-4,057,627.93
Oct-23;6752.21;-8,103,528.16
Nov-23;7080.74;-517,407.39
Dec-23;7272.8;7,670,569.51
Jan-24;7207.94;8,329,022.02
Feb-24;7316.11;10,109,420.98
Mar-24;7288.81;7,837,454.01
Apr-24;7234.2;-18,326,711.52
May-24;6970.74;-14,199,710.00
Jun-24;7063.58;-1,476,629.44
Jul-24;7255.76;6,679,249.53
Aug-24;7670.73;28,772,926.00
Sep-24;7527.93;21,917,937.71
Oct-24;7574.02;-11,273,215.89
Nov-24;7114.27;-16,810,651.96
Dec-24;7079.9;-5,030,050.55
