Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%;;
01/10/25;16,622.20;16,660.00;16,705.50;16,512.40;;-0.26%;;
01/09/25;16,665.00;16,475.00;16,800.00;16,294.00;;1.06%;;
01/08/25;16,490.00;16,512.50;16,515.00;16,085.00;;0.21%;;
01/07/25;16,455.00;16,170.00;16,466.00;16,162.50;;1.36%;;
01/06/25;16,235.00;16,320.00;16,497.50;16,187.50;;-0.34%;;
01/05/25;16,290.00;16,600.00;16,615.00;16,155.00;;-1.87%;;
01/04/25;16,600.00;16,560.00;16,972.50;16,560.00;;0.24%;;
01/03/25;16,560.00;16,540.00;16,645.00;16,260.00;;-0.12%;;
01/02/25;16,580.00;16,400.00;16,592.50;16,174.00;;1.72%;;
01/01/25;16,300.00;16,095.00;16,392.50;16,095.00;;1.31%;;
01/12/24;16,090.00;15,870.00;16,322.50;15,830.00;;1.58%;;
01/11/24;15,840.00;15,705.00;15,971.50;15,617.50;;0.96%;;
01/10/24;15,690.00;15,175.00;15,778.50;15,167.50;;3.67%;;
01/09/24;15,135.00;15,497.50;15,583.50;15,065.00;;-2.04%;;
01/08/24;15,450.00;16,255.00;16,281.50;15,295.00;;-4.95%;;
01/07/24;16,255.00;16,352.50;16,427.50;16,096.00;;-0.70%;;
01/06/24;16,370.00;16,255.00;16,482.50;16,190.00;;0.77%;;
01/05/24;16,245.00;16,250.00;16,275.00;15,912.50;;-0.06%;;
01/04/24;16,255.00;15,875.00;16,290.00;15,842.50;;2.56%;;
01/03/24;15,850.00;15,722.50;15,894.00;15,557.50;;0.89%;;
01/02/24;15,710.00;15,787.50;15,802.50;15,547.50;;-0.41%;;
01/01/24;15,775.00;15,430.00;15,847.50;15,430.00;;2.47%;;
01/12/23;15,395.00;15,520.00;15,677.50;15,380.00;;-0.71%;;
01/11/23;15,505.00;15,925.00;15,953.50;15,357.50;;-2.36%;;
01/10/23;15,880.00;15,492.50;15,967.50;15,492.50;;2.78%;;
01/09/23;15,450.00;15,227.50;15,542.50;15,215.00;;1.48%;;
01/08/23;15,225.00;15,112.50;15,359.50;15,018.50;;1.00%;;
01/07/23;15,075.00;15,005.00;15,222.00;14,913.00;;0.57%;;
01/06/23;14,990.00;14,895.00;15,052.50;14,819.50;;0.03%;;
01/05/23;14,985.00;14,645.00;15,018.50;14,565.00;;2.18%;;
01/04/23;14,665.00;15,000.00;15,012.50;14,627.50;;-2.17%;;
01/03/23;14,990.00;15,240.00;15,480.00;14,950.00;;-1.67%;;
01/02/23;15,245.00;15,000.00;15,312.50;14,835.00;;1.74%;;
01/01/23;14,985.00;15,490.00;15,643.00;14,884.00;;-3.73%;;
01/12/22;15,565.00;15,622.50;15,765.00;15,365.00;;-1.05%;;
01/11/22;15,730.00;15,630.00;15,761.50;15,392.50;;0.87%;;
01/10/22;15,595.00;15,245.00;15,651.50;15,156.50;;2.43%;;
01/09/22;15,225.00;14,865.00;15,280.00;14,815.00;;2.59%;;
