Date,Price
12/31/2025,107.5
12/30/2025,106.65
12/29/2025,107.95
12/26/2025,109.05
12/24/2025,108.25
12/23/2025,108.25
12/22/2025,108.25
12/19/2025,108.4
12/18/2025,108.3
12/17/2025,108.6
12/16/2025,108.6
12/15/2025,108.6
12/12/2025,108.5
12/11/2025,108.75
12/10/2025,109.4
12/9/2025,110.1
12/8/2025,110.5
12/5/2025,110.25
12/4/2025,108.5
12/3/2025,108.5
12/2/2025,108.8
12/1/2025,108.35
11/28/2025,111.1
11/27/2025,111
11/26/2025,111.15
11/25/2025,111.15
11/24/2025,111.15
11/21/2025,110.9
11/20/2025,111
11/19/2025,111
11/18/2025,111.5
11/17/2025,110.2
11/14/2025,110.6
11/13/2025,109.55
11/12/2025,109.5
11/11/2025,107.85
11/10/2025,109.45
11/7/2025,110.45
11/6/2025,110.65
11/5/2025,109.95
11/4/2025,110.85
11/3/2025,109.6
10/31/2025,104.15
10/30/2025,104.15
10/29/2025,103.9
10/28/2025,104.25
10/27/2025,104.25
10/24/2025,104.1
10/23/2025,104.2
10/22/2025,103.7
10/21/2025,104
10/20/2025,104
10/17/2025,103.45
10/16/2025,104.6
10/15/2025,105.85
10/14/2025,103.8
10/13/2025,104.4
10/10/2025,104.55
10/9/2025,104.5
10/8/2025,104.75
10/7/2025,104.8
10/6/2025,104.75
10/3/2025,105
10/2/2025,104.85
10/1/2025,105.55
9/30/2025,106.2
9/29/2025,106.75
9/26/2025,103.75
9/25/2025,103.85
9/24/2025,103.6
9/23/2025,103.6
9/22/2025,103.9
9/19/2025,103.35
9/18/2025,103.35
9/17/2025,102.9
9/16/2025,101.75
9/15/2025,101.5
9/12/2025,100.7
9/11/2025,100.9
9/10/2025,102.45
9/9/2025,103.85
9/8/2025,105.8
9/5/2025,107.55
9/4/2025,107
9/3/2025,108.5
9/2/2025,108.8
9/1/2025,109.9
8/29/2025,111.5
8/28/2025,111.55
8/27/2025,111.55
8/26/2025,111.55
8/25/2025,111.3
8/22/2025,111.3
8/21/2025,110.6
8/20/2025,111.5
8/19/2025,111.1
8/18/2025,111
8/15/2025,110.85
8/14/2025,110.9
8/13/2025,111.8
8/12/2025,111.7
8/11/2025,112.25
8/8/2025,113.2
8/7/2025,113.75
8/6/2025,114.5
8/5/2025,114.8
8/4/2025,114.95
8/1/2025,114.9
7/31/2025,115.15
7/30/2025,115.05
7/29/2025,115.5
7/28/2025,115.5
7/25/2025,110.2
7/24/2025,110.1
7/23/2025,109.9
7/22/2025,110.1
7/21/2025,109.85
7/18/2025,110.4
7/17/2025,110.5
7/16/2025,110
7/15/2025,110
7/14/2025,111.1
7/11/2025,112
7/10/2025,111
7/9/2025,110.25
7/8/2025,109.6
7/7/2025,109.5
7/4/2025,109.95
7/3/2025,111.25
7/2/2025,112.5
7/1/2025,111.8
6/30/2025,109.9
6/27/2025,106.5
6/26/2025,106.35
6/25/2025,106.6
6/24/2025,106.6
6/23/2025,107.25
6/20/2025,106.6
6/19/2025,107
6/18/2025,106.7
6/17/2025,106.4
6/16/2025,106
6/13/2025,105.25
6/12/2025,104.6
6/11/2025,104.45
6/10/2025,103.65
6/9/2025,105.25
6/6/2025,104.85
6/5/2025,105
6/4/2025,104.45
6/3/2025,104.25
6/2/2025,105.35
5/30/2025,100.8
5/29/2025,100.9
5/28/2025,100.9
5/27/2025,100.9
5/26/2025,100.4
5/23/2025,100.4
5/22/2025,100.1
5/21/2025,100.45
5/20/2025,100.55
5/19/2025,99.25
5/16/2025,99
5/15/2025,99
5/14/2025,99
5/13/2025,99.9
5/12/2025,99.75
5/9/2025,98.9
5/8/2025,98.5
5/7/2025,98.75
5/6/2025,99.4
5/5/2025,98.5
5/2/2025,98
5/1/2025,97.5
4/30/2025,97.5
4/29/2025,97.25
4/28/2025,95.6
4/25/2025,93.75
4/24/2025,93.8
4/23/2025,93.7
4/22/2025,93.9
4/21/2025,95.05
4/17/2025,95.05
4/16/2025,94.25
4/15/2025,95.5
4/14/2025,95.5
4/11/2025,94.85
4/10/2025,96.25
