Date,Price
12/31/2025,12423
12/30/2025,12558.5
12/29/2025,12222
12/24/2025,12162.5
12/23/2025,12060.5
12/22/2025,11925
12/19/2025,11881.5
12/18/2025,11778
12/17/2025,11737
12/16/2025,11592
12/15/2025,11655.5
12/12/2025,11515
12/11/2025,11872
12/10/2025,11556.5
12/9/2025,11487
12/8/2025,11635.5
12/5/2025,11620.5
12/4/2025,11450
12/3/2025,11487.5
12/2/2025,11145
12/1/2025,11252
11/28/2025,11189
11/27/2025,10939.5
11/26/2025,10975
11/25/2025,10818
11/24/2025,10773
11/21/2025,10777.5
11/20/2025,10738.5
11/19/2025,10752.5
11/18/2025,10719.5
11/17/2025,10778.5
11/14/2025,10852
11/13/2025,10956
11/12/2025,10944
11/11/2025,10827
11/10/2025,10796
11/7/2025,10716.5
11/6/2025,10682.5
11/5/2025,10697.5
11/4/2025,10663.5
11/3/2025,10855
10/31/2025,10887.5
10/30/2025,10917
10/29/2025,11183.5
10/28/2025,11038.5
10/27/2025,11029
10/24/2025,10962.5
10/23/2025,10854.5
10/22/2025,10663
10/21/2025,10623.5
10/20/2025,10691.5
10/17/2025,10604.5
10/16/2025,10647
10/15/2025,10641
10/14/2025,10578
10/13/2025,10820.5
10/10/2025,10518
10/9/2025,10867.5
10/8/2025,10669
10/7/2025,10761
10/6/2025,10654.5
10/3/2025,10715.5
10/2/2025,10490.5
10/1/2025,10379
9/30/2025,10268.5
9/29/2025,10414
9/26/2025,10181.5
9/25/2025,10259.5
9/24/2025,10336.5
9/23/2025,9974.5
9/22/2025,9972.5
9/19/2025,9989
9/18/2025,9940
9/17/2025,9996
9/16/2025,10126.5
9/15/2025,10186.5
9/12/2025,10067.5
9/11/2025,10051.5
9/10/2025,10013
9/9/2025,9914
9/8/2025,9915
9/5/2025,9897.5
9/4/2025,9898
9/3/2025,9975.5
9/2/2025,9980.5
9/1/2025,9884
8/29/2025,9902
8/28/2025,9818
8/27/2025,9755.5
8/26/2025,9837
8/22/2025,9796.5
8/21/2025,9724.5
