Date,Price
31/12/2025,4319.37
30/12/2025,4339.49
29/12/2025,4332.35
26/12/2025,4533.21
24/12/2025,4479.42
23/12/2025,4484.47
22/12/2025,4443.6
19/12/2025,4338.88
18/12/2025,4332.62
17/12/2025,4338.33
16/12/2025,4302.32
15/12/2025,4305.01
12/12/2025,4299.63
11/12/2025,4280.18
10/12/2025,4228.84
09/12/2025,4208.24
08/12/2025,4190.66
05/12/2025,4197.78
04/12/2025,4207.62
03/12/2025,4203.08
02/12/2025,4205.85
01/12/2025,4232.21
28/11/2025,4239.43
27/11/2025,4157.61
26/11/2025,4162.15
25/11/2025,4130.69
24/11/2025,4136.31
21/11/2025,4065.14
20/11/2025,4077.19
19/11/2025,4077.98
18/11/2025,4067.24
17/11/2025,4044.96
14/11/2025,4084.06
13/11/2025,4171.52
12/11/2025,4195.39
11/11/2025,4126.85
10/11/2025,4115.76
07/11/2025,4001.26
06/11/2025,3977.21
05/11/2025,3979.57
04/11/2025,3932.09
03/11/2025,4001.42
31/10/2025,4002.92
30/10/2025,4024.54
29/10/2025,3930.07
28/10/2025,3952.14
27/10/2025,3982.21
24/10/2025,4113.05
23/10/2025,4126.28
22/10/2025,4098.42
21/10/2025,4125.22
20/10/2025,4356.3
17/10/2025,4251.82
16/10/2025,4326.58
15/10/2025,4207.48
14/10/2025,4142.94
13/10/2025,4110.27
10/10/2025,4017.79
09/10/2025,3976.86
08/10/2025,4042.03
07/10/2025,3984.85
06/10/2025,3960.98
03/10/2025,3886.54
02/10/2025,3856.58
01/10/2025,3865.74
30/09/2025,3858.96
29/09/2025,3833.55
26/09/2025,3759.98
25/09/2025,3749.44
24/09/2025,3736.16
23/09/2025,3764.01
22/09/2025,3746.7
19/09/2025,3685.3
18/09/2025,3644.28
17/09/2025,3659.9
16/09/2025,3689.98
15/09/2025,3678.99
12/09/2025,3643.14
11/09/2025,3634.07
10/09/2025,3640.75
09/09/2025,3626.63
08/09/2025,3635.98
05/09/2025,3586.69
04/09/2025,3545.85
03/09/2025,3559.42
02/09/2025,3533.16
01/09/2025,3476.07
29/08/2025,3447.95
28/08/2025,3417.08
27/08/2025,3397.37
26/08/2025,3393.57
25/08/2025,3365.89
22/08/2025,3371.86
21/08/2025,3338.71
20/08/2025,3348.43
19/08/2025,3315.78
18/08/2025,3332.72
15/08/2025,3336.19
14/08/2025,3335.39
13/08/2025,3355.86
12/08/2025,3348.26
11/08/2025,3342.37
08/08/2025,3397.75
07/08/2025,3396.38
06/08/2025,3369.33
05/08/2025,3380.6
04/08/2025,3373.59
01/08/2025,3363.48
31/07/2025,3289.93
30/07/2025,3275.18
29/07/2025,3326.62
28/07/2025,3314.61
25/07/2025,3337.3
24/07/2025,3368.68
23/07/2025,3387.29
22/07/2025,3431.48
21/07/2025,3397.05
18/07/2025,3349.94
17/07/2025,3338.97
16/07/2025,3347.13
15/07/2025,3324.55
14/07/2025,3343.51
11/07/2025,3355.59
10/07/2025,3324.05
09/07/2025,3313.66
08/07/2025,3301.92
07/07/2025,3336.5
04/07/2025,3337.15
03/07/2025,3326.12
02/07/2025,3357.45
01/07/2025,3338.84
30/06/2025,3303.14
27/06/2025,3274.33
26/06/2025,3327.92
25/06/2025,3332.33
24/06/2025,3323.67
23/06/2025,3368.48
20/06/2025,3368.39
19/06/2025,3370.9
18/06/2025,3369.38
17/06/2025,3388.11
16/06/2025,3385.23
13/06/2025,3432.34
12/06/2025,3385.92
11/06/2025,3355.12
10/06/2025,3323.69
09/06/2025,3326.19
06/06/2025,3310.42
05/06/2025,3352.65
04/06/2025,3372.72
03/06/2025,3353.43
02/06/2025,3381.59
30/05/2025,3289.25
29/05/2025,3317.94
28/05/2025,3287.48
27/05/2025,3300.87
26/05/2025,3343.84
23/05/2025,3357.51
22/05/2025,3294.52
21/05/2025,3314.96
20/05/2025,3290.13
19/05/2025,3229.56
16/05/2025,3203.65
15/05/2025,3240.1
14/05/2025,3177.25
13/05/2025,3250.31
12/05/2025,3236.39
09/05/2025,3324.98
08/05/2025,3305.72
07/05/2025,3364.5
06/05/2025,3431.77
05/05/2025,3334.12
02/05/2025,3240.49
01/05/2025,3239.2
30/04/2025,3288.71
29/04/2025,3317.41
28/04/2025,3343.98
25/04/2025,3319.72
24/04/2025,3349.43
23/04/2025,3288.34
22/04/2025,3380.63
21/04/2025,3423.98
17/04/2025,3326.85
16/04/2025,3343.12
15/04/2025,3230.72
14/04/2025,3210.93
11/04/2025,3237.61
10/04/2025,3176.23
09/04/2025,3082.7
08/04/2025,2983.27
07/04/2025,2983.28
04/04/2025,3038.24
03/04/2025,3115.34
02/04/2025,3134.17
01/04/2025,3113.38
31/03/2025,3123.57
28/03/2025,3085.12
27/03/2025,3057.29
26/03/2025,3019.38
25/03/2025,3020.09
24/03/2025,3011.04
21/03/2025,3022.15
20/03/2025,3044.9
19/03/2025,3047.79
18/03/2025,3034.73
17/03/2025,3000.6
14/03/2025,2984.16
13/03/2025,2989.18
12/03/2025,2934.77
11/03/2025,2915.9
10/03/2025,2888.71
07/03/2025,2909.1
06/03/2025,2911.8
05/03/2025,2919.39
04/03/2025,2917.89
03/03/2025,2892.73
28/02/2025,2857.83
27/02/2025,2877.52
26/02/2025,2916.39
25/02/2025,2914.98
24/02/2025,2951.73
21/02/2025,2936.05
20/02/2025,2938.98
19/02/2025,2933.39
18/02/2025,2936.02
17/02/2025,2896.56
14/02/2025,2882.53
13/02/2025,2928.21
12/02/2025,2904.04
11/02/2025,2897.91
10/02/2025,2908.26
07/02/2025,2861.07
06/02/2025,2856.28
05/02/2025,2867.24
04/02/2025,2842.71
03/02/2025,2815.21
31/01/2025,2798.41
30/01/2025,2794.59
29/01/2025,2759.36
28/01/2025,2763.51
27/01/2025,2740.81
24/01/2025,2770.58
23/01/2025,2754.87
22/01/2025,2756.48
21/01/2025,2744.81
20/01/2025,2708.21
17/01/2025,2703.25
16/01/2025,2714.31
15/01/2025,2696.32
14/01/2025,2677.46
13/01/2025,2663.16
10/01/2025,2689.76
09/01/2025,2667.25
08/01/2025,2661.94
07/01/2025,2648.59
06/01/2025,2636.47
03/01/2025,2640.22
02/01/2025,2657.9
31/12/2024,2624.5
30/12/2024,2606.5
27/12/2024,2621.4
26/12/2024,2633.58
24/12/2024,2616.87
23/12/2024,2612.56
20/12/2024,2622.91
19/12/2024,2594.01
18/12/2024,2585.35
17/12/2024,2646.83
16/12/2024,2652.72
13/12/2024,2648.23
12/12/2024,2680.73
11/12/2024,2718.23
10/12/2024,2694.25
09/12/2024,2660.3
06/12/2024,2633.37
05/12/2024,2631.67
04/12/2024,2649.9
03/12/2024,2643.49
02/12/2024,2639.13
29/11/2024,2643.15
28/11/2024,2637.92
27/11/2024,2636.02
26/11/2024,2633.15
25/11/2024,2625.01
22/11/2024,2716.19
21/11/2024,2669.72
20/11/2024,2650.6
19/11/2024,2632.08
18/11/2024,2611.83
15/11/2024,2563.25
