Date,Price
12/31/2025,16646
12/30/2025,16828
12/29/2025,15814
12/24/2025,15786
12/23/2025,15739
12/22/2025,15276
12/19/2025,14803
12/18/2025,14641
12/17/2025,14392
12/16/2025,14263
12/15/2025,14346
12/12/2025,14587
12/11/2025,14626
12/10/2025,14652
12/9/2025,14734
12/8/2025,14840
12/5/2025,14940
12/4/2025,14897
12/3/2025,14873
12/2/2025,14800
12/1/2025,14928
11/28/2025,14829
11/27/2025,14833
11/26/2025,14823
11/25/2025,14872
11/24/2025,14699
11/21/2025,14455
11/20/2025,14501
11/19/2025,14650
11/18/2025,14638
11/17/2025,14650
11/14/2025,14891
11/13/2025,14981
11/12/2025,15053
11/11/2025,15053
11/10/2025,15108
11/7/2025,15060
11/6/2025,15038
11/5/2025,15035
11/4/2025,15075
11/3/2025,15142
10/31/2025,15226
10/30/2025,15230
10/29/2025,15366
10/28/2025,15296
10/27/2025,15275
10/24/2025,15361
10/23/2025,15363
10/22/2025,15163
10/21/2025,15175
10/20/2025,15222
10/17/2025,15126
10/16/2025,15267
10/15/2025,15194
10/14/2025,15135
10/13/2025,15206
10/10/2025,15280
10/9/2025,15492
10/8/2025,15346
10/7/2025,15489
10/6/2025,15482
10/3/2025,15433
10/2/2025,15317
10/1/2025,15184
9/30/2025,15235
9/29/2025,15318
9/26/2025,15175
9/25/2025,15279
9/24/2025,15417
9/23/2025,15354
9/22/2025,15213
9/19/2025,15271
9/18/2025,15272
9/17/2025,15405
9/16/2025,15428
9/15/2025,15436
9/12/2025,15391
9/11/2025,15150
9/10/2025,15146
9/9/2025,15105
9/8/2025,15229
9/5/2025,15235
9/4/2025,15236
9/3/2025,15304
9/2/2025,15232
9/1/2025,15439
8/29/2025,15421
8/28/2025,15263
8/27/2025,15131
8/26/2025,15285
8/22/2025,15100
8/21/2025,14929
8/20/2025,15008
8/19/2025,15006
8/18/2025,15151
8/15/2025,15161
8/14/2025,15031
8/13/2025,15264
8/12/2025,15332
8/11/2025,15351
8/8/2025,15156
8/7/2025,15118
8/6/2025,15135
8/5/2025,15024
8/4/2025,15066
8/1/2025,14987
7/31/2025,14936
7/30/2025,15021
7/29/2025,15316
7/28/2025,15269
7/25/2025,15320
7/24/2025,15465
7/23/2025,15572
7/22/2025,15528
7/21/2025,15523
7/18/2025,15218
7/17/2025,15096
7/16/2025,15026
7/15/2025,15146
7/14/2025,15064
7/11/2025,15198
7/10/2025,15290
7/9/2025,14979
7/8/2025,15042
7/7/2025,15177
7/4/2025,15290
7/3/2025,15451
7/2/2025,15302
7/1/2025,15206
6/30/2025,15215
6/27/2025,15245
6/26/2025,15209
6/25/2025,15074
6/24/2025,14920
6/23/2025,14804
6/20/2025,15011
6/19/2025,15056
6/18/2025,15053
6/17/2025,14924
6/16/2025,15069
6/13/2025,15128
6/12/2025,15142
6/11/2025,15177
6/10/2025,15318
6/9/2025,15421
6/6/2025,15487
6/5/2025,15523
6/4/2025,15395
6/3/2025,15438
6/2/2025,15537
5/30/2025,15237
5/29/2025,15376
5/28/2025,15011
5/27/2025,15409
5/23/2025,15594
5/22/2025,15494
5/21/2025,15602
5/20/2025,15518
5/19/2025,15562
5/16/2025,15648
5/15/2025,15799
5/14/2025,15871
5/13/2025,15735
5/12/2025,15635
5/9/2025,15804
5/8/2025,15535
5/7/2025,15548
5/6/2025,15698
5/2/2025,15480
5/1/2025,15252
4/30/2025,15418
4/29/2025,15550
4/28/2025,15615
4/25/2025,15545
4/24/2025,15821
4/23/2025,15662
4/22/2025,15682
4/17/2025,15622
4/16/2025,15683
4/15/2025,15558
4/14/2025,15307
4/11/2025,15069
4/10/2025,14798
4/9/2025,14084
4/8/2025,14180
4/7/2025,14364
4/4/2025,14758
4/3/2025,15732
4/2/2025,15964
4/1/2025,16107
3/31/2025,15918
3/28/2025,16380
3/27/2025,16247
3/26/2025,16245
3/25/2025,16161
3/24/2025,16013
3/21/2025,16057
3/20/2025,16284
3/19/2025,16399
3/18/2025,16249
3/17/2025,16430
3/14/2025,16470
3/13/2025,16506
3/12/2025,16641
3/11/2025,16493
3/10/2025,16551
3/7/2025,16504
3/6/2025,16298
3/5/2025,15901
3/4/2025,15983
3/3/2025,15893
2/28/2025,15433
2/27/2025,15832
2/26/2025,15580
2/25/2025,15336
2/24/2025,15445
2/21/2025,15517
2/20/2025,15665
2/19/2025,15404
2/18/2025,15349
2/17/2025,15490
2/14/2025,15468
2/13/2025,15374
2/12/2025,15420
2/11/2025,15538
2/10/2025,15522
2/7/2025,15756
2/6/2025,15811
2/5/2025,15535
2/4/2025,15270
2/3/2025,15208
1/31/2025,15210
1/30/2025,15394
1/29/2025,15499
1/28/2025,15435
1/27/2025,15560
1/24/2025,15668
1/23/2025,15668
1/22/2025,15718
1/21/2025,16078
1/20/2025,16102
1/17/2025,16097
1/16/2025,15963
1/15/2025,15850
1/14/2025,15956
1/13/2025,15901
1/10/2025,15658
1/9/2025,15482
1/8/2025,15451
1/7/2025,15398
1/6/2025,15182
1/3/2025,15111
1/2/2025,15078
12/31/2024,15328
12/30/2024,15415
12/27/2024,15311
12/24/2024,15477
12/23/2024,15292
12/20/2024,15356
12/19/2024,15113
12/18/2024,15508
12/17/2024,15503
12/16/2024,15708
12/13/2024,15862
12/12/2024,16168
12/11/2024,15858
12/10/2024,15715
12/9/2024,15996
12/6/2024,16047
12/5/2024,15974
12/4/2024,16107
12/3/2024,16015
12/2/2024,15693
11/29/2024,15903
11/28/2024,16064
11/27/2024,15883
11/26/2024,15996
11/25/2024,16203
11/22/2024,15970
11/21/2024,15714
11/20/2024,15906
11/19/2024,15866
11/18/2024,15729
11/15/2024,15540
11/14/2024,15619
11/13/2024,15730
11/12/2024,15897
11/11/2024,16108
11/8/2024,16397
11/7/2024,16587
11/6/2024,16127
11/5/2024,16123
11/4/2024,16007
11/1/2024,15944
10/31/2024,15718
10/30/2024,15816
10/29/2024,15873
10/28/2024,16015
10/25/2024,16167
10/24/2024,16295
10/23/2024,16308
10/22/2024,16316
10/21/2024,16705
10/18/2024,16897
10/17/2024,17005
10/16/2024,17279
10/15/2024,17424
10/14/2024,17670
10/11/2024,17864
10/10/2024,17541
10/9/2024,17371
10/8/2024,17776
10/7/2024,18052
10/4/2024,17992
10/3/2024,17589
10/2/2024,18153
10/1/2024,17711
9/30/2024,17514
9/27/2024,16996
9/26/2024,16745
9/25/2024,16796
9/24/2024,16710
9/23/2024,16544
9/20/2024,16510
9/19/2024,16333
9/18/2024,16233
9/17/2024,16188
9/16/2024,16284
9/13/2024,15944
9/12/2024,16136
9/11/2024,16112
9/10/2024,15741
9/9/2024,15903
9/6/2024,15893
9/5/2024,16078
9/4/2024,16214
9/3/2024,16462
9/2/2024,16625
8/30/2024,16766
8/29/2024,17003
8/28/2024,17019
8/27/2024,17136
8/23/2024,16758
8/22/2024,16603
8/21/2024,16910
8/20/2024,17035
8/19/2024,16666
8/16/2024,16373
8/15/2024,16319
8/14/2024,16276
8/13/2024,16321
8/12/2024,16355
8/9/2024,16150
8/8/2024,16143
8/7/2024,16296
8/6/2024,16385
8/5/2024,16276
8/2/2024,16273
8/1/2024,16282
7/31/2024,16604
7/30/2024,16071
7/29/2024,15837
7/26/2024,15794
7/25/2024,15769
7/24/2024,15827
7/23/2024,16021
7/22/2024,16190
7/19/2024,16256
7/18/2024,16423
7/17/2024,16457
7/16/2024,16594
7/15/2024,16701
7/12/2024,16856
7/11/2024,16809
7/10/2024,16891
7/9/2024,17142
7/8/2024,17473
7/5/2024,17341
7/4/2024,17217
7/3/2024,17323
7/2/2024,17004
7/1/2024,17357
6/28/2024,17291
6/27/2024,17103
6/26/2024,17056
6/25/2024,17167
6/24/2024,17325
6/21/2024,17224
6/20/2024,17424
6/19/2024,17372
6/18/2024,17294
6/17/2024,17467
6/14/2024,17575
6/13/2024,17645
6/12/2024,18061
6/11/2024,17818
6/10/2024,17891
6/7/2024,18031
6/6/2024,18531
6/5/2024,18288
6/4/2024,19068
6/3/2024,19422
5/31/2024,19710
5/30/2024,20063
5/29/2024,20490
5/28/2024,20467
5/24/2024,20250
5/23/2024,20084
5/22/2024,20366
5/21/2024,21304
5/20/2024,21615
5/17/2024,21080
5/16/2024,19797
5/15/2024,19489
5/14/2024,19075
5/13/2024,19230
5/10/2024,18952
5/9/2024,19033
5/8/2024,18885
5/7/2024,19256
5/3/2024,19237
5/2/2024,18648
5/1/2024,18879
4/30/2024,19238
4/29/2024,19148
4/26/2024,19100
4/25/2024,19157
4/24/2024,18945
4/23/2024,19006
4/22/2024,19739
4/19/2024,19326
4/18/2024,18559
4/17/2024,18238
4/16/2024,17726
4/15/2024,17846
4/12/2024,17797
4/11/2024,17811
4/10/2024,18364
4/9/2024,18219
4/8/2024,17848
4/5/2024,17804
4/4/2024,17711
4/3/2024,17339
4/2/2024,17030
3/28/2024,16749
3/27/2024,16620
3/26/2024,16640
3/25/2024,16937
3/22/2024,17242
3/21/2024,17541
3/20/2024,17492
3/19/2024,17395
3/18/2024,17872
3/15/2024,18074
3/14/2024,18077
3/13/2024,18346
3/12/2024,18551
3/11/2024,18377
3/8/2024,18011
3/7/2024,17983
3/6/2024,17717
3/5/2024,17759
3/4/2024,17945
3/1/2024,17662
2/29/2024,17896
2/28/2024,17601
2/27/2024,17460
2/26/2024,17169
2/23/2024,17495
2/22/2024,17392
2/21/2024,16930
2/20/2024,16347
2/19/2024,16349
2/16/2024,16356
2/15/2024,16258
2/14/2024,16346
2/13/2024,16261
2/12/2024,16040
2/9/2024,15921
2/8/2024,16007
2/7/2024,16012
2/6/2024,15927
2/5/2024,16020
2/2/2024,16235
2/1/2024,16230
1/31/2024,16269
1/30/2024,16508
1/29/2024,16439
1/26/2024,16785
1/25/2024,16701
1/24/2024,16648
1/23/2024,16306
1/22/2024,16007
1/19/2024,16036
1/18/2024,16156
1/17/2024,16079
1/16/2024,16150
1/15/2024,16218
