Date,STI
31/12/2025,4646.21
30/12/2025,4655.38
29/12/2025,4633.64
26/12/2025,4636.15
25/12/2025,4636.34
24/12/2025,4636.34
23/12/2025,4638.97
22/12/2025,4610.29
19/12/2025,4569.78
18/12/2025,4570.61
17/12/2025,4575.48
16/12/2025,4579.73
15/12/2025,4589.17
12/12/2025,4586.45
11/12/2025,4520.83
10/12/2025,4511.9
09/12/2025,4513.24
08/12/2025,4507.08
05/12/2025,4531.36
04/12/2025,4535.14
03/12/2025,4554.52
02/12/2025,4537.96
01/12/2025,4526.22
28/11/2025,4523.96
27/11/2025,4509.34
26/11/2025,4501.56
25/11/2025,4485.63
24/11/2025,4496.63
21/11/2025,4469.14
20/11/2025,4511.87
19/11/2025,4505.22
18/11/2025,4504.67
17/11/2025,4543.59
14/11/2025,4546.07
13/11/2025,4575.91
12/11/2025,4568.91
11/11/2025,4542.2
10/11/2025,4488.13
07/11/2025,4492.24
06/11/2025,4484.99
05/11/2025,4417.12
04/11/2025,4422.72
03/11/2025,4444.33
31/10/2025,4428.62
30/10/2025,4437.44
29/10/2025,4440.21
28/10/2025,4450.36
27/10/2025,4440.3
24/10/2025,4422.21
23/10/2025,4416.27
22/10/2025,4393.92
21/10/2025,4381.05
17/10/2025,4328.93
16/10/2025,4356.2
15/10/2025,4368.42
14/10/2025,4354.52
13/10/2025,4389.84
10/10/2025,4427.06
09/10/2025,4440.5
08/10/2025,4456.3
07/10/2025,4472.26
06/10/2025,4421.71
03/10/2025,4411.95
02/10/2025,4395.21
01/10/2025,4323.12
30/09/2025,4300.16
29/09/2025,4269.98
26/09/2025,4265.98
25/09/2025,4273.86
24/09/2025,4290.4
23/09/2025,4302.67
22/09/2025,4297.37
19/09/2025,4302.71
18/09/2025,4312.62
17/09/2025,4323.78
16/09/2025,4337.74
15/09/2025,4338.42
12/09/2025,4344.24
11/09/2025,4355.82
10/09/2025,4346.46
09/09/2025,4297.57
08/09/2025,4308.52
05/09/2025,4307.08
04/09/2025,4296.83
03/09/2025,4289.33
02/09/2025,4298.51
01/09/2025,4276.07
29/08/2025,4269.7
28/08/2025,4253.78
27/08/2025,4245.57
26/08/2025,4243.71
25/08/2025,4256.49
22/08/2025,4253.02
