Date,Price
12/31/2025,71.6633
12/30/2025,76.2945
12/29/2025,72.137
12/26/2025,79.2708
12/24/2025,71.87
12/23/2025,71.43
12/22/2025,69.0383
12/19/2025,67.1582
12/18/2025,65.4736
12/17/2025,66.2655
12/16/2025,63.7557
12/15/2025,64.0876
12/12/2025,61.9608
12/11/2025,63.5586
12/10/2025,61.8074
12/9/2025,60.6703
12/8/2025,58.1556
12/5/2025,58.3414
12/4/2025,57.1357
12/3/2025,58.5007
12/2/2025,58.4695
12/1/2025,57.989
11/28/2025,56.5003
11/27/2025,53.3991
11/26/2025,53.36
11/25/2025,51.4701
11/24/2025,51.3626
11/21/2025,50.0204
11/20/2025,50.6642
11/19/2025,51.3595
11/18/2025,50.7028
11/17/2025,50.2199
11/14/2025,50.5845
11/13/2025,52.2971
11/12/2025,53.2485
11/11/2025,51.2213
11/10/2025,50.5104
11/7/2025,48.3229
11/6/2025,48.0345
11/5/2025,48.0154
11/4/2025,47.1593
11/3/2025,48.0777
10/31/2025,48.6894
10/30/2025,48.9284
10/29/2025,47.5539
10/28/2025,47.0619
10/27/2025,46.8541
10/24/2025,48.629
10/23/2025,48.92
10/22/2025,48.4926
10/21/2025,48.7115
10/20/2025,52.4483
10/17/2025,51.9206
10/16/2025,54.2404
10/15/2025,53.0308
10/14/2025,51.4338
10/13/2025,52.3722
10/10/2025,50.1479
10/9/2025,49.285
10/8/2025,48.8874
10/7/2025,47.8295
10/6/2025,48.5115
10/3/2025,48.0003
10/2/2025,46.9929
10/1/2025,47.318
9/30/2025,46.6459
9/29/2025,46.93
9/26/2025,46.0803
9/25/2025,45.1834
9/24/2025,43.9179
9/23/2025,44.0253
9/22/2025,44.0617
9/19/2025,43.0841
9/18/2025,41.8269
9/17/2025,41.6749
9/16/2025,42.5639
9/15/2025,42.6806
9/12/2025,42.1866
9/11/2025,41.5578
9/10/2025,41.172
9/9/2025,40.874
9/8/2025,41.354
9/5/2025,41.0042
9/4/2025,40.6747
9/3/2025,41.2103
9/2/2025,40.8825
9/1/2025,40.6965
8/29/2025,39.7189
8/28/2025,39.0541
8/27/2025,38.599
8/26/2025,38.6107
8/25/2025,38.5745
8/22/2025,38.8888
8/21/2025,38.1462
8/20/2025,37.9002
8/19/2025,37.3927
8/18/2025,38.0213
8/15/2025,38.001
8/14/2025,38.0145
8/13/2025,38.5045
8/12/2025,37.9143
8/11/2025,37.6139
8/8/2025,38.3444
8/7/2025,38.268
8/6/2025,37.8301
8/5/2025,37.8165
8/4/2025,37.4106
8/1/2025,37.0375
7/31/2025,36.7134
7/30/2025,37.1322
7/29/2025,38.208
7/28/2025,38.1687
7/25/2025,38.16
7/24/2025,39.068
7/23/2025,39.2656
7/22/2025,39.2925
7/21/2025,38.9302
7/18/2025,38.175
7/17/2025,38.1423
7/16/2025,37.9101
7/15/2025,37.7065
7/14/2025,38.1374
7/11/2025,38.4154
7/10/2025,37.0028
7/9/2025,36.3889
