Date,Price
12/31/2025,40556
12/30/2025,41954
12/29/2025,40743
12/24/2025,42815
12/23/2025,42792
12/22/2025,42947
12/19/2025,43227
12/18/2025,42927
12/17/2025,42275
12/16/2025,41025
12/15/2025,40947
12/12/2025,41337
12/11/2025,41751
12/10/2025,40004
12/9/2025,39858
12/8/2025,39884
12/5/2025,40068
12/4/2025,40378
12/3/2025,40780
12/2/2025,39040
12/1/2025,39136
11/28/2025,39161
11/27/2025,38041
11/26/2025,37991
11/25/2025,37547
11/24/2025,37384
11/21/2025,36895
11/20/2025,37068
11/19/2025,36953
11/18/2025,36873
11/17/2025,36886
11/14/2025,36787
11/13/2025,37232
11/12/2025,37399
11/11/2025,36617
11/10/2025,36024
11/7/2025,35822
11/6/2025,35845
11/5/2025,35649
11/4/2025,35814
11/3/2025,36047
10/31/2025,36086
10/30/2025,35792
10/29/2025,36184
10/28/2025,36361
10/27/2025,35970
10/24/2025,35802
10/23/2025,35772
10/22/2025,35364
10/21/2025,35400
10/20/2025,35304
10/17/2025,35037
10/16/2025,35772
10/15/2025,35393
10/14/2025,35189
10/13/2025,35726
10/10/2025,36173
10/9/2025,37060
10/8/2025,36396
10/7/2025,36540
10/6/2025,36798
10/3/2025,37455
10/2/2025,36888
10/1/2025,36013
9/30/2025,35410
9/29/2025,35490
9/26/2025,34503
9/25/2025,34440
9/24/2025,34321
9/23/2025,34302
9/22/2025,34017
9/19/2025,34172
9/18/2025,33711
9/17/2025,34345
9/16/2025,34881
9/15/2025,34639
9/12/2025,34975
9/11/2025,34698
9/10/2025,34606
9/9/2025,34009
9/8/2025,34262
9/5/2025,34314
9/4/2025,34556
9/3/2025,34662
9/2/2025,34733
9/1/2025,34952
8/29/2025,35018
8/28/2025,34802
8/27/2025,34553
8/26/2025,34198
8/22/2025,33809
8/21/2025,33420
8/20/2025,33650
8/19/2025,33850
8/18/2025,33702
8/15/2025,33694
8/14/2025,33464
8/13/2025,33730
8/12/2025,33886
8/11/2025,33805
8/8/2025,33624
