date,bi_interest_rate
01/01/15,7.75%
01/02/15,7.50%
01/03/15,7.50%
01/04/15,7.50%
01/05/15,7.50%
01/06/15,7.50%
01/07/15,7.50%
01/08/15,7.50%
01/09/15,7.50%
01/10/15,7.50%
01/11/15,7.50%
01/12/15,7.50%
01/01/16,7.25%
01/02/16,7.00%
01/03/16,6.75%
01/04/16,6.75%
01/05/16,6.75%
01/06/16,6.50%
01/07/16,6.50%
01/08/16,5.25%
01/09/16,5.00%
01/10/16,4.75%
01/11/16,4.75%
01/12/16,4.75%
01/01/17,4.75%
01/02/17,4.75%
01/03/17,4.75%
01/04/17,4.75%
01/05/17,4.75%
01/06/17,4.75%
01/07/17,4.75%
01/08/17,4.50%
01/09/17,4.25%
01/10/17,4.25%
01/11/17,4.25%
01/12/17,4.25%
01/01/18,4.25%
01/02/18,4.25%
01/03/18,4.25%
01/04/18,4.25%
01/05/18,4.75%
01/06/18,5.25%
01/07/18,5.25%
01/08/18,5.50%
01/09/18,5.75%
01/10/18,5.75%
01/11/18,6.00%
01/12/18,6.00%
01/01/19,6.00%
01/02/19,6.00%
01/03/19,6.00%
01/04/19,6.00%
01/05/19,6.00%
01/06/19,6.00%
01/07/19,5.75%
01/08/19,5.50%
01/09/19,5.25%
01/10/19,5.00%
01/11/19,5.00%
01/12/19,5.00%
01/01/20,5.00%
01/02/20,4.75%
01/03/20,4.50%
01/04/20,4.50%
01/05/20,4.50%
01/06/20,4.25%
01/07/20,4.00%
01/08/20,4.00%
01/09/20,4.00%
01/10/20,4.00%
01/11/20,3.75%
01/12/20,3.75%
01/01/21,3.75%
01/02/21,3.50%
01/03/21,3.50%
01/04/21,3.50%
01/05/21,3.50%
01/06/21,3.50%
01/07/21,3.50%
01/08/21,3.50%
01/09/21,3.50%
01/10/21,3.50%
01/11/21,3.50%
01/12/21,3.50%
01/01/22,3.50%
01/02/22,3.50%
01/03/22,3.50%
01/04/22,3.50%
01/05/22,3.50%
01/06/22,3.50%
01/07/22,3.50%
01/08/22,3.75%
01/09/22,4.25%
01/10/22,4.75%
01/11/22,5.25%
01/12/22,5.50%
01/01/23,5.75%
01/02/23,5.75%
01/03/23,5.75%
01/04/23,5.75%
01/05/23,5.75%
01/06/23,5.75%
01/07/23,5.75%
01/08/23,5.75%
01/09/23,5.75%
01/10/23,6.00%
01/11/23,6.00%
01/12/23,6.00%
01/01/24,6.00%
01/02/24,6.00%
01/03/24,6.00%
01/04/24,6.25%
01/05/24,6.25%
01/06/24,6.25%
01/07/24,6.25%
01/08/24,6.25%
01/09/24,6.00%
01/10/24,6.00%
01/11/24,6.00%
01/12/24,6.00%
01/01/25,5.75%
