Date,CPI
1968-01-31,0.4569581
1968-02-29,0.502654
1968-03-31,0.5178859
1968-04-30,0.487422
1968-05-31,0.5128086
1968-06-30,0.5280405
1968-07-31,0.5534271
1968-08-31,0.568659
1968-09-30,0.568659
1968-10-31,0.5635817
1968-11-30,0.6905145
1968-12-31,0.6092775
1969-01-31,0.6194322
1969-02-28,0.6295868
1969-03-31,0.6448187
1969-04-30,0.6143548
1969-05-31,0.6143548
1969-06-30,0.6042002
1969-07-31,0.6143548
1969-08-31,0.6346641
1969-09-30,0.6346641
1969-10-31,0.6448187
1969-11-30,0.6549733
1969-12-31,0.665128
1970-01-31,0.7159011
1970-02-28,0.7159011
1970-03-31,0.7108238
1970-04-30,0.7006692
1970-05-31,0.7006692
1970-06-30,0.7108238
1970-07-31,0.7108238
1970-08-31,0.7108238
1970-09-30,0.6955919
1970-10-31,0.6955919
1970-11-30,0.7209784
1970-12-31,0.7260557
1971-01-31,0.746365
1971-02-28,0.7666742
1971-03-31,0.7666742
1971-04-30,0.7565196
1971-05-31,0.7362103
1971-06-30,0.7260557
1971-07-31,0.7260557
1971-08-31,0.7209784
1971-09-30,0.7159011
1971-10-31,0.7260557
1971-11-30,0.746365
1971-12-31,0.7412876
1972-01-31,0.7565196
1972-02-29,0.7717515
1972-03-31,0.7717515
1972-04-30,0.7717515
1972-05-31,0.7666742
1972-06-30,0.7514423
1972-07-31,0.746365
1972-08-31,0.7514423
1972-09-30,0.7615969
1972-10-31,0.7920608
1972-11-30,0.8783751
1972-12-31,0.9342256
1973-01-31,0.9189936
1973-02-28,0.9240709
1973-03-31,0.9342256
1973-04-30,0.9596121
1973-05-31,0.9596121
1973-06-30,1.010385
1973-07-31,1.061158
1973-08-31,1.061158
1973-09-30,1.0967
1973-10-31,1.127163
1973-11-30,1.147473
1973-12-31,1.188091
1974-01-31,1.309947
1974-02-28,1.355643
1974-03-31,1.375952
1974-04-30,1.431802
1974-05-31,1.431802
1974-06-30,1.447034
1974-07-31,1.452111
1974-08-31,1.452111
1974-09-30,1.482575
1974-10-31,1.523194
1974-11-30,1.553658
1974-12-31,1.589199
1975-01-31,1.604431
1975-02-28,1.619663
1975-03-31,1.650127
1975-04-30,1.680591
1975-05-31,1.695822
1975-06-30,1.695822
1975-07-31,1.711054
1975-08-31,1.726286
1975-09-30,1.792291
1975-10-31,1.807523
1975-11-30,1.858297
1975-12-31,1.898915
1976-01-31,1.939533
1976-02-29,1.980152
1976-03-31,1.980152
1976-04-30,1.990307
1976-05-31,2.025848
1976-06-30,2.061389
1976-07-31,2.081698
1976-08-31,2.117239
1976-09-30,2.168013
1976-10-31,2.168013
1976-11-30,2.17309
1976-12-31,2.168013
1977-01-31,2.203554
1977-02-28,2.208631
1977-03-31,2.218786
1977-04-30,2.239095
1977-05-31,2.274636
1977-06-30,2.274636
1977-07-31,2.310177
1977-08-31,2.325409
1977-09-30,2.36095
1977-10-31,2.366028
1977-11-30,2.391414
1977-12-31,2.426955
1978-01-31,2.426955
1978-02-28,2.432033
1978-03-31,2.442188
1978-04-30,2.487883
1978-05-31,2.477729
1978-06-30,2.442188
1978-07-31,2.482806
1978-08-31,2.51327
1978-09-30,2.482806
1978-10-31,2.503115
1978-11-30,2.558966
1978-12-31,2.58943
1979-01-31,2.594507
1979-02-28,2.655435
1979-03-31,2.655435
1979-04-30,2.736672
1979-05-31,2.817909
1979-06-30,2.888991
1979-07-31,2.960073
1979-08-31,3.026078
1979-09-30,3.051465
1979-10-31,3.076852
1979-11-30,3.097161
1979-12-31,3.122547
1980-01-31,3.158088
1980-02-29,3.203784
1980-03-31,3.213939
1980-04-30,3.244403
1980-05-31,3.366258
1980-06-30,3.417032
1980-07-31,3.45765
1980-08-31,3.498269
1980-09-30,3.508423
1980-10-31,3.569351
1980-11-30,3.645511
1980-12-31,3.655665
1981-01-31,3.706438
1981-02-28,3.731825
1981-03-31,3.757211
1981-04-30,3.792753
1981-05-31,3.79783
1981-06-30,3.813062
1981-07-31,3.858758
1981-08-31,3.879067
1981-09-30,3.87399
1981-10-31,3.919685
1981-11-30,3.904454
1981-12-31,3.924763
1982-01-31,4.107546
1982-02-28,4.132933
1982-03-31,4.13801
1982-04-30,4.13801
1982-05-31,4.143087
1982-06-30,4.158319
1982-07-31,4.204015
1982-08-31,4.183706
1982-09-30,4.219247
1982-10-31,4.27002
1982-11-30,4.290329
1982-12-31,4.315716
1983-01-31,4.513731
1983-02-28,4.523886
1983-03-31,4.498499
1983-04-30,4.605123
1983-05-31,4.645741
1983-06-30,4.716824
1983-07-31,4.757442
1983-08-31,4.752365
1983-09-30,4.792983
1983-10-31,4.792983
1983-11-30,4.803138
1983-12-31,4.833602
1984-01-31,5.001153
1984-02-29,5.08239
1984-03-31,5.092545
1984-04-30,5.163627
1984-05-31,5.194091
1984-06-30,5.209323
1984-07-31,5.229632
1984-08-31,5.219478
1984-09-30,5.2144
1984-10-31,5.219478
1984-11-30,5.219478
1984-12-31,5.270251
1985-01-31,5.295637
1985-02-28,5.270251
1985-03-31,5.280405
1985-04-30,5.417493
1985-05-31,5.432724
1985-06-30,5.483498
1985-07-31,5.47842
1985-08-31,5.473343
1985-09-30,5.463189
1985-10-31,5.468266
1985-11-30,5.483498
1985-12-31,5.503807
1986-01-31,5.569812
1986-02-28,5.610431
1986-03-31,5.590121
1986-04-30,5.595199
1986-05-31,5.666281
1986-06-30,5.676435
1986-07-31,5.666281
1986-08-31,5.676435
1986-09-30,5.83891
1986-10-31,5.955688
1986-11-30,5.986152
1986-12-31,6.006461
1987-01-31,6.02677
1987-02-28,6.113084
1987-03-31,6.097853
1987-04-30,6.10293
1987-05-31,6.219708
1987-06-30,6.23494
1987-07-31,6.260326
1987-08-31,6.295868
1987-09-30,6.341564
1987-10-31,6.427878
1987-11-30,6.539579
1987-12-31,6.564965
1988-01-31,6.585275
1988-02-29,6.620816
1988-03-31,6.625893
1988-04-30,6.671589
1988-05-31,6.732517
1988-06-30,6.757903
1988-07-31,6.834063
1988-08-31,6.859449
1988-09-30,6.859449
1988-10-31,6.884836
1988-11-30,6.9153
1988-12-31,6.930532
1989-01-31,6.966073
1989-02-28,7.052387
1989-03-31,7.067619
1989-04-30,7.17932
1989-05-31,7.225016
1989-06-30,7.209784
1989-07-31,7.245325
1989-08-31,7.250402
1989-09-30,7.265635
1989-10-31,7.321485
1989-11-30,7.357026
1989-12-31,7.351949
1990-01-31,7.423031
1990-02-28,7.494113
1990-03-31,7.46365
1990-04-30,7.549964
1990-05-31,7.610892
1990-06-30,7.712438
1990-07-31,7.885067
1990-08-31,7.930762
1990-09-30,7.971381
1990-10-31,8.052618
1990-11-30,8.078005
1990-12-31,8.083082
1991-01-31,8.14401
1991-02-28,8.169396
1991-03-31,8.174474
1991-04-30,8.326793
1991-05-31,8.342025
1991-06-30,8.382644
1991-07-31,8.54004
1991-08-31,8.702514
1991-09-30,8.712668
1991-10-31,8.778674
1991-11-30,8.875143
1991-12-31,8.890374
1992-01-31,8.930993
1992-02-29,8.951303
1992-03-31,9.01223
1992-04-30,9.093467
1992-05-31,9.103621
1992-06-30,9.16455
1992-07-31,9.179782
1992-08-31,9.20009
1992-09-30,9.215322
1992-10-31,9.250864
1992-11-30,9.276251
1992-12-31,9.337178
1993-01-31,9.611353
1993-02-28,9.804291
1993-03-31,9.951533
1993-04-30,9.966765
1993-05-31,9.976919
1993-06-30,10.00231
1993-07-31,10.07339
1993-08-31,10.10385
1993-09-30,10.12924
1993-10-31,10.19017
1993-11-30,10.23079
1993-12-31,10.28664
1994-01-31,10.41865
1994-02-28,10.60143
1994-03-31,10.67251
1994-04-30,10.70298
1994-05-31,10.75375
1994-06-30,10.76898
1994-07-31,10.91622
1994-08-31,11.01269
1994-09-30,11.07362
1994-10-31,11.17009
1994-11-30,11.22086
1994-12-31,11.28179
1995-01-31,11.40872
1995-02-28,11.55596
1995-03-31,11.62705
1995-04-30,11.81998
1995-05-31,11.88091
1995-06-30,11.90122
1995-07-31,11.98246
1995-08-31,12.02308
1995-09-30,12.06369
1995-10-31,12.14493
1995-11-30,12.19571
1995-12-31,12.29217
1996-01-31,12.67297
1996-02-29,12.84052
1996-03-31,12.75421
1996-04-30,12.78975
1996-05-31,12.87607
1996-06-30,12.7796
1996-07-31,12.86591
1996-08-31,12.86083
1996-09-30,12.88622
1996-10-31,12.93699
1996-11-30,12.99284
1996-12-31,13.03346
1997-01-31,13.25686
1997-02-28,13.35333
1997-03-31,13.35841
1997-04-30,13.41426
1997-05-31,13.45488
1997-06-30,13.4498
1997-07-31,13.55643
1997-08-31,13.68336
1997-09-30,13.8306
1997-10-31,14.02354
1997-11-30,14.13524
1997-12-31,14.37895
1998-01-31,15.40964
1998-02-28,17.35933
1998-03-31,18.27833
1998-04-30,19.13639
1998-05-31,20.13662
1998-06-30,21.07085
1998-07-31,22.87329
1998-08-31,24.31525
1998-09-30,25.22917
1998-10-31,25.16316
1998-11-30,25.18347
1998-12-31,25.53888
1999-01-31,26.2954
1999-02-28,26.6305
1999-03-31,26.57973
1999-04-30,26.40203
1999-05-31,26.32587
1999-06-30,26.23955
1999-07-31,25.9603
1999-08-31,25.72167
1999-09-30,25.54396
1999-10-31,25.55919
1999-11-30,25.58458
1999-12-31,26.03138
2000-01-31,26.37156
2000-02-29,26.39187
2000-03-31,26.27002
2000-04-30,26.41726
2000-05-31,26.64066
2000-06-30,26.77267
2000-07-31,27.11793
2000-08-31,27.25501
2000-09-30,27.23978
2000-10-31,27.55458
2000-11-30,27.92014
2000-12-31,28.46342
2001-01-31,28.55481
2001-02-28,28.79852
2001-03-31,29.05746
2001-04-30,29.19455
2001-05-31,29.52457
2001-06-30,30.01707
2001-07-31,30.65174
2001-08-31,30.59081
2001-09-30,30.78375
2001-10-31,30.99192
2001-11-30,31.52503
2001-12-31,32.03276
2002-01-31,32.71313
2002-02-28,33.08377
2002-03-31,33.18532
2002-04-30,33.11931
2002-05-31,33.38841
2002-06-30,33.48996
2002-07-31,33.72351
2002-08-31,33.82506
2002-09-30,34.02815
2002-10-31,34.1957
2002-11-30,34.80498
2002-12-31,35.21116
2003-01-31,35.54627
2003-02-28,35.61227
2003-03-31,35.54627
2003-04-30,35.64781
2003-05-31,35.74936
2003-06-30,35.81536
2003-07-31,35.81536
2003-08-31,36.054
2003-09-30,36.18601
2003-10-31,36.3891
2003-11-30,36.72928
2003-12-31,37.02884
2004-01-31,37.26748
2004-02-29,37.23193
2004-03-31,37.36902
2004-04-30,37.73967
2004-05-31,38.07477
2004-06-30,38.24232
2004-07-31,38.41495
2004-08-31,38.44541
2004-09-30,38.44541
2004-10-31,38.64851
2004-11-30,39.01915
2004-12-31,39.42533
2005-01-31,39.96353
2005-02-28,39.89752
2005-03-31,40.67435
2005-04-30,40.80636
2005-05-31,40.89268
2005-06-30,41.09577
2005-07-31,41.41564
2005-08-31,41.64412
2005-09-30,41.92845
2005-10-31,45.57904
2005-11-30,46.17816
2005-12-31,46.15785
2006-01-31,46.78236
2006-02-28,47.05653
2006-03-31,47.07177
2006-04-30,47.09208
2006-05-31,47.26978
2006-06-30,47.48303
2006-07-31,47.69628
2006-08-31,47.84859
2006-09-30,48.03138
2006-10-31,48.44772
2006-11-30,48.61019
2006-12-31,49.20424
2007-01-31,49.71197
2007-02-28,50.02169
2007-03-31,50.13846
2007-04-30,50.05723
2007-05-31,50.108
2007-06-30,50.22478
2007-07-31,50.58527
2007-08-31,50.96099
2007-09-30,51.37225
2007-10-31,51.77843
2007-11-30,51.8749
2007-12-31,52.44356
2008-01-31,53.37271
2008-02-29,53.72305
2008-03-31,54.23586
2008-04-30,54.54557
2008-05-31,55.31224
2008-06-30,55.89106
2008-07-31,56.65773
2008-08-31,56.94714
2008-09-30,57.50057
2008-10-31,57.75951
2008-11-30,57.83059
2008-12-31,57.81028
2009-01-31,57.76966
2009-02-28,57.89152
2009-03-31,58.01845
2009-04-30,57.84075
2009-05-31,57.86613
2009-06-30,57.93214
2009-07-31,58.19108
2009-08-31,58.51603
2009-09-30,59.13038
2009-10-31,59.24208
2009-11-30,59.22685
2009-12-31,59.41979
2010-01-31,59.91737
2010-02-28,60.10523
2010-03-31,60.00876
2010-04-30,60.10015
2010-05-31,60.27278
2010-06-30,60.85667
2010-07-31,61.81121
2010-08-31,62.28339
2010-09-30,62.55757
2010-10-31,62.59819
2010-11-30,62.97391
2010-12-31,63.55272
2011-01-31,64.12138
2011-02-28,64.2077
2011-03-31,63.99953
2011-04-30,63.80151
2011-05-31,63.87767
2011-06-30,64.228
2011-07-31,64.65958
2011-08-31,65.26378
2011-09-30,65.44148
2011-10-31,65.36533
2011-11-30,65.58873
2011-12-31,65.95937
2012-01-31,66.46202
2012-02-29,66.49249
2012-03-31,66.53819
2012-04-30,66.67527
2012-05-31,66.72097
2012-06-30,67.13731
2012-07-31,67.6095
2012-08-31,68.25432
2012-09-30,68.26447
2012-10-31,68.37617
2012-11-30,68.42187
2012-12-31,68.79251
2013-01-31,69.20621
2013-02-28,69.69206
2013-03-31,70.02271
2013-04-30,70.05644
2013-05-31,70.12392
2013-06-30,70.8392
2013-07-31,72.97827
2013-08-31,73.70029
2013-09-30,73.5181
2013-10-31,73.65306
2013-11-30,73.77452
2013-12-31,74.10517
2014-01-31,74.89467
2014-02-28,75.09036
2014-03-31,75.15109
2014-04-30,75.1376
2014-05-31,75.25906
2014-06-30,75.58295
2014-07-31,76.28474
2014-08-31,76.64237
2014-09-30,76.85155
2014-10-31,77.20919
2014-11-30,78.36983
2014-12-31,80.29972
2015-01-31,80.10403
2015-02-28,79.81387
2015-03-31,79.94883
2015-04-30,80.23899
2015-05-31,80.63712
2015-06-30,81.06898
2015-07-31,81.82474
2015-08-31,82.14189
2015-09-30,82.1014
2015-10-31,82.03392
2015-11-30,82.20262
2015-12-31,82.99212
2016-01-31,83.41724
2016-02-29,83.34301
2016-03-31,83.50496
2016-04-30,83.12708
2016-05-31,83.32277
2016-06-30,83.86935
2016-07-31,84.44966
2016-08-31,84.43616
2016-09-30,84.62511
2016-10-31,84.74657
2016-11-30,85.14469
2016-12-31,85.50233
2017-01-31,86.33232
2017-02-28,86.53476
2017-03-31,86.52126
2017-04-30,86.59549
2017-05-31,86.93288
2017-06-30,87.53344
2017-07-31,87.72238
2017-08-31,87.66165
2017-09-30,87.77637
2017-10-31,87.78311
2017-11-30,87.95856
2017-12-31,88.58611
2018-01-31,89.13943
2018-02-28,89.28789
2018-03-31,89.46333
2018-04-30,89.55106
2018-05-31,89.74
2018-06-30,90.26633
