date;usd_idr_close;usd_idr_open;usd_idr_high;usd_idr_low;usd_idr_returns;id_inflation_rate_yoy;id_inflation_rate_mom;bi_interest_rate;idr_m1;idr_m2;id_leading_economic_indicator;total_credit;non_performing_loan;npl_ratio
01/01/15;12,665.00;12,425.00;12,757.50;12,410.00;2.30%;6.96%;-0.24;7.75%;918,079;4,174,826;99.99;3,634,620;86,117;2.37%
01/02/15;12,920.00;12,710.00;12,945.00;12,587.50;2.01%;6.29%;-0.36;7.50%;927,848;4,218,123;99.92;3,665,686;89,072;2.43%
01/03/15;13,070.00;12,975.00;13,248.00;12,900.00;1.16%;6.38%;0.17;7.50%;957,580;4,246,361;99.78;3,679,871;88,401;2.40%
01/04/15;12,960.00;13,070.00;13,077.50;12,805.00;-0.84%;6.79%;0.36;7.50%;959,376;4,275,711;99.54;3,711,569;92,142;2.48%
01/05/15;13,223.00;12,985.00;13,243.00;12,976.00;2.03%;7.15%;0.50;7.50%;980,915;4,288,369;99.25;3,757,133;97,092;2.58%
01/06/15;13,330.00;13,210.00;13,388.50;13,192.00;0.81%;7.26%;0.54;7.50%;1,039,518;4,358,802;98.94;3,828,045;97,959;2.56%
01/07/15;13,525.00;13,350.00;13,530.00;13,280.00;1.46%;7.26%;0.93;7.50%;1,031,906;4,373,208;98.65;3,833,745;103,615;2.70%
01/08/15;14,045.00;13,507.50;14,140.00;13,474.50;3.84%;7.18%;0.39;7.50%;1,026,323;4,404,085;98.4;3,881,294;107,047;2.76%
01/09/15;14,645.00;14,070.00;14,740.00;14,052.50;4.27%;6.83%;-0.05;7.50%;1,063,039;4,508,603;98.24;3,956,483;107,248;2.71%
01/10/15;13,675.00;14,640.00;14,710.00;13,225.00;-6.62%;6.25%;-0.08;7.50%;1,036,311;4,443,078;98.19;3,923,437;105,007;2.68%
01/11/15;13,830.00;13,675.00;13,847.50;13,430.00;1.13%;4.89%;0.21;7.50%;1,051,191;4,452,325;98.22;3,950,612;104,993;2.66%
01/12/15;13,785.00;13,837.50;14,095.00;13,555.00;-0.33%;3.35%;0.96;7.50%;1,055,440;4,548,800;98.31;4,057,904;100,933;2.49%
01/01/16;13,770.00;13,825.00;13,987.50;13,755.00;-0.11%;4.14%;0.51;7.25%;1,046,257;4,498,361;98.45;3,983,035;108,846;2.73%
01/02/16;13,367.00;13,760.00;13,825.00;13,297.50;-2.93%;4.42%;-0.09;7.00%;1,035,551;4,521,951;98.6;3,967,908;113,761;2.87%
01/03/16;13,255.00;13,350.00;13,440.00;12,975.00;-0.84%;4.45%;0.19;6.75%;1,064,738;4,561,873;98.72;4,000,448;113,077;2.83%
01/04/16;13,180.00;13,200.00;13,252.50;13,085.00;-0.57%;3.60%;-0.45;6.75%;1,089,212;4,581,878;98.83;4,006,707;117,295;2.93%
01/05/16;13,655.00;13,210.00;13,695.00;13,140.00;3.60%;3.33%;0.24;6.75%;1,118,768;4,614,062;98.92;4,070,454;126,616;3.11%
01/06/16;13,210.00;13,662.50;13,800.00;13,140.00;-3.26%;3.45%;0.66;6.50%;1,184,329;4,737,451;99.03;4,168,308;127,156;3.05%
01/07/16;13,097.00;13,180.00;13,192.50;13,071.50;-0.86%;3.21%;0.69;6.50%;1,144,501;4,730,380;99.16;4,130,440;131,425;3.18%
01/08/16;13,265.00;13,090.00;13,308.00;13,065.00;1.28%;2.79%;-0.02;5.25%;1,135,548;4,746,027;99.29;4,146,287;133,546;3.22%
01/09/16;13,047.00;13,275.00;13,284.00;12,920.00;-1.64%;3.07%;0.22;5.00%;1,126,046;4,737,631;99.41;4,212,377;130,728;3.10%
01/10/16;13,047.00;13,035.00;13,080.00;12,955.00;0.00%;3.31%;0.14;4.75%;1,142,786;4,778,479;99.54;4,215,516;135,563;3.22%
01/11/16;13,550.00;13,032.50;13,587.50;13,030.00;3.86%;3.58%;0.47;4.75%;1,182,730;4,868,651;99.66;4,284,941;136,246;3.18%
01/12/16;13,470.00;13,585.00;13,592.50;13,275.00;-0.59%;3.02%;0.42;4.75%;1,237,643;5,004,977;99.79;4,377,195;128,135;2.93%
01/01/17;13,347.00;13,485.00;13,497.50;13,270.00;-0.91%;3.49%;0.97;4.75%;1,191,500;4,936,882;99.94;4,312,991;133,311;3.09%
01/02/17;13,331.00;13,350.00;13,387.50;13,290.00;-0.12%;3.83%;0.23;4.75%;1,196,037;4,942,920;100.1;4,308,081;135,991;3.16%
01/03/17;13,323.00;13,362.50;13,397.50;13,297.50;-0.06%;3.61%;-0.02;4.75%;1,215,857;5,017,644;100.28;4,369,967;132,984;3.04%
01/04/17;13,327.00;13,322.50;13,347.50;13,250.50;0.03%;4.17%;0.09;4.75%;1,245,927;5,033,780;100.46;4,386,031;134,645;3.07%
01/05/17;13,321.00;13,330.00;13,420.00;13,287.00;-0.05%;4.33%;0.39;4.75%;1,275,893;5,125,384;100.64;4,425,154;136,039;3.07%
01/06/17;13,325.00;13,312.50;13,327.50;13,274.00;0.03%;4.37%;0.69;4.75%;1,341,851;5,225,166;100.78;4,491,186;133,144;2.96%
01/07/17;13,324.00;13,315.00;13,412.50;13,297.50;-0.01%;3.88%;0.22;4.75%;1,293,235;5,178,079;100.88;4,469,282;134,135;3.00%
01/08/17;13,342.00;13,317.50;13,382.50;13,301.00;0.14%;3.82%;-0.07;4.50%;1,274,803;5,219,648;100.92;4,488,642;136,721;3.05%
01/09/17;13,470.00;13,342.50;13,555.00;13,140.00;0.96%;3.72%;0.13;4.25%;1,304,374;5,254,139;100.88;4,543,588;133,276;2.93%
01/10/17;13,560.00;13,480.00;13,645.00;13,457.50;0.67%;3.58%;0.01;4.25%;1,325,762;5,284,320;100.78;4,560,166;135,039;2.96%
01/11/17;13,524.00;13,585.00;13,596.50;13,470.00;-0.27%;3.30%;0.20;4.25%;1,338,143;5,321,432;100.66;4,605,079;132,864;2.89%
01/12/17;13,565.00;13,535.00;13,595.00;13,511.50;0.30%;3.61%;0.71;4.25%;1,390,807;5,419,165;100.51;4,737,944;122,922;2.59%
01/01/18;13,387.00;13,540.00;13,555.00;13,267.50;-1.31%;3.25%;0.62;4.25%;1,326,742;5,351,685;100.35;4,632,308;132,703;2.86%
01/02/18;13,740.00;13,390.00;13,755.00;13,390.00;2.64%;3.18%;0.17;4.25%;1,351,258;5,351,650;100.15;4,662,341;134,346;2.88%
01/03/18;13,760.00;13,790.00;13,805.00;13,700.00;0.15%;3.40%;0.20;4.25%;1,361,135;5,395,826;99.95;4,743,237;130,458;2.75%
01/04/18;13,910.00;13,745.00;13,940.00;13,740.00;1.09%;3.41%;0.10;4.25%;1,372,576;5,409,089;99.74;4,778,165;133,497;2.79%
01/05/18;13,890.00;13,917.50;14,212.50;13,873.50;-0.14%;3.23%;0.21;4.75%;1,404,627;5,435,083;99.55;4,879,299;136,175;2.79%
01/06/18;14,325.00;13,870.00;14,415.00;13,835.00;3.13%;3.12%;0.59;5.25%;1,452,354;5,534,150;99.39;4,974,113;133,022;2.67%
01/07/18;14,415.00;14,255.00;14,565.00;14,255.00;0.63%;3.18%;0.28;5.25%;1,383,503;5,507,792;99.26;4,975,952;135,991;2.73%
01/08/18;14,725.00;14,435.00;14,735.00;14,393.00;2.15%;3.20%;-0.05;5.50%;1,384,265;5,529,452;99.16;5,032,495;137,757;2.74%
01/09/18;14,900.00;14,740.00;14,950.00;14,740.00;1.19%;2.88%;-0.18;5.75%;1,411,673;5,606,780;99.12;5,120,099;136,061;2.66%
01/10/18;15,200.00;14,895.00;15,272.50;14,890.00;2.01%;3.16%;0.28;5.75%;1,410,578;5,667,512;99.16;5,168,778;136,916;2.65%
01/11/18;14,300.00;15,202.50;15,211.50;14,260.00;-5.92%;3.23%;0.27;6.00%;1,405,264;5,670,975;99.29;5,160,155;137,606;2.67%
01/12/18;14,375.00;14,265.00;14,655.00;14,210.00;0.52%;3.13%;0.62;6.00%;1,457,150;5,760,046;99.47;5,294,882;125,264;2.37%
01/01/19;13,970.00;14,445.00;14,492.50;13,960.00;-2.82%;2.82%;0.32;6.00%;1,376,136;5,644,985;99.64;5,186,616;132,577;2.56%
01/02/19;14,060.00;13,945.00;14,157.50;13,887.50;0.64%;2.57%;-0.08;6.00%;1,386,329;5,670,778;99.78;5,227,992;135,158;2.59%
01/03/19;14,235.00;14,098.50;14,340.00;14,084.50;1.24%;2.48%;0.11;6.00%;1,428,607;5,747,247;99.9;5,291,231;132,912;2.51%
01/04/19;14,245.00;14,225.00;14,265.00;13,995.00;0.07%;2.83%;0.44;6.00%;1,454,279;5,746,732;100.01;5,305,967;136,592;2.57%
01/05/19;14,270.00;14,205.00;14,527.50;14,205.00;0.18%;3.32%;0.68;6.00%;1,508,040;5,860,509;100.11;5,418,653;141,557;2.61%
01/06/19;14,125.00;14,205.00;14,355.00;14,080.00;-1.02%;3.28%;0.55;6.00%;1,513,520;5,908,509;100.23;5,467,646;136,877;2.50%
01/07/19;14,012.00;14,082.50;14,170.00;13,887.50;-0.80%;3.32%;0.31;5.75%;1,487,802;5,941,133;100.35;5,452,514;139,051;2.55%
01/08/19;14,180.00;14,060.00;14,360.00;14,060.00;1.20%;3.49%;0.12;5.50%;1,475,544;5,934,562;100.45;5,464,970;142,058;2.60%
01/09/19;14,190.00;14,185.50;14,234.50;13,917.50;0.07%;3.39%;-0.27;5.25%;1,563,602;6,134,178;100.5;5,524,190;146,759;2.66%
01/10/19;14,032.00;14,177.50;14,217.50;13,985.00;-1.11%;3.13%;0.02;5.00%;1,504,156;6,026,908;100.51;5,506,161;150,404;2.73%
01/11/19;14,100.00;14,050.00;14,117.50;13,967.50;0.48%;3.00%;0.14;5.00%;1,553,134;6,074,377;100.46;5,524,180;153,041;2.77%
01/12/19;13,880.00;14,105.00;14,133.50;13,862.50;-1.56%;2.72%;0.34;5.00%;1,565,358;6,136,552;100.33;5,616,992;141,834;2.53%
01/01/20;13,650.00;13,872.50;13,970.00;13,570.00;-1.66%;2.68%;0.39;5.00%;1,484,403;6,046,651;100.14;5,502,812;152,156;2.77%
01/02/20;14,340.00;13,665.00;14,347.50;13,600.00;5.05%;2.98%;0.28;4.75%;1,505,491;6,116,495;99.91;5,538,150;154,363;2.79%
01/03/20;16,300.00;14,355.00;16,640.00;14,095.00;13.67%;2.96%;0.10;4.50%;1,648,681;6,440,457;99.66;5,712,040;158,304;2.77%
01/04/20;14,825.00;16,325.00;16,575.00;14,857.50;-9.05%;2.67%;0.08;4.50%;1,576,401;6,238,267;94.82;5,609,983;162,305;2.89%
01/05/20;14,575.00;14,960.00;15,152.50;14,607.50;-1.69%;2.19%;0.07;4.50%;1,653,611;6,468,194;94.32;5,585,929;167,717;3.00%
01/06/20;14,180.00;14,630.00;14,630.00;13,850.00;-2.71%;1.96%;0.18;4.25%;1,637,751;6,393,744;94.8;5,549,239;172,554;3.11%
01/07/20;14,530.00;14,245.00;14,860.00;14,245.00;2.47%;1.54%;-0.10;4.00%;1,683,194;6,567,725;95.1;5,536,166;178,399;3.22%
01/08/20;14,560.00;14,605.00;14,881.00;14,465.00;0.21%;1.32%;-0.05;4.00%;1,759,639;6,726,135;95.32;5,521,867;177,735;3.22%
01/09/20;14,840.00;14,535.00;14,974.00;14,535.00;1.92%;1.42%;-0.05;4.00%;1,780,721;6,748,574;95.27;5,530,594;173,899;3.14%
01/10/20;14,620.00;14,810.00;14,907.00;14,602.50;-1.48%;1.44%;0.07;4.00%;1,782,244;6,780,845;95.37;5,480,271;172,829;3.15%
01/11/20;14,090.00;14,650.00;14,717.50;13,992.50;-3.63%;1.59%;0.28;3.75%;1,799,087;6,817,457;95.69;5,447,491;172,972;3.18%
01/12/20;14,040.00;14,117.50;14,274.00;14,050.00;-0.35%;1.68%;0.45;3.75%;1,855,625;6,900,049;95.93;5,481,560;167,707;3.06%
01/01/21;14,020.00;13,910.00;14,217.50;13,862.50;-0.14%;1.55%;0.26;3.75%;1,762,296;6,767,408;95.96;5,397,123;170,873;3.17%
01/02/21;14,240.00;14,035.00;14,275.00;13,866.00;1.57%;1.38%;0.10;3.50%;1,784,763;6,817,788;96.11;5,419,145;173,772;3.21%
01/03/21;14,520.00;14,250.00;14,582.00;14,232.50;1.97%;1.37%;0.08;3.50%;1,827,391;6,895,564;96.67;5,496,419;174,164;3.17%
01/04/21;14,440.00;14,530.00;14,639.00;14,424.50;-0.55%;1.42%;0.13;3.50%;1,850,951;6,964,386;97.26;5,482,170;176,481;3.22%
01/05/21;14,275.00;14,450.00;14,480.00;14,140.00;-1.14%;1.68%;0.32;3.50%;1,861,767;7,004,093;97.47;5,514,402;184,547;3.35%
01/06/21;14,495.00;14,265.00;14,560.00;14,183.00;1.54%;1.33%;-0.16;3.50%;1,915,429;7,130,061;97.73;5,581,789;180,722;3.24%
01/07/21;14,460.00;14,510.00;14,572.50;14,434.50;-0.24%;1.52%;0.08;3.50%;1,933,291;7,160,560;95.95;5,563,700;186,161;3.35%
01/08/21;14,265.00;14,465.00;14,485.00;14,260.00;-1.35%;1.59%;0.03;3.50%;1,938,390;7,211,501;95.85;5,586,024;187,371;3.35%
01/09/21;14,310.00;14,265.00;14,335.00;14,176.50;0.32%;1.60%;-0.04;3.50%;1,968,434;7,300,921;97.21;5,652,839;181,878;3.22%
01/10/21;14,165.00;14,310.00;14,344.00;14,040.00;-1.01%;1.66%;0.12;3.50%;2,071,418;7,491,704;98.54;5,657,605;182,023;3.22%
01/11/21;14,320.00;14,185.00;14,392.50;14,182.50;1.09%;1.75%;0.37;3.50%;2,114,703;7,573,320;98.65;5,705,128;182,195;3.19%
01/12/21;14,250.00;14,344.00;14,449.00;14,180.00;-0.49%;1.87%;0.57;3.50%;2,282,200;7,870,453;98.68;5,768,585;173,270;3.00%
01/01/22;14,380.00;14,255.00;14,412.50;14,249.00;0.91%;2.18%;0.56;3.50%;2,149,552;7,646,789;98.67;5,709,407;176,933;3.10%
01/02/22;14,365.00;14,315.00;14,409.00;14,246.50;-0.10%;2.06%;-0.02;3.50%;2,195,618;7,690,135;98.66;5,762,401;177,415;3.08%
01/03/22;14,368.00;14,355.00;14,420.00;14,255.00;0.02%;2.64%;0.66;3.50%;2,254,591;7,810,949;98.7;5,863,269;175,093;2.99%
01/04/22;14,495.00;14,360.00;14,502.50;14,328.00;0.88%;3.47%;0.95;3.50%;2,327,208;7,911,484;98.9;5,981,252;179,421;3.00%
01/05/22;14,580.00;14,510.00;14,738.00;14,502.50;0.59%;3.55%;0.40;3.50%;2,302,911;7,854,187;99.15;6,012,365;183,010;3.04%
01/06/22;14,895.00;14,572.50;14,897.50;14,420.00;2.16%;4.35%;0.61;3.50%;2,339,450;7,890,747;99.35;6,176,861;176,635;2.86%
01/07/22;14,830.00;14,925.00;15,040.00;14,830.00;-0.44%;4.94%;0.64;3.50%;2,296,045;7,845,552;99.4;6,159,326;178,556;2.90%
01/08/22;14,840.00;14,850.00;14,992.50;14,659.00;0.07%;4.69%;-0.21;3.75%;2,279,163;7,897,628;99.3;6,179,454;177,803;2.88%
01/09/22;15,225.00;14,865.00;15,280.00;14,815.00;2.59%;5.95%;1.17;4.25%;2,320,883;7,962,693;99.13;6,274,901;174,459;2.78%
01/10/22;15,595.00;15,245.00;15,651.50;15,156.50;2.43%;5.71%;-0.11;4.75%;2,539,067;8,223,055;99;6,333,506;172,480;2.72%
01/11/22;15,730.00;15,630.00;15,761.50;15,392.50;0.87%;5.42%;0.09;5.25%;2,467,951;8,297,350;98.85;6,347,472;168,313;2.65%
01/12/22;15,565.00;15,622.50;15,765.00;15,365.00;-1.05%;5.51%;0.66;5.50%;2,608,797;8,528,022;98.92;6,423,564;156,576;2.44%
01/01/23;14,985.00;15,490.00;15,643.00;14,884.00;-3.73%;5.28%;0.34;5.75%;2,422,174;8,271,838;98.81;6,310,879;163,744;2.59%
01/02/23;15,245.00;15,000.00;15,312.50;14,835.00;1.74%;5.47%;0.16;5.75%;2,403,594;8,300,648;98.83;6,375,320;164,506;2.58%
01/03/23;14,990.00;15,240.00;15,480.00;14,950.00;-1.67%;4.97%;0.18;5.75%;2,408,419;8,293,283;98.98;6,445,457;160,455;2.49%
01/04/23;14,665.00;15,000.00;15,012.50;14,627.50;-2.17%;4.33%;0.33;5.75%;2,472,869;8,352,350;99.08;6,464,551;163,336;2.53%
01/05/23;14,985.00;14,645.00;15,018.50;14,565.00;2.18%;4.00%;0.09;5.75%;2,423,318;8,336,171;99.43;6,577,076;165,848;2.52%
01/06/23;14,990.00;14,895.00;15,052.50;14,819.50;0.03%;3.52%;0.14;5.75%;2,466,093;8,372,990;99.48;6,656,016;162,203;2.44%
01/07/23;15,075.00;15,005.00;15,222.00;14,913.00;0.57%;3.08%;0.21;5.75%;2,438,059;8,349,492;99.57;6,685,506;167,840;2.51%
