Date,gdp
1/1/2000,1012908549
4/1/2000,1007085097
7/1/2000,1031621787
10/1/2000,1061287239
1/1/2001,1053724549
4/1/2001,1064503042
7/1/2001,1064723807
10/1/2001,1079803504
1/1/2002,1092967373
4/1/2002,1107016689
7/1/2002,1121225596
10/1/2002,1133346851
1/1/2003,1148138311
4/1/2003,1161156639
7/1/2003,1173320796
10/1/2003,1184885008
1/1/2004,1198807261
4/1/2004,1213143897
7/1/2004,1227905795
10/1/2004,1262459880
1/1/2005,1272698657
4/1/2005,1287273733
7/1/2005,1301458228
10/1/2005,1319954095
1/1/2006,1337393578
4/1/2006,1354469278
7/1/2006,1376301897
10/1/2006,1398245434
1/1/2007,1420985934
4/1/2007,1444669539
7/1/2007,1467445669
10/1/2007,1480153989
1/1/2008,1513102545
4/1/2008,1535470288
7/1/2008,1555810590
10/1/2008,1558463577
1/1/2009,1579713844
4/1/2009,1599707709
7/1/2009,1624632363
10/1/2009,1648555884
1/1/2010,1675191915
4/1/2010,1703416510
7/1/2010,1728911045
10/1/2010,1756613630
1/1/2011,1782173392
4/1/2011,1807972704
7/1/2011,1835406002
10/1/2011,1862083202
1/1/2012,1890316142
4/1/2012,1918338315
7/1/2012,1945632189
10/1/2012,1972796753
1/1/2013,1999894976
4/1/2013,2025976883
7/1/2013,2052236934
10/1/2013,2078389006
1/1/2014,2103220032
4/1/2014,2129006062
7/1/2014,2154014976
10/1/2014,2178625530
1/1/2015,2205429173
4/1/2015,2230986326
7/1/2015,2258581561
10/1/2015,2287520040
1/1/2016,2314840479
4/1/2016,2344611219
7/1/2016,2373240756
10/1/2016,2401920947
1/1/2017,2432378048
4/1/2017,2462074363
7/1/2017,2493339988
10/1/2017,2525135702
1/1/2018,2557103416
4/1/2018,2589820564
7/1/2018,2622743522
10/1/2018,2656184398
1/1/2019,2689352766
4/1/2019,2722626094
7/1/2019,2754074046
10/1/2019,2783102493
1/1/2020,2765870070
4/1/2020,2577186083
7/1/2020,2660481541
10/1/2020,2719461606
1/1/2021,2747494081
4/1/2021,2761758164
7/1/2021,2768036187
10/1/2021,2842771269
1/1/2022,2876213601
4/1/2022,2909964430
7/1/2022,2943265271
10/1/2022,2980779898
1/1/2023,3016974351
4/1/2023,3056651049
7/1/2023,3094853197
10/1/2023,3132974003
1/1/2024,3172732243
4/1/2024,3209251357
7/1/2024,3249601094
10/1/2024,3288947707
1/1/2025,3329510627
4/1/2025,3373367111
7/1/2025,3415966578
10/1/2025,3461680385
