Date,IHSG
30/12/2025,8646.938
29/12/2025,8644.256
24/12/2025,8537.911
23/12/2025,8584.782
22/12/2025,8645.844
19/12/2025,8609.551
18/12/2025,8618.195
17/12/2025,8677.345
16/12/2025,8686.469
15/12/2025,8649.662
12/12/2025,8660.499
11/12/2025,8620.481
10/12/2025,8700.924
09/12/2025,8657.179
08/12/2025,8710.695
05/12/2025,8632.761
04/12/2025,8640.196
03/12/2025,8611.787
02/12/2025,8617.043
01/12/2025,8548.788
28/11/2025,8508.706
27/11/2025,8545.865
26/11/2025,8602.13
25/11/2025,8521.885
24/11/2025,8570.254
21/11/2025,8414.352
20/11/2025,8419.917
19/11/2025,8406.577
18/11/2025,8361.926
17/11/2025,8416.882
14/11/2025,8370.436
13/11/2025,8371.999
12/11/2025,8388.566
11/11/2025,8366.515
10/11/2025,8391.24
07/11/2025,8394.59
06/11/2025,8337.058
05/11/2025,8318.526
04/11/2025,8241.911
03/11/2025,8275.084
31/10/2025,8163.875
30/10/2025,8184.064
29/10/2025,8166.224
28/10/2025,8092.629
27/10/2025,8117.151
24/10/2025,8271.722
23/10/2025,8274.352
22/10/2025,8152.553
21/10/2025,8238.084
20/10/2025,8088.978
17/10/2025,7915.656
16/10/2025,8124.757
15/10/2025,8051.175
14/10/2025,8066.522
13/10/2025,8227.202
10/10/2025,8257.859
09/10/2025,8250.938
08/10/2025,8166.029
07/10/2025,8169.281
06/10/2025,8139.894
03/10/2025,8118.301
02/10/2025,8071.081
01/10/2025,8043.822
30/09/2025,8061.062
29/09/2025,8123.245
26/09/2025,8099.333
25/09/2025,8040.665
24/09/2025,8126.558
23/09/2025,8125.201
22/09/2025,8040.039
19/09/2025,8051.118
18/09/2025,8008.433
17/09/2025,8025.179
16/09/2025,7957.696
15/09/2025,7937.118
12/09/2025,7854.06
11/09/2025,7747.905
10/09/2025,7699.007
09/09/2025,7628.605
08/09/2025,7766.849
04/09/2025,7867.348
03/09/2025,7885.863
02/09/2025,7801.585
01/09/2025,7736.066
29/08/2025,7830.493
28/08/2025,7952.088
27/08/2025,7936.176
26/08/2025,7905.757
25/08/2025,7926.907
22/08/2025,7858.851
21/08/2025,7890.715
20/08/2025,7943.825
19/08/2025,7862.949
15/08/2025,7898.375
14/08/2025,7931.251
13/08/2025,7892.911
12/08/2025,7791.697
11/08/2025,7605.925
08/08/2025,7533.385
07/08/2025,7490.183
06/08/2025,7503.75
05/08/2025,7515.185
04/08/2025,7464.645
01/08/2025,7537.768
31/07/2025,7484.337
30/07/2025,7549.888
29/07/2025,7617.907
28/07/2025,7614.768
25/07/2025,7543.503
24/07/2025,7530.902
23/07/2025,7469.23
22/07/2025,7344.736
21/07/2025,7398.192
18/07/2025,7311.915
17/07/2025,7287.021
16/07/2025,7192.018
15/07/2025,7140.474
14/07/2025,7097.151
11/07/2025,7047.438
10/07/2025,7005.371
09/07/2025,6943.922
08/07/2025,6904.392
07/07/2025,6900.932
04/07/2025,6865.192
03/07/2025,6878.051
02/07/2025,6881.245
01/07/2025,6915.36
30/06/2025,6927.679
26/06/2025,6897.4
25/06/2025,6832.143
24/06/2025,6869.171
23/06/2025,6787.14
20/06/2025,6907.138
19/06/2025,6968.639
18/06/2025,7107.789
17/06/2025,7155.852
16/06/2025,7117.591
13/06/2025,7166.065
12/06/2025,7204.37
11/06/2025,7222.456
10/06/2025,7230.745
05/06/2025,7113.425
04/06/2025,7069.037
03/06/2025,7044.822
02/06/2025,7065.069
28/05/2025,7175.819
27/05/2025,7198.967
26/05/2025,7188.353
23/05/2025,7214.163
22/05/2025,7166.981
21/05/2025,7142.461
20/05/2025,7094.602
19/05/2025,7141.091
16/05/2025,7106.526
15/05/2025,7040.161
14/05/2025,6979.88
09/05/2025,6832.803
08/05/2025,6827.75
07/05/2025,6926.225
06/05/2025,6898.197
05/05/2025,6831.952
02/05/2025,6815.73
30/04/2025,6766.795
29/04/2025,6749.075
28/04/2025,6722.966
25/04/2025,6678.915
24/04/2025,6613.478
23/04/2025,6634.377
22/04/2025,6538.266
21/04/2025,6445.967
17/04/2025,6438.269
16/04/2025,6400.054
15/04/2025,6441.683
14/04/2025,6368.517
11/04/2025,6262.226
10/04/2025,6254.024
09/04/2025,5967.988
08/04/2025,5996.142
27/03/2025,6510.62
26/03/2025,6472.356
25/03/2025,6235.619
24/03/2025,6161.218
21/03/2025,6258.179
20/03/2025,6381.674
19/03/2025,6311.66
18/03/2025,6223.388
17/03/2025,6471.947
14/03/2025,6515.631
13/03/2025,6647.417
12/03/2025,6665.045
11/03/2025,6545.85
10/03/2025,6598.212
07/03/2025,6636
06/03/2025,6617.847
05/03/2025,6531.399
04/03/2025,6380.401
03/03/2025,6519.658
28/02/2025,6270.597
27/02/2025,6485.448
26/02/2025,6606.178
25/02/2025,6587.087
24/02/2025,6749.601
21/02/2025,6803.001
20/02/2025,6788.042
19/02/2025,6794.868
18/02/2025,6873.554
17/02/2025,6830.882
14/02/2025,6638.459
13/02/2025,6613.568
12/02/2025,6645.778
11/02/2025,6531.99
10/02/2025,6648.142
07/02/2025,6742.576
06/02/2025,6875.536
05/02/2025,7024.228
04/02/2025,7073.459
03/02/2025,7030.058
31/01/2025,7109.196
30/01/2025,7073.478
24/01/2025,7166.056
23/01/2025,7232.643
22/01/2025,7257.128
21/01/2025,7181.82
20/01/2025,7170.737
17/01/2025,7154.658
16/01/2025,7107.519
15/01/2025,7079.562
14/01/2025,6956.665
13/01/2025,7016.879
10/01/2025,7088.866
09/01/2025,7064.588
08/01/2025,7080.352
07/01/2025,7083.284
06/01/2025,7080.474
03/01/2025,7164.429
02/01/2025,7163.205
30/12/2024,7079.905
27/12/2024,7036.571
24/12/2024,7065.746
23/12/2024,7096.445
20/12/2024,6983.865
19/12/2024,6977.238
18/12/2024,7107.875
17/12/2024,7157.732
16/12/2024,7258.631
13/12/2024,7324.789
12/12/2024,7394.238
11/12/2024,7464.752
10/12/2024,7453.287
09/12/2024,7437.731
06/12/2024,7382.785
05/12/2024,7313.313
04/12/2024,7326.764
03/12/2024,7196.017
02/12/2024,7046.986
29/11/2024,7114.266
28/11/2024,7200.157
26/11/2024,7245.888
25/11/2024,7314.108
22/11/2024,7195.565
21/11/2024,7140.912
20/11/2024,7180.335
19/11/2024,7195.715
18/11/2024,7134.277
15/11/2024,7161.258
14/11/2024,7214.561
13/11/2024,7308.671
12/11/2024,7321.986
11/11/2024,7266.46
08/11/2024,7287.191
07/11/2024,7243.86
06/11/2024,7383.868
05/11/2024,7491.931
04/11/2024,7479.503
01/11/2024,7505.257
31/10/2024,7574.019
30/10/2024,7569.85
29/10/2024,7606.6
28/10/2024,7634.631
25/10/2024,7694.66
24/10/2024,7716.549
23/10/2024,7787.565
22/10/2024,7788.983
21/10/2024,7772.596
18/10/2024,7760.06
17/10/2024,7735.039
16/10/2024,7648.94
15/10/2024,7626.951
14/10/2024,7559.655
11/10/2024,7520.602
10/10/2024,7480.08
09/10/2024,7501.285
08/10/2024,7557.142
07/10/2024,7504.135
04/10/2024,7496.091
03/10/2024,7543.828
02/10/2024,7563.262
01/10/2024,7642.133
30/09/2024,7527.929
27/09/2024,7696.916
26/09/2024,7744.516
25/09/2024,7740.902
24/09/2024,7778.491
23/09/2024,7775.731
20/09/2024,7743.004
19/09/2024,7905.39
18/09/2024,7829.135
17/09/2024,7831.779
13/09/2024,7812.131
12/09/2024,7798.154
11/09/2024,7760.955
10/09/2024,7761.388
09/09/2024,7702.739
06/09/2024,7721.846
05/09/2024,7681.043
04/09/2024,7672.896
03/09/2024,7616.521
02/09/2024,7694.53
30/08/2024,7670.733
29/08/2024,7627.604
28/08/2024,7658.875
27/08/2024,7597.881
26/08/2024,7606.195
23/08/2024,7544.298
22/08/2024,7488.676
21/08/2024,7554.593
20/08/2024,7533.985
19/08/2024,7466.831
16/08/2024,7432.09
15/08/2024,7409.501
14/08/2024,7436.039
13/08/2024,7356.638
12/08/2024,7297.625
09/08/2024,7256.996
08/08/2024,7195.121
07/08/2024,7212.131
06/08/2024,7129.215
05/08/2024,7059.653
02/08/2024,7308.123
01/08/2024,7325.985
31/07/2024,7255.762
30/07/2024,7241.864
29/07/2024,7288.897
26/07/2024,7288.167
25/07/2024,7240.277
24/07/2024,7262.759
23/07/2024,7313.857
22/07/2024,7321.976
19/07/2024,7294.495
18/07/2024,7321.071
17/07/2024,7224.218
16/07/2024,7224.293
15/07/2024,7278.863
12/07/2024,7327.58
11/07/2024,7300.407
10/07/2024,7287.042
09/07/2024,7269.801
08/07/2024,7250.977
