date,m2,m2 mom
"Thursday, January 1, 2015","4,174,826",0.035928413
"Sunday, February 1, 2015","4,218,123",1.037093544
"Sunday, March 1, 2015","4,246,361",0.669454912
"Wednesday, April 1, 2015","4,275,711",0.691178133
"Friday, May 1, 2015","4,288,369",0.296047831
"Monday, June 1, 2015","4,358,802",1.642401709
"Wednesday, July 1, 2015","4,373,208",0.33051723
"Saturday, August 1, 2015","4,404,085",0.706047581
"Tuesday, September 1, 2015","4,508,603",2.373208948
"Thursday, October 1, 2015","4,443,078",-1.453334603
"Sunday, November 1, 2015","4,452,325",0.208111805
"Tuesday, December 1, 2015","4,548,800",2.166859508
"Friday, January 1, 2016","4,498,361",-1.108841607
"Monday, February 1, 2016","4,521,951",0.524411414
"Tuesday, March 1, 2016","4,561,873",0.882833941
"Friday, April 1, 2016","4,581,878",0.438533736
"Sunday, May 1, 2016","4,614,062",0.70241833
"Wednesday, June 1, 2016","4,737,451",2.674203659
"Friday, July 1, 2016","4,730,380",-0.149269083
"Monday, August 1, 2016","4,746,027",0.330776831
"Thursday, September 1, 2016","4,737,631",-0.176904189
"Saturday, October 1, 2016","4,778,479",0.862205859
"Tuesday, November 1, 2016","4,868,651",1.887049667
"Thursday, December 1, 2016","5,004,977",2.800069784
"Sunday, January 1, 2017","4,936,882",-1.360541774
"Wednesday, February 1, 2017","4,942,920",0.122299257
"Wednesday, March 1, 2017","5,017,644",1.511733826
"Saturday, April 1, 2017","5,033,780",0.321599967
"Monday, May 1, 2017","5,126,370",1.839370308
"Thursday, June 1, 2017","5,225,166",1.927203989
"Saturday, July 1, 2017","5,178,079",-0.901158206
"Tuesday, August 1, 2017","5,219,648",0.802785782
"Friday, September 1, 2017","5,254,139",0.660789433
"Sunday, October 1, 2017","5,284,320",0.574435751
"Wednesday, November 1, 2017","5,321,432",0.702296774
"Friday, December 1, 2017","5,419,165",1.836597446
"Monday, January 1, 2018","5,351,685",-1.245217287
"Thursday, February 1, 2018","5,351,650",-0.000641667
"Thursday, March 1, 2018","5,395,826",0.825459574
"Sunday, April 1, 2018","5,409,089",0.245796842
"Tuesday, May 1, 2018","5,435,083",0.48056375
"Friday, June 1, 2018","5,534,150",1.822730238
"Sunday, July 1, 2018","5,507,792",-0.476280564
"Wednesday, August 1, 2018","5,529,452",0.393262145
"Saturday, September 1, 2018","5,606,780",1.398476425
"Monday, October 1, 2018","5,667,512",1.083192335
"Thursday, November 1, 2018","5,670,975",0.061105119
"Saturday, December 1, 2018","5,760,046",1.570646251
"Tuesday, January 1, 2019","5,644,985",-1.997571304
"Friday, February 1, 2019","5,670,778",0.456908198
"Friday, March 1, 2019","5,747,247",1.348479094
"Monday, April 1, 2019","5,746,732",-0.008961682
"Wednesday, May 1, 2019","5,860,509",1.979855413
"Saturday, June 1, 2019","5,908,509",0.819050394
"Monday, July 1, 2019","5,941,133",0.552149933
