date,m2
1/1/2025,"9,198,352"
12/1/2024,"9,246,630"
11/1/2024,"9,134,672"
10/1/2024,"9,082,755"
9/1/2024,"9,047,999"
8/1/2024,"8,975,512"
7/1/2024,"8,983,383"
6/1/2024,"9,015,355"
5/1/2024,"8,968,821"
4/1/2024,"8,926,466"
3/1/2024,"8,891,425"
2/1/2024,"8,739,574"
1/1/2024,"8,721,950"
12/1/2023,"8,826,531"
11/1/2023,"8,574,917"
10/1/2023,"8,506,544"
9/1/2023,"8,441,236"
8/1/2023,"8,364,739"
7/1/2023,"8,349,492"
6/1/2023,"8,372,990"
5/1/2023,"8,336,171"
4/1/2023,"8,352,350"
3/1/2023,"8,293,283"
2/1/2023,"8,300,648"
1/1/2023,"8,271,838"
12/1/2022,"8,528,022"
11/1/2022,"8,297,350"
10/1/2022,"8,223,055"
9/1/2022,"7,962,693"
8/1/2022,"7,897,628"
7/1/2022,"7,845,552"
6/1/2022,"7,890,747"
5/1/2022,"7,854,187"
4/1/2022,"7,911,484"
3/1/2022,"7,810,949"
2/1/2022,"7,690,135"
1/1/2022,"7,646,789"
12/1/2021,"7,870,453"
11/1/2021,"7,573,320"
10/1/2021,"7,491,704"
9/1/2021,"7,300,921"
8/1/2021,"7,211,501"
7/1/2021,"7,160,560"
6/1/2021,"7,130,061"
5/1/2021,"7,004,093"
4/1/2021,"6,964,386"
3/1/2021,"6,895,564"
2/1/2021,"6,817,788"
1/1/2021,"6,767,408"
12/1/2020,"6,905,939"
11/1/2020,"6,821,198"
10/1/2020,"6,782,147"
9/1/2020,"6,748,814"
8/1/2020,"6,730,994"
7/1/2020,"6,566,671"
6/1/2020,"6,391,612"
5/1/2020,"6,465,362"
4/1/2020,"6,236,651"
3/1/2020,"6,441,495"
2/1/2020,"6,118,514"
1/1/2020,"6,047,999"
12/1/2019,"6,136,777"
11/1/2019,"6,074,377"
10/1/2019,"6,026,909"
9/1/2019,"6,004,277"
8/1/2019,"5,934,562"
7/1/2019,"5,941,133"
6/1/2019,"5,908,509"
5/1/2019,"5,860,509"
4/1/2019,"5,746,732"
3/1/2019,"5,747,247"
2/1/2019,"5,670,778"
1/1/2019,"5,644,985"
12/1/2018,"5,760,046"
11/1/2018,"5,670,975"
10/1/2018,"5,667,512"
9/1/2018,"5,606,780"
8/1/2018,"5,529,452"
7/1/2018,"5,507,792"
6/1/2018,"5,534,150"
5/1/2018,"5,435,083"
4/1/2018,"5,409,089"
3/1/2018,"5,395,826"
2/1/2018,"5,351,650"
1/1/2018,"5,351,685"
12/1/2017,"5,419,165"
11/1/2017,"5,321,432"
10/1/2017,"5,284,320"
9/1/2017,"5,254,139"
8/1/2017,"5,219,648"
7/1/2017,"5,178,079"
6/1/2017,"5,225,166"
5/1/2017,"5,126,370"
4/1/2017,"5,033,780"
3/1/2017,"5,017,644"
2/1/2017,"4,942,920"
1/1/2017,"4,936,882"
12/1/2016,"5,004,977"
11/1/2016,"4,868,651"
10/1/2016,"4,778,479"
9/1/2016,"4,737,631"
8/1/2016,"4,746,027"
7/1/2016,"4,730,380"
6/1/2016,"4,737,451"
5/1/2016,"4,614,062"
4/1/2016,"4,581,878"
3/1/2016,"4,561,873"
2/1/2016,"4,521,951"
1/1/2016,"4,498,361"
12/1/2015,"4,548,800"
11/1/2015,"4,452,325"
10/1/2015,"4,443,078"
9/1/2015,"4,508,603"
8/1/2015,"4,404,085"
7/1/2015,"4,373,208"
6/1/2015,"4,358,802"
5/1/2015,"4,288,369"
4/1/2015,"4,275,711"
3/1/2015,"4,246,361"
2/1/2015,"4,218,123"
1/1/2015,"4,174,826"
