Date,IHSG,Inflation Rate YoY,Money Supply M2 YoY,USDIDR,BI Interest Rate,npl_ratio
31/01/2025,7109.196,0.76,5.46,16300,5.75%,2.18%
31/12/2024,7079.905,1.57,4.76,16102,6.00%,2.08%
30/11/2024,7114.266,1.55,6.53,15845,6.00%,2.19%
31/10/2024,7574.019,1.71,6.77,15697,6.00%,2.20%
30/09/2024,7527.929,1.84,7.19,15140,6.00%,2.21%
31/08/2024,7670.733,2.12,7.3,15455,6.25%,2.26%
31/07/2024,7255.762,2.13,7.59,16260,6.25%,2.27%
30/06/2024,7063.577,2.51,7.67,16375,6.25%,2.26%
31/05/2024,6970.736,2.84,7.59,16250,6.25%,2.34%
30/04/2024,7234.197,3,6.87,16260,6.25%,2.33%
31/03/2024,7288.813,3.05,7.21,15855,6.00%,2.25%
29/02/2024,7316.111,2.75,5.29,15715,6.00%,2.35%
31/01/2024,7207.941,2.57,5.44,15780,6.00%,2.35%
31/12/2023,7272.797,2.81,3.5,15397,6.00%,2.19%
30/11/2023,7080.741,2.98,3.35,15510,6.00%,2.36%
31/10/2023,6752.211,2.64,3.45,15885,6.00%,2.42%
30/09/2023,6939.892,2.29,6.01,15455,5.75%,2.43%
31/08/2023,6953.26,3.45,5.91,15230,5.75%,2.50%
31/07/2023,6931.359,3.11,6.42,15080,5.75%,2.51%
30/06/2023,6661.879,3.54,6.11,14993,5.75%,2.44%
31/05/2023,6633.261,4.09,6.14,14993,5.75%,2.52%
30/04/2023,6915.716,4.35,5.57,14670,5.75%,2.53%
31/03/2023,6805.277,5.01,6.18,14995,5.75%,2.49%
28/02/2023,6843.239,5.47,7.94,15250,5.75%,2.58%
31/01/2023,6839.342,5.28,8.17,14990,5.75%,2.59%
31/12/2022,6850.619,5.51,8.35,15568,5.50%,2.44%
30/11/2022,7081.313,5.42,9.56,15732,5.25%,2.65%
31/10/2022,7098.89,5.71,9.76,15598,4.75%,2.72%
30/09/2022,7040.798,5.95,9.06,15228,4.25%,2.78%
31/08/2022,7178.59,4.69,9.51,14843,3.75%,2.88%
31/07/2022,6951.123,4.94,9.57,14833,3.50%,2.90%
30/06/2022,6911.582,4.35,10.67,14898,3.50%,2.86%
31/05/2022,7148.97,3.55,12.14,14583,3.50%,3.04%
30/04/2022,7228.914,3.47,13.6,14497,3.50%,3.00%
31/03/2022,7071.442,2.64,13.27,14369,3.50%,2.99%
28/02/2022,6888.171,2.06,12.8,14367,3.50%,3.08%
31/01/2022,6631.151,2.18,12.99,14383,3.50%,3.10%
31/12/2021,6581.482,1.87,13.97,14253,3.50%,3.00%
30/11/2021,6533.932,1.75,11.03,14323,3.50%,3.19%
31/10/2021,6591.346,1.66,10.46,14168,3.50%,3.22%
30/09/2021,6286.943,1.6,8.18,14313,3.50%,3.22%
31/08/2021,6150.299,1.59,7.14,14268,3.50%,3.35%
31/07/2021,6070.039,1.52,9.04,14463,3.50%,3.35%
30/06/2021,5985.489,1.33,11.55,14500,3.50%,3.24%
31/05/2021,5947.463,1.68,8.33,14280,3.50%,3.35%
30/04/2021,5995.616,1.42,11.67,14445,3.50%,3.22%
31/03/2021,5985.522,1.37,7.05,14525,3.50%,3.17%
28/02/2021,6241.796,1.38,11.43,14235,3.50%,3.21%
31/01/2021,5862.352,1.55,11.89,14030,3.75%,3.17%
31/12/2020,5979.073,1.68,12.53,14050,3.75%,3.06%
30/11/2020,5612.415,1.59,12.29,14120,3.75%,3.18%
31/10/2020,5128.225,1.44,12.53,14625,4.00%,3.15%
30/09/2020,4870.039,1.42,12.4,14880,4.00%,3.14%
31/08/2020,5238.487,1.32,13.42,14563,4.00%,3.22%
31/07/2020,5149.627,1.54,10.53,14600,4.00%,3.22%
30/06/2020,4905.392,1.96,8.18,14265,4.25%,3.11%
31/05/2020,4753.612,2.19,10.32,14610,4.50%,3.00%
30/04/2020,4716.403,2.67,8.53,14882,4.50%,2.89%
31/03/2020,4538.93,2.96,12.08,16310,4.50%,2.77%
29/02/2020,5452.704,2.98,7.9,14318,4.75%,2.79%
31/01/2020,5940.048,2.68,7.14,13655,5.00%,2.77%
31/12/2019,6299.539,2.72,6.54,13866,5.00%,2.53%
30/11/2019,6011.83,3,7.11,14108,5.00%,2.77%
31/10/2019,6228.317,3.13,6.34,14041,5.00%,2.73%
30/09/2019,6169.102,3.39,7.09,14195,5.25%,2.66%
31/08/2019,6328.47,3.49,7.33,14191,5.50%,2.60%
31/07/2019,6390.505,3.32,7.87,14022,5.75%,2.55%
30/06/2019,6358.629,3.28,6.76,14128,6.00%,2.50%
31/05/2019,6209.117,3.32,7.83,14273,6.00%,2.61%
30/04/2019,6455.352,2.83,6.24,14259,6.00%,2.57%
31/03/2019,6468.755,2.48,6.51,14241,6.00%,2.51%
28/02/2019,6443.348,2.57,5.96,14069,6.00%,2.59%
31/01/2019,6532.969,2.82,5.48,13973,6.00%,2.56%
31/12/2018,6194.498,3.13,6.29,14390,6.00%,2.37%
30/11/2018,6056.124,3.23,6.57,14302,6.00%,2.67%
31/10/2018,5831.65,3.16,7.25,15203,5.75%,2.65%
30/09/2018,5976.553,2.88,6.71,14903,5.75%,2.66%
31/08/2018,6018.46,3.2,5.94,14730,5.50%,2.74%
31/07/2018,5936.443,3.18,6.37,14420,5.25%,2.73%
30/06/2018,5799.237,3.12,5.91,14330,5.25%,2.67%
31/05/2018,5983.587,3.23,6.02,13894,4.75%,2.79%
30/04/2018,5994.595,3.41,7.46,13913,4.25%,2.79%
31/03/2018,6188.987,3.4,7.54,13768,4.25%,2.75%
28/02/2018,6597.218,3.18,8.27,13745,4.25%,2.88%
31/01/2018,6605.631,3.25,8.4,13389,4.25%,2.86%
31/12/2017,6355.654,3.61,8.28,13568,4.25%,2.59%
30/11/2017,5952.138,3.3,9.3,13526,4.25%,2.89%
31/10/2017,6005.784,3.58,10.59,13563,4.25%,2.96%
30/09/2017,5900.854,3.72,10.9,13472,4.25%,2.93%
31/08/2017,5864.059,3.82,9.98,13342,4.50%,3.05%
31/07/2017,5840.939,3.88,9.46,13325,4.75%,3.00%
30/06/2017,5829.708,4.37,10.29,13328,4.75%,2.96%
31/05/2017,5738.155,4.33,11.1,13323,4.75%,3.07%
30/04/2017,5685.298,4.17,9.86,13329,4.75%,3.07%
31/03/2017,5568.106,3.61,9.99,13326,4.75%,3.04%
28/02/2017,5386.692,3.83,9.31,13336,4.75%,3.16%
31/01/2017,5294.103,3.49,9.75,13352,4.75%,3.09%
31/12/2016,5296.711,3.02,10.03,13473,4.75%,2.93%
30/11/2016,5148.91,3.58,9.35,13553,4.75%,3.18%
31/10/2016,5422.542,3.31,7.55,13048,4.75%,3.22%
30/09/2016,5364.804,3.07,5.08,13051,5.00%,3.10%
31/08/2016,5386.082,2.79,7.76,13265,5.25%,3.22%
31/07/2016,5215.994,3.21,8.17,13099,6.50%,3.18%
30/06/2016,5016.647,3.45,8.69,13220,6.50%,3.05%
31/05/2016,4796.869,3.33,7.59,13658,6.75%,3.11%
30/04/2016,4838.583,3.6,7.16,13197,6.75%,2.93%
31/03/2016,4845.371,4.45,7.43,13260,6.75%,2.83%
29/02/2016,4770.956,4.42,7.2,13376,7.00%,2.87%
31/01/2016,4615.163,4.14,7.75,13776,7.25%,2.73%
31/12/2015,4593.008,3.35,9,13788,7.50%,2.49%
30/11/2015,4446.458,4.89,9.21,13841,7.50%,2.66%
31/10/2015,4455.18,6.25,10.4,13695,7.50%,2.68%
30/09/2015,4223.908,6.83,12.43,14651,7.50%,2.71%
31/08/2015,4509.607,7.18,13.32,14053,7.50%,2.76%
31/07/2015,4802.529,7.26,12.5,13531,7.50%,2.70%
30/06/2015,4910.658,7.26,12.98,13333,7.50%,2.56%
31/05/2015,5216.379,7.15,13.42,13225,7.50%,2.58%
30/04/2015,5086.425,6.79,14.88,12964,7.50%,2.48%
31/03/2015,5518.675,6.38,16.26,13075,7.50%,2.40%
28/02/2015,5450.294,6.29,16.04,12928,7.50%,2.43%
31/01/2015,5289.404,6.96,14.31,12755,7.75%,2.37%
