date,non_performing_loan
01/01/15,"86,117"
01/02/15,"89,072"
01/03/15,"88,401"
01/04/15,"92,142"
01/05/15,"97,092"
01/06/15,"97,959"
01/07/15,"103,615"
01/08/15,"107,047"
01/09/15,"107,248"
01/10/15,"105,007"
01/11/15,"104,993"
01/12/15,"100,933"
01/01/16,"108,846"
01/02/16,"113,761"
01/03/16,"113,077"
01/04/16,"117,295"
01/05/16,"126,616"
01/06/16,"127,156"
01/07/16,"131,425"
01/08/16,"133,546"
01/09/16,"130,728"
01/10/16,"135,563"
01/11/16,"136,246"
01/12/16,"128,135"
01/01/17,"133,311"
01/02/17,"135,991"
01/03/17,"132,984"
01/04/17,"134,645"
01/05/17,"136,039"
01/06/17,"133,144"
01/07/17,"134,135"
01/08/17,"136,721"
01/09/17,"133,276"
01/10/17,"135,039"
01/11/17,"132,864"
01/12/17,"122,922"
01/01/18,"132,703"
01/02/18,"134,346"
01/03/18,"130,458"
01/04/18,"133,497"
01/05/18,"136,175"
01/06/18,"133,022"
01/07/18,"135,991"
01/08/18,"137,757"
01/09/18,"136,061"
01/10/18,"136,916"
01/11/18,"137,606"
01/12/18,"125,264"
01/01/19,"132,577"
01/02/19,"135,158"
01/03/19,"132,912"
01/04/19,"136,592"
01/05/19,"141,557"
01/06/19,"136,877"
01/07/19,"139,051"
01/08/19,"142,058"
01/09/19,"146,759"
01/10/19,"150,404"
01/11/19,"153,041"
01/12/19,"141,834"
01/01/20,"152,156"
01/02/20,"154,363"
01/03/20,"158,304"
01/04/20,"162,305"
01/05/20,"167,717"
01/06/20,"172,554"
01/07/20,"178,399"
01/08/20,"177,735"
01/09/20,"173,899"
01/10/20,"172,829"
01/11/20,"172,972"
01/12/20,"167,707"
01/01/21,"170,873"
01/02/21,"173,772"
01/03/21,"174,164"
01/04/21,"176,481"
01/05/21,"184,547"
01/06/21,"180,722"
01/07/21,"186,161"
01/08/21,"187,371"
01/09/21,"181,878"
01/10/21,"182,023"
01/11/21,"182,195"
01/12/21,"173,270"
01/01/22,"176,933"
01/02/22,"177,415"
01/03/22,"175,093"
01/04/22,"179,421"
01/05/22,"183,010"
01/06/22,"176,635"
01/07/22,"178,556"
01/08/22,"177,803"
01/09/22,"174,459"
01/10/22,"172,480"
01/11/22,"168,313"
01/12/22,"156,576"
01/01/23,"163,744"
01/02/23,"164,506"
01/03/23,"160,455"
01/04/23,"163,336"
01/05/23,"165,848"
01/06/23,"162,203"
01/07/23,"167,840"
01/08/23,"168,213"
01/09/23,"166,479"
01/10/23,"166,778"
01/11/23,"164,638"
01/12/23,"154,977"
01/01/24,"165,548"
01/02/24,"166,603"
01/03/24,"163,260"
01/04/24,"170,002"
01/05/24,"172,339"
01/06/24,"169,234"
01/07/24,"170,895"
01/08/24,"169,596"
01/09/24,"167,192"
01/10/24,"168,329"
01/11/24,"168,963"
01/12/24,"162,906"
01/01/25,"169,752"
