date,npl_ratio
01/01/15,2.37%
01/02/15,2.43%
01/03/15,2.40%
01/04/15,2.48%
01/05/15,2.58%
01/06/15,2.56%
01/07/15,2.70%
01/08/15,2.76%
01/09/15,2.71%
01/10/15,2.68%
01/11/15,2.66%
01/12/15,2.49%
01/01/16,2.73%
01/02/16,2.87%
01/03/16,2.83%
01/04/16,2.93%
01/05/16,3.11%
01/06/16,3.05%
01/07/16,3.18%
01/08/16,3.22%
01/09/16,3.10%
01/10/16,3.22%
01/11/16,3.18%
01/12/16,2.93%
01/01/17,3.09%
01/02/17,3.16%
01/03/17,3.04%
01/04/17,3.07%
01/05/17,3.07%
01/06/17,2.96%
01/07/17,3.00%
01/08/17,3.05%
01/09/17,2.93%
01/10/17,2.96%
01/11/17,2.89%
01/12/17,2.59%
01/01/18,2.86%
01/02/18,2.88%
01/03/18,2.75%
01/04/18,2.79%
01/05/18,2.79%
01/06/18,2.67%
01/07/18,2.73%
01/08/18,2.74%
01/09/18,2.66%
01/10/18,2.65%
01/11/18,2.67%
01/12/18,2.37%
01/01/19,2.56%
01/02/19,2.59%
01/03/19,2.51%
01/04/19,2.57%
01/05/19,2.61%
01/06/19,2.50%
01/07/19,2.55%
01/08/19,2.60%
01/09/19,2.66%
01/10/19,2.73%
01/11/19,2.77%
01/12/19,2.53%
01/01/20,2.77%
01/02/20,2.79%
01/03/20,2.77%
01/04/20,2.89%
01/05/20,3.00%
01/06/20,3.11%
01/07/20,3.22%
01/08/20,3.22%
01/09/20,3.14%
01/10/20,3.15%
01/11/20,3.18%
01/12/20,3.06%
01/01/21,3.17%
01/02/21,3.21%
01/03/21,3.17%
01/04/21,3.22%
01/05/21,3.35%
01/06/21,3.24%
01/07/21,3.35%
01/08/21,3.35%
01/09/21,3.22%
01/10/21,3.22%
01/11/21,3.19%
01/12/21,3.00%
01/01/22,3.10%
01/02/22,3.08%
01/03/22,2.99%
01/04/22,3.00%
01/05/22,3.04%
01/06/22,2.86%
01/07/22,2.90%
01/08/22,2.88%
01/09/22,2.78%
01/10/22,2.72%
01/11/22,2.65%
01/12/22,2.44%
01/01/23,2.59%
01/02/23,2.58%
01/03/23,2.49%
01/04/23,2.53%
01/05/23,2.52%
01/06/23,2.44%
01/07/23,2.51%
01/08/23,2.50%
01/09/23,2.43%
01/10/23,2.42%
01/11/23,2.36%
01/12/23,2.19%
01/01/24,2.35%
01/02/24,2.35%
01/03/24,2.25%
01/04/24,2.33%
01/05/24,2.34%
01/06/24,2.26%
01/07/24,2.27%
01/08/24,2.26%
01/09/24,2.21%
01/10/24,2.20%
01/11/24,2.19%
01/12/24,2.08%
01/01/25,2.18%
