date,Terakhir
23/02/2026,"16.853,3"
22/02/2026,"16.853,3"
20/02/2026,"16.865,0"
19/02/2026,"16.875,0"
18/02/2026,"16.880,0"
17/02/2026,"16.830,0"
16/02/2026,"16.830,0"
13/02/2026,"16.830,0"
12/2/2026,"16.815,0"
11/2/2026,"16.780,0"
10/2/2026,"16.795,0"
9/2/2026,"16.800,0"
6/2/2026,"16.865,0"
5/2/2026,"16.830,0"
4/2/2026,"16.770,0"
3/2/2026,"16.760,0"
2/2/2026,"16.790,0"
30/01/2026,"16.785,0"
29/01/2026,"16.747,5"
28/01/2026,"16.705,0"
27/01/2026,"16.765,0"
26/01/2026,"16.775,0"
23/01/2026,"16.815,0"
22/01/2026,"16.885,0"
21/01/2026,"16.935,0"
20/01/2026,"16.950,0"
19/01/2026,"16.940,0"
16/01/2026,"16.885,0"
15/01/2026,"16.885,0"
14/01/2026,"16.860,0"
13/01/2026,"16.865,0"
12/1/2026,"16.830,0"
9/1/2026,"16.800,0"
8/1/2026,"16.790,0"
7/1/2026,"16.775,0"
6/1/2026,"16.750,0"
5/1/2026,"16.740,0"
2/1/2026,"16.720,0"
1/1/2026,"16.675,0"
31/12/2025,"16.675,0"
30/12/2025,"16.760,0"
29/12/2025,"16.785,0"
26/12/2025,"16.755,0"
25/12/2025,"16.755,0"
24/12/2025,"16.755,0"
23/12/2025,"16.770,0"
22/12/2025,"16.770,0"
19/12/2025,"16.740,0"
18/12/2025,"16.715,0"
17/12/2025,"16.685,0"
16/12/2025,"16.690,0"
15/12/2025,"16.665,0"
12/12/2025,"16.640,0"
11/12/2025,"16.670,0"
10/12/2025,"16.685,0"
9/12/2025,"16.665,0"
8/12/2025,"16.690,0"
5/12/2025,"16.640,0"
4/12/2025,"16.645,0"
3/12/2025,"16.620,0"
2/12/2025,"16.620,0"
1/12/2025,"16.655,0"
28/11/2025,"16.655,0"
27/11/2025,"16.640,0"
26/11/2025,"16.660,0"
25/11/2025,"16.660,0"
24/11/2025,"16.692,5"
21/11/2025,"16.694,0"
20/11/2025,"16.730,0"
19/11/2025,"16.692,5"
18/11/2025,"16.740,0"
17/11/2025,"16.725,0"
14/11/2025,"16.694,0"
13/11/2025,"16.725,0"
12/11/2025,"16.697,0"
11/11/2025,"16.685,0"
10/11/2025,"16.650,0"
7/11/2025,"16.684,5"
6/11/2025,"16.694,0"
5/11/2025,"16.705,0"
4/11/2025,"16.697,0"
3/11/2025,"16.655,0"
31/10/2025,"16.630,0"
30/10/2025,"16.640,0"
29/10/2025,"16.615,0"
28/10/2025,"16.605,0"
27/10/2025,"16.615,0"
24/10/2025,"16.595,0"
23/10/2025,"16.620,0"
22/10/2025,"16.575,0"
21/10/2025,"16.590,0"
20/10/2025,"16.575,0"
17/10/2025,"16.580,0"
16/10/2025,"16.570,0"
15/10/2025,"16.565,0"
14/10/2025,"16.575,0"
13/10/2025,"16.560,0"
10/10/2025,"16.550,0"
9/10/2025,"16.545,0"
8/10/2025,"16.560,0"
7/10/2025,"16.540,0"
6/10/2025,"16.550,0"
3/10/2025,"16.535,0"
2/10/2025,"16.585,0"
1/10/2025,"16.605,0"
30/09/2025,"16.665,0"
29/09/2025,"16.670,0"
26/09/2025,"16.730,0"
25/09/2025,"16.740,0"
24/09/2025,"16.675,0"
23/09/2025,"16.665,0"
22/09/2025,"16.605,0"
19/09/2025,"16.590,0"
18/09/2025,"16.505,0"
17/09/2025,"16.430,0"
16/09/2025,"16.440,0"
15/09/2025,"16.410,0"
12/9/2025,"16.377,5"
11/9/2025,"16.460,0"
10/9/2025,"16.460,0"
9/9/2025,"16.475,0"
8/9/2025,"16.304,0"
5/9/2025,"16.420,0"
4/9/2025,"16.420,0"
3/9/2025,"16.414,5"
2/9/2025,"16.400,0"
1/9/2025,"16.415,0"
29/08/2025,"16.490,0"
28/08/2025,"16.345,0"
27/08/2025,"16.360,0"
26/08/2025,"16.294,5"
25/08/2025,"16.254,5"
22/08/2025,"16.340,0"
21/08/2025,"16.285,0"
20/08/2025,"16.267,5"
19/08/2025,"16.240,0"
18/08/2025,"16.160,0"
15/08/2025,"16.160,0"
14/08/2025,"16.110,5"
13/08/2025,"16.194,0"
12/8/2025,"16.285,0"
11/8/2025,"16.270,0"
8/8/2025,"16.290,0"
7/8/2025,"16.290,0"
6/8/2025,"16.360,0"
5/8/2025,"16.380,0"
4/8/2025,"16.390,0"
1/8/2025,"16.490,0"
31/07/2025,"16.455,0"
30/07/2025,"16.390,0"
29/07/2025,"16.394,5"
28/07/2025,"16.340,0"
25/07/2025,"16.315,0"
24/07/2025,"16.285,0"
23/07/2025,"16.290,0"
22/07/2025,"16.310,0"
21/07/2025,"16.310,0"
18/07/2025,"16.290,0"
17/07/2025,"16.330,0"
16/07/2025,"16.270,0"
15/07/2025,"16.260,0"
14/07/2025,"16.245,0"
11/7/2025,"16.210,0"
10/7/2025,"16.220,0"
9/7/2025,"16.242,5"
8/7/2025,"16.205,0"
7/7/2025,"16.230,0"
4/7/2025,"16.185,0"
3/7/2025,"16.190,0"
2/7/2025,"16.240,0"
1/7/2025,"16.190,0"
30/06/2025,"16.235,0"
27/06/2025,"16.204,0"
26/06/2025,"16.204,0"
25/06/2025,"16.290,0"
24/06/2025,"16.350,0"
23/06/2025,"16.485,0"
20/06/2025,"16.385,0"
19/06/2025,"16.395,0"
18/06/2025,"16.300,0"
17/06/2025,"16.280,0"
16/06/2025,"16.265,0"
13/06/2025,"16.295,0"
12/6/2025,"16.235,0"
11/6/2025,"16.255,0"
10/6/2025,"16.270,0"
9/6/2025,"16.275,0"
6/6/2025,"16.275,0"
5/6/2025,"16.275,0"
4/6/2025,"16.290,0"
3/6/2025,"16.285,0"
2/6/2025,"16.245,0"
30/05/2025,"16.290,0"
29/05/2025,"16.290,0"
28/05/2025,"16.290,0"
27/05/2025,"16.272,5"
26/05/2025,"16.240,0"
23/05/2025,"16.217,5"
22/05/2025,"16.330,0"
21/05/2025,"16.395,0"
20/05/2025,"16.415,0"
19/05/2025,"16.430,0"
16/05/2025,"16.440,0"
15/05/2025,"16.515,0"
14/05/2025,"16.550,0"
13/05/2025,"16.515,0"
12/5/2025,"16.515,0"
9/5/2025,"16.515,0"
8/5/2025,"16.494,0"
7/5/2025,"16.535,0"
6/5/2025,"16.450,0"
5/5/2025,"16.435,0"
2/5/2025,"16.435,0"
1/5/2025,"16.600,0"
30/04/2025,"16.600,0"
29/04/2025,"16.760,0"
28/04/2025,"16.855,0"
25/04/2025,"16.830,0"
24/04/2025,"16.870,0"
23/04/2025,"16.865,0"
22/04/2025,"16.855,0"
21/04/2025,"16.800,0"
18/04/2025,"16.820,0"
17/04/2025,"16.820,0"
16/04/2025,"16.820,0"
15/04/2025,"16.810,0"
14/04/2025,"16.770,0"
11/4/2025,"16.790,0"
10/4/2025,"16.795,0"
9/4/2025,"16.860,0"
8/4/2025,"16.860,0"
7/4/2025,"16.555,0"
4/4/2025,"16.555,0"
3/4/2025,"16.555,0"
2/4/2025,"16.555,0"
1/4/2025,"16.555,0"
31/03/2025,"16.555,0"
28/03/2025,"16.555,0"
27/03/2025,"16.555,0"
26/03/2025,"16.575,0"
25/03/2025,"16.590,0"
24/03/2025,"16.550,0"
21/03/2025,"16.495,0"
20/03/2025,"16.470,0"
19/03/2025,"16.520,0"
18/03/2025,"16.420,0"
17/03/2025,"16.395,0"
14/03/2025,"16.345,0"
13/03/2025,"16.420,0"
12/3/2025,"16.440,0"
11/3/2025,"16.400,0"
10/3/2025,"16.335,0"
7/3/2025,"16.290,0"
6/3/2025,"16.325,0"
5/3/2025,"16.310,0"
4/3/2025,"16.440,0"
3/3/2025,"16.475,0"
28/02/2025,"16.575,0"
27/02/2025,"16.445,0"
26/02/2025,"16.365,0"
25/02/2025,"16.340,0"
24/02/2025,"16.270,0"
21/02/2025,"16.300,0"
20/02/2025,"16.325,0"
19/02/2025,"16.330,0"
18/02/2025,"16.270,0"
17/02/2025,"16.210,0"
14/02/2025,"16.255,0"
13/02/2025,"16.350,0"
12/2/2025,"16.360,0"
11/2/2025,"16.370,0"
10/2/2025,"16.340,0"
7/2/2025,"16.270,0"
6/2/2025,"16.325,0"
5/2/2025,"16.280,0"
4/2/2025,"16.340,0"
3/2/2025,"16.430,0"
31/01/2025,"16.295,0"
30/01/2025,"16.255,0"
29/01/2025,"16.170,0"
28/01/2025,"16.170,0"
27/01/2025,"16.170,0"
24/01/2025,"16.170,0"
23/01/2025,"16.275,0"
22/01/2025,"16.280,0"
21/01/2025,"16.330,0"
20/01/2025,"16.355,0"
17/01/2025,"16.360,0"
16/01/2025,"16.355,0"
15/01/2025,"16.315,0"
14/01/2025,"16.260,0"
13/01/2025,"16.270,0"
10/1/2025,"16.180,0"
9/1/2025,"16.195,0"
8/1/2025,"16.190,0"
7/1/2025,"16.125,0"
6/1/2025,"16.190,0"
3/1/2025,"16.185,0"
2/1/2025,"16.190,0"
1/1/2025,"16.090,0"
31/12/2024,"16.090,0"
30/12/2024,"16.130,0"
27/12/2024,"16.230,0"
26/12/2024,"16.185,0"
25/12/2024,"16.185,0"
24/12/2024,"16.185,0"
23/12/2024,"16.170,0"
20/12/2024,"16.190,0"
19/12/2024,"16.285,0"
18/12/2024,"16.085,0"
17/12/2024,"16.060,0"
