Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,579294,570435,585579,592935,675635,625354,619652,622452,614231,611081,622384,654683,-
ii. Demand Deposits,796842,815894,843027,861343,832405,888166,868149,853092,949371,893075,930751,910675,-
Total (M1 = i+ii),1376136,1386329,1428607,1454279,1508040,1513520,1487802,1475544,1563602,1504156,1553134,1565358,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,4248576,4264672,4299148,4272092,4334710,4379037,4435433,4435064,4540893,4497071,4495761,4545213,-
vi. Securities Except Stocks,20273,19776,19492,20362,17758,15953,17898,23953,29683,25681,25482,25981,-
Total (M2 = M1 + v + vi),5644985,5670778,5747247,5746732,5860509,5908509,5941133,5934562,6134178,6026908,6074377,6136552,-
