Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,1010242.55,1008991.54,1088916.19,1025259.23,1033652.99,1039226.58,1042732.14,-,-,-,-,-,-
ii. Demand Deposits,1780132.08,1765908.06,1753788.37,1777229.19,1802365.38,1915886.1,1897512.38,-,-,-,-,-,-
Total (M1 = i+ii),2790374.63,2774899.6,2842704.56,2802488.42,2836018.37,2955112.68,2940244.52,-,-,-,-,-,-
iii. Currency Composition (%),36,36,38,37,36,35,35,-,-,-,-,-,-
iv. Demand Deposits Composition (%),64,64,62,63,64,65,65,-,-,-,-,-,-
v. Quasi Money,6300701.47,6398740.29,6487194.63,6481898.46,6465250.33,6575650.95,6573190.61,-,-,-,-,-,-
vi. Securities Except Stocks,107276.24,107439.4,106801.27,103508.31,103031.19,64489.96,56275.26,-,-,-,-,-,-
Total (M2 = M1 + v + vi),9198352.34,9281079.29,9436700.45,9387895.19,9404299.89,9595253.6,9569710.38,-,-,-,-,-,-
