Date,M1,M2
2013-01-01,787859.68,3268789.15
2013-02-01,786548.67,3280420.25
2013-03-01,810054.88,3322528.96
2013-04-01,832213.49,3360928.07
2013-05-01,822876.47,3426304.92
2013-06-01,858498.99,3413378.66
2013-07-01,879986.02,3506573.6
2013-08-01,855782.79,3502419.8
2013-09-01,867714.92,3584080.54
2013-10-01,856171.21,3576869.35
2013-11-01,870416.85,3615972.96
2013-12-01,887081.01,3730197.02
2014-01-01,842677.91,3652349.28
2014-02-01,834532.41,3643059.46
2014-03-01,853502.4,3660605.98
2014-04-01,880470.3,3730376.45
2014-05-01,906726.69,3789278.64
2014-06-01,945717.83,3865890.61
2014-07-01,918565.8,3895981.2
2014-08-01,895827.12,3895374.36
2014-09-01,949168.33,4010146.66
2014-10-01,940348.73,4024488.87
2014-11-01,955534.99,4076669.88
2014-12-01,942221.34,4173326.5
2015-01-01,918079.49,4174825.91
2015-02-01,927847.53,4218122.76
2015-03-01,957580.46,4246361.19
2015-04-01,959376.46,4275711.11
2015-05-01,980915.3,4288369.26
2015-06-01,1039517.98,4358801.51
2015-07-01,1031905.82,4373208.1
2015-08-01,1026322.91,4404085.03
2015-09-01,1063038.71,4508603.17
2015-10-01,1036310.68,4443078.08
2015-11-01,1051190.74,4452324.65
2015-12-01,1055439.82,4548800.27
2016-01-01,1046257.23,4498361.28
2016-02-01,1035550.68,4521951.2
2016-03-01,1064737.89,4561872.52
2016-04-01,1089212.2,4581877.87
2016-05-01,1118768.26,4614061.82
2016-06-01,1184328.91,4737451.23
2016-07-01,1144500.83,4730379.68
2016-08-01,1135548.18,4746026.68
2016-09-01,1126046.04,4737630.76
2016-10-01,1142785.81,4778478.89
2016-11-01,1182729.89,4868651.16
2016-12-01,1237642.57,5004976.79
2017-01-01,1191499.69,4936881.99
2017-02-01,1196036.61,4942919.76
2017-03-01,1215856.68,5017643.55
2017-04-01,1245927.39,5033780.29
2017-05-01,1275892.5,5125383.79
2017-06-01,1341851.26,5225165.76
2017-07-01,1293234.84,5178078.75
2017-08-01,1274803.26,5219647.63
2017-09-01,1304373.83,5254138.51
2017-10-01,1325762.33,5284320.16
2017-11-01,1338143.33,5321431.77
2017-12-01,1390806.95,5419165.05
2018-01-01,1326741.99,5351684.67
2018-02-01,1351258,5351650.33
2018-03-01,1361135.48,5395826.04
2018-04-01,1372576.15,5409088.81
2018-05-01,1404627.09,5435082.93
2018-06-01,1452354.45,5534149.83
2018-07-01,1383502.62,5507791.75
2018-08-01,1384264.85,5529451.81
2018-09-01,1411672.64,5606779.89
2018-10-01,1410577.6,5667512.1
2018-11-01,1405263.84,5670975.24
2018-12-01,1457149.68,5760046.2
2019-01-01,1376136,5644985
2019-02-01,1386329,5670778
2019-03-01,1428607,5747247
2019-04-01,1454279,5746732
2019-05-01,1508040,5860509
2019-06-01,1513520,5908509
2019-07-01,1487802,5941133
2019-08-01,1475544,5934562
2019-09-01,1563602,6134178
2019-10-01,1504156,6026908
2019-11-01,1553134,6074377
2019-12-01,1565358,6136552
2020-01-01,1484403,6046651
2020-02-01,1505491,6116495
2020-03-01,1648681.33,6440457.39
2020-04-01,1576401,6238267
2020-05-01,1653610.64,6468193.5
2020-06-01,1637750.66,6393743.8
2020-07-01,1683193.63,6567725.02
2020-08-01,1759639.02,6726135.25
2020-09-01,1780721.41,6748574.03
2020-10-01,1782244.23,6780844.54
2020-11-01,1799087.27,6817456.68
2020-12-01,1855624.8,6900049.49
2021-01-01,1762295.71,6767407.65
2021-02-01,1784763.23,6817787.91
2021-03-01,1827391.16,6895564.12
2021-04-01,1850950.91,6964386.49
2021-05-01,1861766.9,7004093.08
2021-06-01,1915429.33,7130061.42
2021-07-01,1933291.47,7160560.33
2021-08-01,1938389.63,7211500.72
2021-09-01,1968434.37,7300920.64
2021-10-01,2071417.83,7491704.38
2021-11-01,2114703.09,7573319.9
2021-12-01,2282200.26,7870452.85
2022-01-01,2149551.5,7646789.19
2022-02-01,2195617.78,7690134.5
2022-03-01,2254591,7810949.32
2022-04-01,2327208.49,7911484.49
2022-05-01,2302911.17,7854186.71
2022-06-01,2339449.79,7890747.01
2022-07-01,2296045.42,7845551.91
2022-08-01,2279163.49,7897628.21
2022-09-01,2320882.57,7962693.36
2022-10-01,2539067.31,8223055.02
2022-11-01,2467951.34,8297349.51
2022-12-01,2608796.66,8528022.31
2023-01-01,2422174,8271838.1
2023-02-01,2403593.54,8300648.37
2023-03-01,2408418.91,8293283.23
2023-04-01,2472869.46,8352349.68
2023-05-01,2423317.96,8336170.79
2023-06-01,2466093.07,8372990.32
2023-07-01,2438058.76,8349492.32
2023-08-01,2410850.87,8364739
2023-09-01,2482229.03,8441236.44
2023-10-01,2497710.3,8506544.06
2023-11-01,2510759.32,8574917.1
2023-12-01,2675333.28,8826531
2024-01-01,2564734.0,8721949.69
2024-02-01,2556484.8,8739574.29
2024-03-01,2639424.87,8891424.62
2024-04-01,2623331.16,8926465.56
2024-05-01,2625271.45,8968821.11
2024-06-01,2692395.31,9015355.05
2024-07-01,2625264.31,8983383.35
2024-08-01,2626709.72,8975511.86
2024-09-01,2672407.72,9047998.7
2024-10-01,2697741.09,9082755.11
2024-11-01,2822294.06,9175750.66
2024-12-01,2839485.06,9210815.72
2025-01-01,2790374.63,9198352.34
2025-02-01,2774899.6,9281079.29
2025-03-01,2842704.56,9436700.45
2025-04-01,2802488.42,9387895.19
2025-05-01,2836018.37,9404299.89
2025-06-01,2955112.68,9595253.6
2025-07-01,2940244.52,9569710.38
2025-08-01,-,-
2025-09-01,-,-
2025-10-01,-,-
2025-11-01,-,-
2025-12-01,-,-
