Date,IHSG,STI,Gold,Coal,Copper,Silver,Tin,Nickel
2015-01-02,5242.769,3370.59,1188.39,61.3,6255.0,15.7465,19645,14830
2015-01-05,5219.995,3328.28,1204.86,61.25,6145.0,16.1885,19495,15200
2015-01-06,5169.06,3281.95,1218.58,61.45,6145.0,16.5365,19775,15260
2015-01-07,5207.118,3298.36,1211.41,60.6,6115.0,16.5354,19700,15550
2015-01-08,5211.828,3345.11,1208.79,60.6,6104.0,16.3651,19780,15550
2015-01-09,5216.665,3338.44,1223.25,60.4,6090.0,16.505,19550,15300
2015-01-12,5187.933,3344.89,1233.31,60.05,6017.0,16.5825,19900,15100
2015-01-13,5214.359,3341.07,1230.64,60.3,5860.0,17.0524,19525,14650
2015-01-14,5159.668,3326.16,1228.72,60.05,5548.0,16.8571,19375,14310
2015-01-15,5188.712,3338.84,1262.75,60.3,5630.0,16.9468,19355,14475
2015-01-16,5148.379,3300.68,1280.45,60.55,5715.0,17.788,19375,14780
2015-01-19,5152.093,3307.7,1275.65,60.85,5672.0,17.695,19325,14475
2015-01-20,5166.09,3334.02,1295.32,61.35,5690.0,17.9983,19450,14775
2015-01-21,5215.266,3354.46,1293.09,62.3,5771.0,18.127,19370,15025
2015-01-22,5253.183,3370.29,1302.25,62.5,5665.0,18.3342,19505,14850
2015-01-23,5323.885,3411.5,1294.08,62.3,5519.5,18.2983,19475,14350
2015-01-26,5260.024,3398.52,1281.4,61.9,5580.0,17.9209,19595,14750
2015-01-27,5277.149,3412.2,1292.34,62.0,5421.0,18.0616,19305,14790
2015-01-28,5268.852,3419.15,1284.49,62.75,5484.0,17.9955,19245,15050
2015-01-29,5262.718,3419.05,1257.27,62.75,5395.0,16.9487,19175,14900
2015-01-30,5289.404,3391.2,1283.79,63.1,5495.0,17.2497,19025,15165
2015-02-02,5276.236,3423.35,1274.41,64.5,5500.0,17.215,18855,15325
2015-02-03,5291.718,3408.02,1260.52,66.85,5690.0,17.3,19025,15310
2015-02-04,5315.284,3417.57,1269.35,66.8,5705.0,17.3725,19000,15125
2015-02-05,5279.895,3406.58,1264.82,67.1,5720.0,17.265,18960,15175
2015-02-06,5342.515,3431.36,1234.04,67.45,5650.0,16.7258,18500,15235
2015-02-09,5348.47,3418.02,1239.03,68.6,5673.0,16.999,18500,15155
2015-02-10,5321.474,3434.24,1233.55,69.1,5595.0,16.9289,18200,14825
2015-02-11,5336.519,3444.57,1218.83,69.6,5600.0,16.8055,17650,14750
