Model,Group,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,R2_mean,DA_mean,MASE_mean,HitLarge_mean,MAPE_f1,MAPE_f2,MAPE_f3,MAPE_f4,MAPE_f5
RandomForest,Baseline,20,1,0.6611,0.1656,40.399,55.5161,0.9689,51.96,1.1618,47.73,0.7946,0.9162,0.5673,0.4818,0.5456
RandomForest,Baseline,20,5,1.0884,0.3449,65.4385,95.6886,0.916,50.75,1.888,49.9,1.4013,1.5993,0.8678,0.7349,0.8389
RandomForest,Baseline,20,20,2.0972,0.5936,126.0001,190.97,0.6701,49.71,3.6231,48.79,2.4538,3.0667,1.9194,1.4795,1.5665
RandomForest,Baseline,120,1,0.6626,0.1674,40.475,55.341,0.969,52.37,1.1642,47.36,0.8002,0.9185,0.5671,0.4816,0.5454
RandomForest,Baseline,120,5,1.0882,0.3453,65.4394,95.1723,0.9164,50.59,1.8882,50.0,1.4078,1.5951,0.8663,0.7342,0.8377
RandomForest,Baseline,120,20,2.1073,0.6093,126.3978,191.7305,0.6684,50.24,3.6359,48.7,2.4833,3.1025,1.9001,1.4813,1.5693
RandomForest,risk_global,20,1,0.659,0.1605,40.3335,55.2937,0.9684,51.2,1.1595,51.95,0.7829,0.9104,0.5675,0.4881,0.5463
RandomForest,risk_global,20,5,1.0911,0.3243,65.8062,95.7038,0.9122,50.75,1.8969,51.87,1.3947,1.566,0.8807,0.7713,0.8427
RandomForest,risk_global,20,20,2.1268,0.5561,128.099,194.5723,0.6099,49.71,3.6795,48.73,2.4325,3.0676,1.88,1.6835,1.5701
RandomForest,risk_global,120,1,0.6598,0.1636,40.3449,55.1526,0.9688,51.45,1.1601,50.51,0.7878,0.9145,0.5676,0.4839,0.5451
RandomForest,risk_global,120,5,1.0921,0.3362,65.7521,95.3982,0.9141,50.75,1.8963,51.24,1.4012,1.5888,0.8703,0.7589,0.8413
RandomForest,risk_global,120,20,2.1216,0.5874,127.4787,192.9481,0.6486,49.82,3.6652,48.96,2.4781,3.0965,1.8723,1.5745,1.5866
RandomForest,commodity_id,20,1,0.6604,0.1639,40.3918,55.3379,0.9692,51.3,1.1615,50.98,0.7917,0.9127,0.5701,0.4808,0.5466
RandomForest,commodity_id,20,5,1.0968,0.3424,66.0096,96.6458,0.9136,50.49,1.9041,49.13,1.4136,1.598,0.891,0.7412,0.8401
RandomForest,commodity_id,20,20,2.1195,0.5752,127.5271,193.6615,0.6556,49.6,3.6639,48.45,2.4577,3.0457,2.0122,1.5147,1.5673
RandomForest,commodity_id,120,1,0.6638,0.1628,40.6174,55.4324,0.9686,48.3,1.1678,44.51,0.794,0.9154,0.5742,0.4903,0.5449
RandomForest,commodity_id,120,5,1.091,0.337,65.6979,95.7853,0.9132,50.03,1.8949,49.79,1.4075,1.5828,0.8728,0.7515,0.8402
RandomForest,commodity_id,120,20,2.1303,0.57,128.2631,193.4803,0.6602,49.92,3.6844,48.6,2.4744,3.0429,2.0241,1.5425,1.5675
RandomForest,monetary_id,20,1,0.6611,0.1649,40.4151,55.3925,0.9688,51.86,1.1622,48.58,0.7895,0.9181,0.5692,0.4836,0.5452
RandomForest,monetary_id,20,5,1.0867,0.3423,65.3824,95.2966,0.9161,51.11,1.8862,50.67,1.3958,1.5949,0.8668,0.7353,0.8409
RandomForest,monetary_id,20,20,2.0952,0.594,125.8524,190.4349,0.671,49.87,3.6191,49.09,2.4551,3.0652,1.9102,1.4781,1.5675
RandomForest,monetary_id,120,1,0.6604,0.1652,40.3697,55.2292,0.969,52.16,1.1609,48.0,0.7904,0.9168,0.5671,0.4815,0.5461
RandomForest,monetary_id,120,5,1.0858,0.3419,65.3297,95.0651,0.9163,50.95,1.8848,49.87,1.4014,1.5883,0.8655,0.7356,0.8382
RandomForest,monetary_id,120,20,2.1039,0.6001,126.2261,191.6067,0.6681,50.03,3.6306,48.73,2.4901,3.0746,1.8991,1.4844,1.5714
RandomForest,real_economy_id,20,1,0.6605,0.1649,40.3741,55.3471,0.969,51.81,1.161,51.1,0.7895,0.9167,0.5689,0.4815,0.5458
RandomForest,real_economy_id,20,5,1.0855,0.3406,65.305,95.3383,0.9162,50.9,1.8838,50.77,1.3923,1.5917,0.8672,0.7372,0.8392
