Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
RandomForest,None,20,1,0.6611,0.1656,40.399,55.5161,9.819,0.9689,51.96,1.47
RandomForest,None,20,5,1.0884,0.3449,65.4385,95.6886,23.4025,0.916,50.75,2.37
RandomForest,None,20,20,2.0972,0.5936,126.0001,190.97,47.5975,0.6701,49.71,2.09
RandomForest,None,120,1,0.6626,0.1674,40.475,55.341,9.6314,0.969,52.37,2.28
RandomForest,None,120,5,1.0882,0.3453,65.4394,95.1723,22.8519,0.9164,50.59,2.86
RandomForest,None,120,20,2.1073,0.6093,126.3978,191.7305,48.7849,0.6684,50.24,1.88
RandomForest,BI_Rate,20,1,0.662,0.1658,40.4585,55.5759,9.8238,0.9688,51.09,1.41
RandomForest,BI_Rate,20,5,1.0884,0.3447,65.4314,95.6787,23.3882,0.916,50.8,2.58
RandomForest,BI_Rate,20,20,2.0962,0.594,125.9017,190.9104,47.9542,0.6707,50.03,1.7
RandomForest,BI_Rate,120,1,0.6627,0.1683,40.4868,55.3403,9.6769,0.969,50.23,2.99
RandomForest,BI_Rate,120,5,1.088,0.3448,65.4379,95.2473,22.8831,0.9163,50.69,2.38
RandomForest,BI_Rate,120,20,2.1032,0.6019,126.1938,191.4999,48.4126,0.6686,50.08,1.75
RandomForest,CPI,20,1,0.6607,0.1659,40.3692,55.501,9.8256,0.9689,53.28,1.37
RandomForest,CPI,20,5,1.0867,0.3416,65.3627,95.4694,23.0908,0.916,50.69,2.57
RandomForest,CPI,20,20,2.0999,0.5955,126.0927,191.1438,48.065,0.6709,49.97,1.85
RandomForest,CPI,120,1,0.6614,0.1657,40.4357,55.3063,9.5141,0.9688,52.06,1.69
RandomForest,CPI,120,5,1.0869,0.3411,65.4017,95.2229,22.7355,0.9161,50.69,2.08
RandomForest,CPI,120,20,2.0984,0.5919,125.9976,190.9487,47.3994,0.6673,49.71,1.68
RandomForest,M2,20,1,0.6608,0.1649,40.3898,55.3845,9.5774,0.9688,53.03,1.21
RandomForest,M2,20,5,1.0874,0.3442,65.3955,95.5436,23.2476,0.916,50.33,3.02
RandomForest,M2,20,20,2.0953,0.5879,125.8833,190.7473,47.3763,0.6706,49.92,1.61
RandomForest,M2,120,1,0.6612,0.1658,40.4152,55.2628,9.4932,0.9689,51.81,1.89
RandomForest,M2,120,5,1.0864,0.3442,65.3479,95.1609,22.7881,0.9162,50.95,2.47
RandomForest,M2,120,20,2.1047,0.5968,126.3292,191.7087,48.2832,0.6679,49.92,1.6
RandomForest,NPL_Ratio,20,1,0.6608,0.1657,40.3765,55.4992,9.8261,0.9689,52.32,1.11
RandomForest,NPL_Ratio,20,5,1.0885,0.3451,65.453,95.5707,23.2913,0.9161,50.59,2.77
RandomForest,NPL_Ratio,20,20,2.1013,0.5988,126.178,191.3639,48.2515,0.6701,49.87,1.87
RandomForest,NPL_Ratio,120,1,0.6612,0.1658,40.4151,55.2581,9.5127,0.9689,52.26,1.38
RandomForest,NPL_Ratio,120,5,1.0851,0.341,65.2978,95.1012,22.622,0.9162,50.49,1.98
RandomForest,NPL_Ratio,120,20,2.1004,0.6015,126.0014,191.549,48.5445,0.6682,49.71,1.95
RandomForest,USDIDR,20,1,0.6604,0.165,40.3579,55.4334,9.7001,0.9689,53.54,1.17
RandomForest,USDIDR,20,5,1.0907,0.3461,65.5773,95.6771,23.3112,0.9159,50.44,2.88
RandomForest,USDIDR,20,20,2.0965,0.5956,125.8789,190.7472,47.7011,0.6708,49.97,1.84
RandomForest,USDIDR,120,1,0.6626,0.1679,40.4778,55.3341,9.634,0.969,51.15,1.79
RandomForest,USDIDR,120,5,1.0899,0.3438,65.5675,95.3989,22.7336,0.9157,50.13,2.94
RandomForest,USDIDR,120,20,2.1052,0.6012,126.3288,191.8553,48.3187,0.6681,50.24,1.96
RandomForest,GDP,20,1,0.6612,0.1654,40.401,55.539,9.8078,0.9689,52.37,0.49
RandomForest,GDP,20,5,1.0874,0.343,65.3938,95.562,23.2178,0.9161,50.95,2.51
RandomForest,GDP,20,20,2.1015,0.5974,126.2092,191.3044,47.8873,0.6701,50.08,1.93
RandomForest,GDP,120,1,0.6619,0.1673,40.44,55.2836,9.5956,0.969,51.7,1.98
RandomForest,GDP,120,5,1.0869,0.3445,65.3668,95.1479,22.7295,0.9162,50.44,2.86
RandomForest,GDP,120,20,2.1004,0.6041,125.9938,191.5895,48.5905,0.667,50.13,1.84
RandomForest,US_Treasury_10Y,20,1,0.6636,0.1591,40.6295,55.6048,9.0117,0.9676,51.6,0.71
RandomForest,US_Treasury_10Y,20,5,1.0969,0.3236,66.1542,96.24,21.0573,0.9093,50.18,2.75
RandomForest,US_Treasury_10Y,20,20,2.1583,0.5419,130.1557,197.5134,42.4117,0.5718,49.5,2.02
RandomForest,US_Treasury_10Y,120,1,0.6618,0.1624,40.49,55.2145,9.1536,0.9684,50.64,0.77
RandomForest,US_Treasury_10Y,120,5,1.098,0.3285,66.1915,95.9281,21.1674,0.9104,50.33,2.68
RandomForest,US_Treasury_10Y,120,20,2.1271,0.5825,127.8788,193.829,46.763,0.6397,50.08,2.05
RandomForest,Coal,20,1,0.6621,0.1655,40.4693,55.5446,9.7785,0.9689,51.35,2.07
RandomForest,Coal,20,5,1.0913,0.347,65.6058,95.8232,23.486,0.9159,50.23,3.01
RandomForest,Coal,20,20,2.1016,0.5935,126.2695,191.5044,47.8831,0.6692,49.66,1.75
RandomForest,Coal,120,1,0.6633,0.1658,40.5543,55.3121,9.5051,0.9689,50.43,1.1
RandomForest,Coal,120,5,1.091,0.3436,65.6519,95.4098,22.8012,0.9162,50.49,2.46
RandomForest,Coal,120,20,2.1072,0.6028,126.4772,191.2299,49.0953,0.6725,49.87,1.91
RandomForest,Copper,20,1,0.6606,0.1648,40.3854,55.3256,9.5953,0.969,52.21,1.47
RandomForest,Copper,20,5,1.0871,0.3428,65.3864,95.4543,23.1329,0.9161,50.85,2.6
