Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
RandomForest,None,20,1,0.5072,36.0552,48.1598,0.9716,51.71,0.9746,43.07
RandomForest,None,20,5,0.8522,60.5674,79.7912,0.9224,47.52,1.6371,51.09
RandomForest,None,20,20,1.392,99.4072,143.0187,0.7528,49.9,2.687,54.41
RandomForest,None,120,1,0.5069,36.0323,48.1029,0.9717,52.28,0.974,43.8
RandomForest,None,120,5,0.8526,60.5931,79.8915,0.9222,47.9,1.6378,51.82
RandomForest,None,120,20,1.3892,99.1823,142.7713,0.7537,49.33,2.6809,52.94
RandomForest,BI_Rate,20,1,0.5071,36.0518,48.1399,0.9716,52.66,0.9745,44.53
RandomForest,BI_Rate,20,5,0.8522,60.5749,79.799,0.9224,47.71,1.6373,51.82
RandomForest,BI_Rate,20,20,1.3917,99.3888,143.0001,0.7529,49.9,2.6865,54.41
RandomForest,BI_Rate,120,1,0.5067,36.0227,48.115,0.9717,53.23,0.9737,43.8
RandomForest,BI_Rate,120,5,0.8523,60.5768,79.8742,0.9222,47.9,1.6374,51.82
RandomForest,BI_Rate,120,20,1.3894,99.201,142.691,0.7539,49.71,2.6814,53.68
RandomForest,CPI,20,1,0.5071,36.0493,48.1222,0.9717,52.85,0.9744,44.53
RandomForest,CPI,20,5,0.8526,60.5981,79.8287,0.9223,47.52,1.638,51.82
RandomForest,CPI,20,20,1.3911,99.3427,142.8891,0.7533,49.9,2.6852,54.41
RandomForest,CPI,120,1,0.507,36.0476,48.1381,0.9716,52.28,0.9744,45.26
RandomForest,CPI,120,5,0.8525,60.5928,79.8809,0.9222,47.9,1.6378,51.82
RandomForest,CPI,120,20,1.3949,99.5501,141.8571,0.7568,49.52,2.6908,52.94
RandomForest,M2,20,1,0.5071,36.0468,48.1133,0.9717,52.28,0.9743,45.99
RandomForest,M2,20,5,0.8529,60.6202,79.848,0.9223,47.33,1.6386,51.82
RandomForest,M2,20,20,1.3904,99.2876,142.7446,0.7538,49.9,2.6837,54.41
RandomForest,M2,120,1,0.5069,36.0364,48.1021,0.9717,52.28,0.9741,43.8
RandomForest,M2,120,5,0.8532,60.6406,79.9278,0.9221,47.52,1.6391,51.82
RandomForest,M2,120,20,1.375,98.1865,141.3032,0.7587,49.52,2.654,52.94
RandomForest,NPL_Ratio,20,1,0.5071,36.0506,48.1371,0.9716,52.66,0.9744,43.8
RandomForest,NPL_Ratio,20,5,0.8523,60.5793,79.7979,0.9224,47.52,1.6375,51.82
RandomForest,NPL_Ratio,20,20,1.393,99.4869,143.2714,0.7519,49.9,2.6891,54.41
RandomForest,NPL_Ratio,120,1,0.5073,36.0615,48.0707,0.9717,50.38,0.9747,44.53
RandomForest,NPL_Ratio,120,5,0.8535,60.6685,79.9065,0.9221,47.33,1.6399,51.82
RandomForest,NPL_Ratio,120,20,1.3753,98.1964,141.0675,0.7595,49.71,2.6542,52.94
RandomForest,USDIDR,20,1,0.5063,35.9862,48.1251,0.9717,53.23,0.9727,46.72
RandomForest,USDIDR,20,5,0.8567,60.8881,80.1817,0.9216,48.85,1.6458,51.82
RandomForest,USDIDR,20,20,1.3943,99.5606,142.7093,0.7539,50.1,2.6911,54.41
RandomForest,USDIDR,120,1,0.5061,35.9731,48.1034,0.9717,53.23,0.9724,43.8
RandomForest,USDIDR,120,5,0.8563,60.8636,80.2284,0.9215,48.85,1.6451,51.82
RandomForest,USDIDR,120,20,1.3903,99.2458,142.3536,0.7551,49.71,2.6826,52.94
RandomForest,GDP,20,1,0.507,36.0439,48.1213,0.9717,53.42,0.9743,45.26
RandomForest,GDP,20,5,0.8521,60.5657,79.7843,0.9224,47.52,1.6371,51.82
RandomForest,GDP,20,20,1.3924,99.4372,143.1335,0.7524,49.9,2.6878,54.41
RandomForest,GDP,120,1,0.5081,36.1195,48.1949,0.9716,52.47,0.9763,44.53
RandomForest,GDP,120,5,0.8524,60.5836,79.8826,0.9222,48.09,1.6376,51.82
RandomForest,GDP,120,20,1.3865,98.998,142.651,0.7541,49.52,2.6759,52.94
RandomForest,US_Treasury_10Y,20,1,0.5134,36.4911,48.5793,0.9711,48.1,0.9864,39.42
RandomForest,US_Treasury_10Y,20,5,0.8803,62.5132,82.0108,0.918,47.33,1.6897,51.09
RandomForest,US_Treasury_10Y,20,20,1.5136,107.9047,157.6952,0.6995,49.13,2.9167,52.21
RandomForest,US_Treasury_10Y,120,1,0.5124,36.4269,48.4945,0.9712,47.91,0.9846,39.42
RandomForest,US_Treasury_10Y,120,5,0.8769,62.2827,81.6365,0.9187,47.71,1.6835,51.09
RandomForest,US_Treasury_10Y,120,20,1.4955,106.5849,155.6252,0.7073,49.33,2.881,52.21
RandomForest,Coal,20,1,0.5072,36.0553,48.1345,0.9716,52.47,0.9746,43.8
RandomForest,Coal,20,5,0.8524,60.5866,79.8189,0.9223,47.71,1.6377,51.82
RandomForest,Coal,20,20,1.3922,99.4334,143.1489,0.7524,49.9,2.6877,54.41
RandomForest,Coal,120,1,0.5072,36.0576,48.11,0.9717,51.14,0.9746,43.07
RandomForest,Coal,120,5,0.8523,60.5769,79.8465,0.9223,47.9,1.6374,51.82
RandomForest,Coal,120,20,1.3908,99.2983,142.9016,0.7532,49.71,2.684,52.94
RandomForest,Copper,20,1,0.506,35.965,48.0267,0.9718,51.33,0.9721,51.09
RandomForest,Copper,20,5,0.8519,60.5495,79.7428,0.9225,48.09,1.6367,52.55
RandomForest,Copper,20,20,1.3907,99.3127,142.8864,0.7533,49.9,2.6844,54.41
RandomForest,Copper,120,1,0.5058,35.9521,48.0497,0.9717,51.71,0.9718,52.55
RandomForest,Copper,120,5,0.8525,60.5908,79.8677,0.9222,47.9,1.6378,51.82
RandomForest,Copper,120,20,1.3907,99.2984,143.1995,0.7522,49.33,2.684,52.94
RandomForest,Nickel,20,1,0.5101,36.2588,48.2646,0.9715,48.29,0.9801,44.53
RandomForest,Nickel,20,5,0.8523,60.577,79.8041,0.9223,47.71,1.6374,51.82
RandomForest,Nickel,20,20,1.3923,99.4332,143.126,0.7524,49.9,2.6877,54.41
RandomForest,Nickel,120,1,0.5098,36.2343,48.2293,0.9715,49.05,0.9794,48.91
RandomForest,Nickel,120,5,0.8524,60.5796,79.8628,0.9222,47.9,1.6375,51.82
RandomForest,Nickel,120,20,1.388,99.1021,142.5513,0.7544,49.52,2.6787,52.94
