Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
RandomForest,Baseline,20,1,0.5072,36.0552,48.1598,0.9716,51.71,0.9746,43.07
RandomForest,Baseline,20,5,0.8522,60.5674,79.7912,0.9224,47.52,1.6371,51.09
RandomForest,Baseline,20,20,1.392,99.4072,143.0187,0.7528,49.9,2.687,54.41
RandomForest,Baseline,120,1,0.5069,36.0323,48.1029,0.9717,52.28,0.974,43.8
RandomForest,Baseline,120,5,0.8526,60.5931,79.8915,0.9222,47.9,1.6378,51.82
RandomForest,Baseline,120,20,1.3892,99.1823,142.7713,0.7537,49.33,2.6809,52.94
RandomForest,All_Macro,20,1,0.5095,36.2131,48.3523,0.9714,51.14,0.9788,45.99
RandomForest,All_Macro,20,5,0.8728,61.9908,81.3887,0.9192,48.47,1.6756,50.36
RandomForest,All_Macro,20,20,1.4962,106.6616,154.8705,0.7101,49.33,2.8831,52.21
RandomForest,All_Macro,120,1,0.5104,36.2815,48.3555,0.9714,49.05,0.9807,43.8
RandomForest,All_Macro,120,5,0.8701,61.7999,81.1103,0.9198,48.09,1.6704,51.09
RandomForest,All_Macro,120,20,1.4663,104.5433,150.8172,0.7251,49.52,2.8258,50.74
RandomForest,All_Commodity_Regional,20,1,0.5057,35.9469,47.961,0.9718,52.47,0.9716,53.28
RandomForest,All_Commodity_Regional,20,5,0.8521,60.5684,79.7951,0.9224,48.47,1.6372,52.55
RandomForest,All_Commodity_Regional,20,20,1.4051,100.3397,144.3843,0.7481,49.13,2.7122,54.41
RandomForest,All_Commodity_Regional,120,1,0.506,35.9661,47.9786,0.9718,51.9,0.9722,53.28
RandomForest,All_Commodity_Regional,120,5,0.8525,60.5909,79.8632,0.9222,48.09,1.6378,53.28
RandomForest,All_Commodity_Regional,120,20,1.3989,99.8862,143.4896,0.7512,49.13,2.6999,52.94
RandomForest,All_Covariates,20,1,0.5067,36.0124,48.077,0.9717,51.14,0.9734,53.28
RandomForest,All_Covariates,20,5,0.8656,61.4907,80.7548,0.9205,47.71,1.6621,49.64
RandomForest,All_Covariates,20,20,1.475,105.2288,152.7445,0.7181,49.71,2.8443,52.21
RandomForest,All_Covariates,120,1,0.5072,36.05,48.1188,0.9717,52.28,0.9744,51.82
RandomForest,All_Covariates,120,5,0.8643,61.4084,80.5775,0.9208,48.66,1.6599,51.82
RandomForest,All_Covariates,120,20,1.4511,103.5222,149.7139,0.7291,48.94,2.7982,50.74
ExtraTrees,Baseline,20,1,0.5053,35.9237,47.9365,0.9719,53.61,0.971,45.26
ExtraTrees,Baseline,20,5,0.8533,60.6595,79.7646,0.9224,47.71,1.6396,51.09
ExtraTrees,Baseline,20,20,1.385,98.8868,141.3147,0.7587,48.75,2.6729,53.68
ExtraTrees,Baseline,120,1,0.5058,35.9609,47.9527,0.9719,52.28,0.972,45.99
ExtraTrees,Baseline,120,5,0.8528,60.6222,79.7349,0.9225,48.28,1.6386,52.55
ExtraTrees,Baseline,120,20,1.3843,98.8245,141.2957,0.7587,49.33,2.6712,54.41
ExtraTrees,All_Macro,20,1,0.5051,35.9107,47.9207,0.9719,52.28,0.9707,49.64
ExtraTrees,All_Macro,20,5,0.8582,61.0007,80.1181,0.9217,46.95,1.6488,51.82
ExtraTrees,All_Macro,20,20,1.4,99.9533,143.0853,0.7526,48.75,2.7017,52.21
ExtraTrees,All_Macro,120,1,0.5061,35.9817,47.9667,0.9718,51.14,0.9726,46.72
ExtraTrees,All_Macro,120,5,0.8562,60.8594,79.9543,0.9221,48.09,1.645,54.01
ExtraTrees,All_Macro,120,20,1.3859,98.9233,141.9363,0.7565,49.13,2.6739,53.68
ExtraTrees,All_Commodity_Regional,20,1,0.5047,35.8806,47.7975,0.972,53.8,0.9699,51.09
ExtraTrees,All_Commodity_Regional,20,5,0.8527,60.6126,79.6803,0.9226,48.28,1.6384,53.28
ExtraTrees,All_Commodity_Regional,20,20,1.3937,99.5224,142.3285,0.7552,48.55,2.6901,52.94
ExtraTrees,All_Commodity_Regional,120,1,0.5048,35.8882,47.8704,0.972,54.18,0.9701,52.55
ExtraTrees,All_Commodity_Regional,120,5,0.8511,60.4956,79.4601,0.923,48.66,1.6352,53.28
ExtraTrees,All_Commodity_Regional,120,20,1.3853,98.886,140.9864,0.7598,49.13,2.6729,53.68
ExtraTrees,All_Covariates,20,1,0.5057,35.9481,47.9064,0.9719,53.61,0.9717,48.91
ExtraTrees,All_Covariates,20,5,0.8542,60.7175,79.8315,0.9223,48.09,1.6412,54.01
ExtraTrees,All_Covariates,20,20,1.4007,99.9914,142.9071,0.7532,48.55,2.7028,52.21
ExtraTrees,All_Covariates,120,1,0.5049,35.8946,47.9089,0.9719,52.47,0.9702,52.55
ExtraTrees,All_Covariates,120,5,0.855,60.7734,79.9122,0.9221,48.09,1.6427,51.82
ExtraTrees,All_Covariates,120,20,1.3849,98.8459,141.5591,0.7578,49.13,2.6718,52.94
XGBoost,Baseline,20,1,0.504,35.8316,47.8082,0.972,53.42,0.9685,51.82
XGBoost,Baseline,20,5,0.8538,60.6734,79.5412,0.9229,47.71,1.64,52.55
XGBoost,Baseline,20,20,1.3948,99.5365,141.6669,0.7575,48.36,2.6905,52.21
XGBoost,Baseline,120,1,0.5139,36.5146,48.1526,0.9716,49.05,0.987,51.82
XGBoost,Baseline,120,5,0.8594,61.0457,80.209,0.9216,47.71,1.6501,54.74
XGBoost,Baseline,120,20,1.3898,99.0519,137.8194,0.7705,47.4,2.6774,52.21
XGBoost,All_Macro,20,1,0.5073,36.048,48.0044,0.9718,49.05,0.9744,48.91
XGBoost,All_Macro,20,5,0.8436,59.9478,78.6904,0.9245,48.47,1.6204,54.01
XGBoost,All_Macro,20,20,1.4344,102.4094,147.1311,0.7384,46.44,2.7681,48.53
XGBoost,All_Macro,120,1,0.5131,36.473,48.4158,0.9713,49.81,0.9859,52.55
XGBoost,All_Macro,120,5,0.8599,61.1516,80.2401,0.9215,47.14,1.6529,54.74
XGBoost,All_Macro,120,20,1.4312,101.9519,145.0238,0.7458,46.44,2.7558,50.0
XGBoost,All_Commodity_Regional,20,1,0.5083,36.1177,48.2155,0.9715,55.13,0.9763,58.39
XGBoost,All_Commodity_Regional,20,5,0.8266,58.7647,78.3584,0.9251,47.9,1.5884,53.28
XGBoost,All_Commodity_Regional,20,20,1.3925,99.5476,141.9807,0.7564,48.17,2.6908,55.88
XGBoost,All_Commodity_Regional,120,1,0.5029,35.7469,48.3285,0.9714,54.37,0.9662,56.93
XGBoost,All_Commodity_Regional,120,5,0.8235,58.5494,77.9576,0.9259,48.66,1.5826,56.2
XGBoost,All_Commodity_Regional,120,20,1.3647,97.2443,134.2521,0.7822,47.98,2.6285,52.21
XGBoost,All_Covariates,20,1,0.5075,36.0582,47.9067,0.9719,54.18,0.9747,59.85
XGBoost,All_Covariates,20,5,0.8202,58.2865,77.4056,0.9269,48.28,1.5755,55.47
XGBoost,All_Covariates,20,20,1.4025,100.2728,143.1849,0.7522,48.36,2.7104,58.82
XGBoost,All_Covariates,120,1,0.5058,35.9478,48.2481,0.9715,51.52,0.9717,56.2
XGBoost,All_Covariates,120,5,0.8296,58.9521,78.143,0.9255,48.66,1.5935,55.47
XGBoost,All_Covariates,120,20,1.3753,98.0158,136.76,0.774,48.75,2.6494,51.47
LightGBM,Baseline,20,1,0.5046,35.8743,47.886,0.9719,54.18,0.9697,51.82
LightGBM,Baseline,20,5,0.8531,60.6346,79.6521,0.9226,48.28,1.6389,51.09
LightGBM,Baseline,20,20,1.3996,99.9117,142.3469,0.7551,49.33,2.7006,52.21
LightGBM,Baseline,120,1,0.5099,36.2415,47.9846,0.9718,50.57,0.9796,56.93
LightGBM,Baseline,120,5,0.8514,60.5001,79.6434,0.9227,47.52,1.6353,54.74
LightGBM,Baseline,120,20,1.3849,98.751,138.0916,0.7696,47.21,2.6692,52.94
LightGBM,All_Macro,20,1,0.5066,36.0019,47.9951,0.9718,52.09,0.9731,53.28
LightGBM,All_Macro,20,5,0.8494,60.3779,79.6351,0.9227,47.52,1.632,51.09
LightGBM,All_Macro,20,20,1.4317,102.2164,148.0308,0.7352,48.36,2.7629,52.21
LightGBM,All_Macro,120,1,0.511,36.3226,48.1942,0.9716,50.57,0.9818,49.64
LightGBM,All_Macro,120,5,0.865,61.5039,80.7713,0.9205,46.76,1.6624,51.82
LightGBM,All_Macro,120,20,1.4236,101.4909,144.4509,0.7478,48.17,2.7433,53.68
LightGBM,All_Commodity_Regional,20,1,0.5059,35.9591,47.942,0.9719,53.23,0.972,61.31
LightGBM,All_Commodity_Regional,20,5,0.8274,58.8277,78.1938,0.9255,46.76,1.5901,55.47
LightGBM,All_Commodity_Regional,20,20,1.3649,97.6015,141.587,0.7577,49.52,2.6382,56.62
LightGBM,All_Commodity_Regional,120,1,0.5043,35.8365,48.253,0.9715,52.47,0.9687,55.47
LightGBM,All_Commodity_Regional,120,5,0.8269,58.8328,78.399,0.9251,48.28,1.5902,56.93
LightGBM,All_Commodity_Regional,120,20,1.3323,95.1389,133.1232,0.7858,48.17,2.5716,55.15
LightGBM,All_Covariates,20,1,0.5055,35.9242,47.8886,0.9719,52.85,0.971,59.85
LightGBM,All_Covariates,20,5,0.8256,58.6917,78.0862,0.9257,46.95,1.5864,55.47
LightGBM,All_Covariates,20,20,1.4082,100.6595,146.4928,0.7407,48.17,2.7208,54.41
LightGBM,All_Covariates,120,1,0.5033,35.7727,48.0291,0.9718,53.23,0.9669,59.85
LightGBM,All_Covariates,120,5,0.8302,59.0591,78.5009,0.9249,49.24,1.5964,63.5
LightGBM,All_Covariates,120,20,1.3567,96.7671,135.5216,0.778,47.98,2.6156,53.68
