Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large,baseline_mape,mape_impr_pct,mape_impr_abs,grp_order
ExtraTrees,Baseline,20,1,0.5053,35.9237,47.9365,0.9719,53.61,0.971,45.26,0.5053,0.0,0.0,0
ExtraTrees,Sig_Macro,20,1,0.505,35.8991,47.865,0.972,53.42,0.9704,51.09,0.5053,0.059,0.0003,1
ExtraTrees,Sig_Commodity,20,1,0.504,35.8277,47.7757,0.9721,54.75,0.9684,54.01,0.5053,0.257,0.0013,2
ExtraTrees,Sig_All,20,1,0.5053,35.9246,47.8868,0.9719,54.37,0.971,56.2,0.5053,0.0,0.0,4
ExtraTrees,All_Macro,20,1,0.5051,35.9107,47.9207,0.9719,52.28,0.9707,49.64,0.5053,0.04,0.0002,5
ExtraTrees,All_Commodity_Regional,20,1,0.5047,35.8806,47.7975,0.972,53.8,0.9699,51.09,0.5053,0.119,0.0006,6
ExtraTrees,All_Covariates,20,1,0.5057,35.9481,47.9064,0.9719,53.61,0.9717,48.91,0.5053,-0.079,-0.0004,7
ExtraTrees,Baseline,120,1,0.5058,35.9609,47.9527,0.9719,52.28,0.972,45.99,0.5058,0.0,0.0,0
ExtraTrees,Sig_Macro,120,1,0.506,35.9734,47.9335,0.9719,52.66,0.9724,50.36,0.5058,-0.04,-0.0002,1
ExtraTrees,Sig_Commodity,120,1,0.5053,35.9182,47.9319,0.9719,53.8,0.9709,46.72,0.5058,0.099,0.0005,2
ExtraTrees,Sig_All,120,1,0.5052,35.9095,47.8964,0.9719,53.23,0.9706,49.64,0.5058,0.119,0.0006,4
ExtraTrees,All_Macro,120,1,0.5061,35.9817,47.9667,0.9718,51.14,0.9726,46.72,0.5058,-0.059,-0.0003,5
ExtraTrees,All_Commodity_Regional,120,1,0.5048,35.8882,47.8704,0.972,54.18,0.9701,52.55,0.5058,0.198,0.001,6
ExtraTrees,All_Covariates,120,1,0.5049,35.8946,47.9089,0.9719,52.47,0.9702,52.55,0.5058,0.178,0.0009,7
LightGBM,Baseline,20,1,0.5046,35.8743,47.886,0.9719,54.18,0.9697,51.82,0.5046,0.0,0.0,0
LightGBM,Sig_Macro,20,1,0.5026,35.7211,47.783,0.9721,53.8,0.9655,53.28,0.5046,0.396,0.002,1
LightGBM,Sig_Commodity,20,1,0.5051,35.8997,48.0827,0.9717,54.37,0.9704,62.04,0.5046,-0.099,-0.0005,2
LightGBM,Sig_All,20,1,0.5055,35.918,47.9124,0.9719,53.99,0.9709,62.04,0.5046,-0.178,-0.0009,4
LightGBM,All_Macro,20,1,0.5066,36.0019,47.9951,0.9718,52.09,0.9731,53.28,0.5046,-0.396,-0.002,5
LightGBM,All_Commodity_Regional,20,1,0.5059,35.9591,47.942,0.9719,53.23,0.972,61.31,0.5046,-0.258,-0.0013,6
LightGBM,All_Covariates,20,1,0.5055,35.9242,47.8886,0.9719,52.85,0.971,59.85,0.5046,-0.178,-0.0009,7
LightGBM,Baseline,120,1,0.5099,36.2415,47.9846,0.9718,50.57,0.9796,56.93,0.5099,0.0,0.0,0
LightGBM,Sig_Macro,120,1,0.5099,36.2374,48.293,0.9715,47.91,0.9795,46.72,0.5099,0.0,0.0,1
LightGBM,Sig_Commodity,120,1,0.5092,36.1897,48.6151,0.9711,53.61,0.9782,60.58,0.5099,0.137,0.0007,2
LightGBM,Sig_All,120,1,0.5074,36.0533,48.5878,0.9711,53.23,0.9745,56.93,0.5099,0.49,0.0025,4
LightGBM,All_Macro,120,1,0.511,36.3226,48.1942,0.9716,50.57,0.9818,49.64,0.5099,-0.216,-0.0011,5
LightGBM,All_Commodity_Regional,120,1,0.5043,35.8365,48.253,0.9715,52.47,0.9687,55.47,0.5099,1.098,0.0056,6
LightGBM,All_Covariates,120,1,0.5033,35.7727,48.0291,0.9718,53.23,0.9669,59.85,0.5099,1.294,0.0066,7
RandomForest,Baseline,20,1,0.5072,36.0552,48.1598,0.9716,51.71,0.9746,43.07,0.5072,0.0,0.0,0
RandomForest,Sig_Macro,20,1,0.506,35.9646,48.0701,0.9717,52.85,0.9721,48.18,0.5072,0.237,0.0012,1
RandomForest,Sig_Commodity,20,1,0.5045,35.8628,47.8762,0.9719,53.04,0.9694,53.28,0.5072,0.532,0.0027,2
RandomForest,Sig_All,20,1,0.504,35.8227,47.8698,0.972,53.61,0.9683,51.82,0.5072,0.631,0.0032,4
RandomForest,All_Macro,20,1,0.5095,36.2131,48.3523,0.9714,51.14,0.9788,45.99,0.5072,-0.453,-0.0023,5
RandomForest,All_Commodity_Regional,20,1,0.5057,35.9469,47.961,0.9718,52.47,0.9716,53.28,0.5072,0.296,0.0015,6
RandomForest,All_Covariates,20,1,0.5067,36.0124,48.077,0.9717,51.14,0.9734,53.28,0.5072,0.099,0.0005,7
RandomForest,Baseline,120,1,0.5069,36.0323,48.1029,0.9717,52.28,0.974,43.8,0.5069,0.0,0.0,0
RandomForest,Sig_Macro,120,1,0.507,36.0418,48.1567,0.9716,53.61,0.9742,46.72,0.5069,-0.02,-0.0001,1
RandomForest,Sig_Commodity,120,1,0.5044,35.8529,47.8738,0.9719,53.42,0.9691,51.82,0.5069,0.493,0.0025,2
RandomForest,Sig_All,120,1,0.5047,35.8774,47.9289,0.9719,54.94,0.9698,51.82,0.5069,0.434,0.0022,4
RandomForest,All_Macro,120,1,0.5104,36.2815,48.3555,0.9714,49.05,0.9807,43.8,0.5069,-0.69,-0.0035,5
RandomForest,All_Commodity_Regional,120,1,0.506,35.9661,47.9786,0.9718,51.9,0.9722,53.28,0.5069,0.178,0.0009,6
RandomForest,All_Covariates,120,1,0.5072,36.05,48.1188,0.9717,52.28,0.9744,51.82,0.5069,-0.059,-0.0003,7
XGBoost,Baseline,20,1,0.504,35.8316,47.8082,0.972,53.42,0.9685,51.82,0.504,0.0,0.0,0
XGBoost,Sig_Macro,20,1,0.5019,35.6695,47.6549,0.9722,53.23,0.9641,56.93,0.504,0.417,0.0021,1
XGBoost,Sig_Commodity,20,1,0.5089,36.1555,48.1818,0.9716,53.42,0.9773,59.12,0.504,-0.972,-0.0049,2
XGBoost,Sig_All,20,1,0.5055,35.9105,47.8863,0.9719,55.51,0.9707,58.39,0.504,-0.298,-0.0015,4
XGBoost,All_Macro,20,1,0.5073,36.048,48.0044,0.9718,49.05,0.9744,48.91,0.504,-0.655,-0.0033,5
XGBoost,All_Commodity_Regional,20,1,0.5083,36.1177,48.2155,0.9715,55.13,0.9763,58.39,0.504,-0.853,-0.0043,6
XGBoost,All_Covariates,20,1,0.5075,36.0582,47.9067,0.9719,54.18,0.9747,59.85,0.504,-0.694,-0.0035,7
XGBoost,Baseline,120,1,0.5139,36.5146,48.1526,0.9716,49.05,0.987,51.82,0.5139,0.0,0.0,0
XGBoost,Sig_Macro,120,1,0.5138,36.5116,48.4949,0.9712,51.33,0.9869,53.28,0.5139,0.019,0.0001,1
XGBoost,Sig_Commodity,120,1,0.5095,36.1978,48.6124,0.9711,52.09,0.9784,57.66,0.5139,0.856,0.0044,2
