Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
RandomForest,Sig_Macro,20,1,0.506,35.9646,48.0701,0.9717,52.85,0.9721,48.18
RandomForest,Sig_Macro,20,5,0.8561,60.8468,80.1278,0.9217,48.66,1.6447,51.82
RandomForest,Sig_Macro,20,20,1.3891,99.1805,142.3324,0.7552,50.1,2.6808,54.41
RandomForest,Sig_Macro,120,1,0.507,36.0418,48.1567,0.9716,53.61,0.9742,46.72
RandomForest,Sig_Macro,120,5,0.8558,60.8214,80.1371,0.9217,48.28,1.644,51.82
RandomForest,Sig_Macro,120,20,1.3818,98.6576,141.1244,0.7593,50.1,2.6667,52.94
RandomForest,Sig_Commodity,20,1,0.5045,35.8628,47.8762,0.9719,53.04,0.9694,53.28
RandomForest,Sig_Commodity,20,5,0.8518,60.5434,79.6096,0.9227,48.09,1.6365,53.28
RandomForest,Sig_Commodity,20,20,1.3992,99.8976,143.4713,0.7512,49.33,2.7002,54.41
RandomForest,Sig_Commodity,120,1,0.5044,35.8529,47.8738,0.9719,53.42,0.9691,51.82
RandomForest,Sig_Commodity,120,5,0.852,60.5569,79.7002,0.9226,47.9,1.6368,53.28
RandomForest,Sig_Commodity,120,20,1.3962,99.6543,142.9825,0.7529,49.13,2.6936,52.94
RandomForest,Sig_All,20,1,0.504,35.8227,47.8698,0.972,53.61,0.9683,51.82
RandomForest,Sig_All,20,5,0.8542,60.7186,80.0219,0.9219,49.24,1.6412,52.55
RandomForest,Sig_All,20,20,1.4057,100.3843,144.5015,0.7477,49.9,2.7134,54.41
RandomForest,Sig_All,120,1,0.5047,35.8774,47.9289,0.9719,54.94,0.9698,51.82
RandomForest,Sig_All,120,5,0.8544,60.728,80.0216,0.9219,48.47,1.6415,52.55
RandomForest,Sig_All,120,20,1.3877,99.0663,142.2729,0.7554,50.1,2.6778,52.94
ExtraTrees,Sig_Macro,20,1,0.505,35.8991,47.865,0.972,53.42,0.9704,51.09
ExtraTrees,Sig_Macro,20,5,0.8523,60.5757,79.6029,0.9227,47.71,1.6374,51.82
ExtraTrees,Sig_Macro,20,20,1.3899,99.2383,141.8297,0.7569,48.94,2.6824,53.68
ExtraTrees,Sig_Macro,120,1,0.506,35.9734,47.9335,0.9719,52.66,0.9724,50.36
ExtraTrees,Sig_Macro,120,5,0.8529,60.6216,79.7871,0.9224,47.9,1.6386,50.36
ExtraTrees,Sig_Macro,120,20,1.385,98.8673,141.5059,0.758,49.71,2.6724,53.68
ExtraTrees,Sig_Commodity,20,1,0.504,35.8277,47.7757,0.9721,54.75,0.9684,54.01
ExtraTrees,Sig_Commodity,20,5,0.8504,60.4457,79.5051,0.9229,49.43,1.6338,54.01
ExtraTrees,Sig_Commodity,20,20,1.3951,99.6195,142.91,0.7532,48.55,2.6927,54.41
ExtraTrees,Sig_Commodity,120,1,0.5053,35.9182,47.9319,0.9719,53.8,0.9709,46.72
ExtraTrees,Sig_Commodity,120,5,0.8534,60.6592,79.7695,0.9224,48.47,1.6396,53.28
ExtraTrees,Sig_Commodity,120,20,1.3849,98.8411,141.2344,0.7589,48.94,2.6717,53.68
ExtraTrees,Sig_All,20,1,0.5053,35.9246,47.8868,0.9719,54.37,0.971,56.2
ExtraTrees,Sig_All,20,5,0.8511,60.5023,79.5449,0.9229,48.09,1.6354,53.28
ExtraTrees,Sig_All,20,20,1.3914,99.3398,141.9343,0.7565,48.36,2.6851,53.68
ExtraTrees,Sig_All,120,1,0.5052,35.9095,47.8964,0.9719,53.23,0.9706,49.64
ExtraTrees,Sig_All,120,5,0.8536,60.6768,79.7139,0.9225,48.09,1.6401,52.55
ExtraTrees,Sig_All,120,20,1.3884,99.1116,141.7761,0.7571,49.33,2.679,53.68
XGBoost,Sig_Macro,20,1,0.5019,35.6695,47.6549,0.9722,53.23,0.9641,56.93
XGBoost,Sig_Macro,20,5,0.8383,59.5454,78.469,0.9249,48.47,1.6095,55.47
XGBoost,Sig_Macro,20,20,1.3865,98.9599,141.6288,0.7576,48.55,2.6749,52.94
XGBoost,Sig_Macro,120,1,0.5138,36.5116,48.4949,0.9712,51.33,0.9869,53.28
XGBoost,Sig_Macro,120,5,0.8575,60.9119,79.7366,0.9225,46.76,1.6464,49.64
XGBoost,Sig_Macro,120,20,1.42,101.1097,139.0363,0.7664,47.59,2.733,50.0
XGBoost,Sig_Commodity,20,1,0.5089,36.1555,48.1818,0.9716,53.42,0.9773,59.12
XGBoost,Sig_Commodity,20,5,0.8361,59.398,78.7349,0.9244,48.85,1.6055,52.55
XGBoost,Sig_Commodity,20,20,1.3446,96.0543,141.6651,0.7575,49.52,2.5963,53.68
XGBoost,Sig_Commodity,120,1,0.5095,36.1978,48.6124,0.9711,52.09,0.9784,57.66
XGBoost,Sig_Commodity,120,5,0.8336,59.1892,79.3729,0.9232,49.24,1.5999,54.01
XGBoost,Sig_Commodity,120,20,1.3634,97.1839,136.206,0.7758,48.36,2.6269,52.21
XGBoost,Sig_All,20,1,0.5055,35.9105,47.8863,0.9719,55.51,0.9707,58.39
XGBoost,Sig_All,20,5,0.8263,58.6666,77.6734,0.9264,48.28,1.5858,54.74
XGBoost,Sig_All,20,20,1.3448,96.0124,139.8431,0.7637,49.71,2.5952,53.68
XGBoost,Sig_All,120,1,0.5085,36.1233,48.6151,0.9711,50.95,0.9764,54.74
XGBoost,Sig_All,120,5,0.8388,59.5564,78.9387,0.924,47.9,1.6098,54.01
XGBoost,Sig_All,120,20,1.3172,93.984,131.5778,0.7908,49.33,2.5404,53.68
LightGBM,Sig_Macro,20,1,0.5026,35.7211,47.783,0.9721,53.8,0.9655,53.28
LightGBM,Sig_Macro,20,5,0.8458,60.1175,79.3686,0.9232,48.28,1.625,54.01
LightGBM,Sig_Macro,20,20,1.4103,100.6697,143.7357,0.7503,49.13,2.7211,53.68
LightGBM,Sig_Macro,120,1,0.5099,36.2374,48.293,0.9715,47.91,0.9795,46.72
LightGBM,Sig_Macro,120,5,0.8544,60.7499,79.8939,0.9222,48.09,1.6421,54.74
LightGBM,Sig_Macro,120,20,1.4051,100.1719,138.2501,0.769,47.59,2.7076,50.0
LightGBM,Sig_Commodity,20,1,0.5051,35.8997,48.0827,0.9717,54.37,0.9704,62.04
LightGBM,Sig_Commodity,20,5,0.8365,59.4387,78.7038,0.9245,47.71,1.6066,55.47
LightGBM,Sig_Commodity,20,20,1.3482,96.3869,141.3203,0.7586,49.71,2.6053,55.15
LightGBM,Sig_Commodity,120,1,0.5092,36.1897,48.6151,0.9711,53.61,0.9782,60.58
LightGBM,Sig_Commodity,120,5,0.8344,59.2683,79.0976,0.9237,49.05,1.602,56.93
LightGBM,Sig_Commodity,120,20,1.3708,97.8496,138.1134,0.7695,49.52,2.6449,52.94
LightGBM,Sig_All,20,1,0.5055,35.918,47.9124,0.9719,53.99,0.9709,62.04
LightGBM,Sig_All,20,5,0.8313,59.0691,78.3887,0.9251,48.09,1.5966,55.47
LightGBM,Sig_All,20,20,1.3574,96.9812,141.9137,0.7566,49.13,2.6214,52.94
LightGBM,Sig_All,120,1,0.5074,36.0533,48.5878,0.9711,53.23,0.9745,56.93
LightGBM,Sig_All,120,5,0.8384,59.558,78.4805,0.9249,48.47,1.6098,56.93
LightGBM,Sig_All,120,20,1.3467,96.1769,134.0382,0.7829,49.13,2.5997,54.41
