feature,importance,covariate_set,scenario
STI_lag_105,0.018755454745105104,Macro_Regional,W120_H1
IHSG_lag_118,0.018282632937632853,Macro_Regional,W120_H1
IHSG_lag_119,0.0132049805542363,Macro_Regional,W120_H1
IHSG_lag_120,0.011947897141693526,Macro_Regional,W120_H1
STI_lag_110,0.01183641213948168,Macro_Regional,W120_H1
STI_lag_93,0.011117794992675244,Macro_Regional,W120_H1
STI_lag_91,0.011057249084096114,Macro_Regional,W120_H1
IHSG_lag_116,0.010875279624987551,Macro_Regional,W120_H1
STI_lag_86,0.010568607263915003,Macro_Regional,W120_H1
STI_lag_117,0.010411843923318141,Macro_Regional,W120_H1
STI_lag_111,0.009370766758182172,Macro_Regional,W120_H1
IHSG_lag_115,0.009161418519339947,Macro_Regional,W120_H1
IHSG_lag_117,0.00906255243003374,Macro_Regional,W120_H1
STI_lag_98,0.008967709742885088,Macro_Regional,W120_H1
STI_lag_74,0.008876703320190858,Macro_Regional,W120_H1
IHSG_lag_114,0.008775079247588344,Macro_Regional,W120_H1
STI_lag_116,0.008697445833351785,Macro_Regional,W120_H1
STI_lag_99,0.00857404502911192,Macro_Regional,W120_H1
IHSG_lag_113,0.008106386205892076,Macro_Regional,W120_H1
STI_lag_75,0.007542987836856534,Macro_Regional,W120_H1
IHSG_lag_111,0.007301627383204718,Macro_Regional,W120_H1
STI_lag_38,0.00708604761893262,Macro_Regional,W120_H1
STI_lag_56,0.006443303304965997,Macro_Regional,W120_H1
STI_lag_50,0.006428057719413427,Macro_Regional,W120_H1
STI_lag_73,0.006120193806764296,Macro_Regional,W120_H1
STI_lag_68,0.005908995660247254,Macro_Regional,W120_H1
IHSG_lag_109,0.00585392836298209,Macro_Regional,W120_H1
STI_lag_92,0.005802917270946424,Macro_Regional,W120_H1
STI_lag_57,0.005791789839368141,Macro_Regional,W120_H1
STI_lag_87,0.005791273826864537,Macro_Regional,W120_H1
STI_lag_104,0.0055881018773852155,Macro_Regional,W120_H1
STI_lag_81,0.005551391924339945,Macro_Regional,W120_H1
STI_lag_62,0.005353536778323229,Macro_Regional,W120_H1
STI_lag_63,0.0053442723172981476,Macro_Regional,W120_H1
IHSG_lag_2,0.0051664840783503885,Macro_Regional,W120_H1
STI_lag_69,0.005166369238713034,Macro_Regional,W120_H1
STI_lag_26,0.005018702923351572,Macro_Regional,W120_H1
STI_lag_51,0.004991447542633807,Macro_Regional,W120_H1
IHSG_lag_112,0.004585942897407997,Macro_Regional,W120_H1
NPL_Ratio_lag_120,0.004529981137070779,Macro_Regional,W120_H1
IHSG_lag_107,0.004483982779807058,Macro_Regional,W120_H1
IHSG_lag_110,0.004426367073961608,Macro_Regional,W120_H1
STI_lag_29,0.004425124150089928,Macro_Regional,W120_H1
M2_lag_66,0.004255045654819131,Macro_Regional,W120_H1
BI_Rate_lag_35,0.0042453128344193064,Macro_Regional,W120_H1
M2_lag_40,0.004098696557735879,Macro_Regional,W120_H1
IHSG_lag_47,0.004081150120760079,Macro_Regional,W120_H1
STI_lag_55,0.004074884251431742,Macro_Regional,W120_H1
STI_lag_11,0.00403351589270171,Macro_Regional,W120_H1
STI_lag_80,0.003995740877559162,Macro_Regional,W120_H1
BI_Rate_lag_25,0.003928190430291552,Macro_Regional,W120_H1
CPI_lag_36,0.003816249814382287,Macro_Regional,W120_H1
IHSG_lag_99,0.0037648349409500717,Macro_Regional,W120_H1
