Target,Scenario,Covariates,Window,Horizon,Num_Vars,MAPE,MAPE_std,MAE,RMSE,RMSE_std,R2,R2_std,DA,DA_std
IHSG,W30_H1,None,30,1,0,0.6661,0.1916,40.6375,55.676,11.1595,0.9688,0.0302,51.45,2.28
IHSG,W30_H1,Macro,30,1,5,0.6604,0.1841,40.3713,55.3164,10.6352,0.9689,0.0305,53.69,0.78
IHSG,W30_H1,Commodity,30,1,6,0.6594,0.1834,40.3334,55.0464,10.5626,0.9693,0.0297,53.18,1.9
IHSG,W30_H1,Regional,30,1,1,0.6626,0.1865,40.4769,55.4908,10.8857,0.9689,0.0302,53.44,2.55
IHSG,W30_H1,Macro_Regional,30,1,6,0.6599,0.1828,40.3524,55.3255,10.6305,0.9689,0.0304,53.33,1.62
IHSG,W30_H1,Commodity_Regional,30,1,7,0.6601,0.1822,40.3851,55.1673,10.5896,0.9692,0.03,53.44,1.99
IHSG,W30_H1,Full,30,1,12,0.6597,0.183,40.348,55.1745,10.602,0.9691,0.03,53.38,1.91
IHSG,W60_H1,None,60,1,0,0.6642,0.1893,40.5525,55.4768,10.969,0.969,0.0301,51.96,2.24
IHSG,W60_H1,Macro,60,1,5,0.6609,0.1842,40.3991,55.2581,10.5552,0.9689,0.0304,51.76,2.06
IHSG,W60_H1,Commodity,60,1,6,0.66,0.1821,40.3804,55.149,10.4738,0.9691,0.0302,51.5,1.8
IHSG,W60_H1,Regional,60,1,1,0.6635,0.187,40.5315,55.4829,10.8603,0.9689,0.0301,50.08,2.68
IHSG,W60_H1,Macro_Regional,60,1,6,0.6608,0.1839,40.3874,55.3359,10.6796,0.9689,0.0303,52.26,2.02
IHSG,W60_H1,Commodity_Regional,60,1,7,0.6598,0.183,40.3562,55.1834,10.5957,0.9692,0.03,52.11,2.16
IHSG,W60_H1,Full,60,1,12,0.6604,0.1826,40.3934,55.2,10.4939,0.969,0.0304,50.99,1.55
IHSG,W120_H1,None,120,1,0,0.6627,0.1873,40.4823,55.3525,10.7917,0.969,0.0302,51.76,2.64
IHSG,W120_H1,Macro,120,1,5,0.6599,0.183,40.3551,55.2377,10.5227,0.9689,0.0305,51.81,1.54
IHSG,W120_H1,Commodity,120,1,6,0.6598,0.1841,40.3522,55.1347,10.475,0.9691,0.0303,50.74,3.91
IHSG,W120_H1,Regional,120,1,1,0.6623,0.1865,40.4666,55.4284,10.8227,0.9689,0.0302,52.32,1.2
IHSG,W120_H1,Macro_Regional,120,1,6,0.6592,0.1822,40.3213,55.2213,10.5436,0.969,0.0303,53.23,2.11
IHSG,W120_H1,Commodity_Regional,120,1,7,0.6599,0.1834,40.3603,55.2368,10.5081,0.9689,0.0304,51.45,3.22
IHSG,W120_H1,Full,120,1,12,0.6594,0.1823,40.3361,55.1388,10.3786,0.9689,0.0306,51.7,1.77
