Target,Scenario,Covariates,Window,Horizon,Num_Vars,MAPE,MAE,MSE
IHSG,1 month,None,30,1,0,0.5073,36.0626,2320.4488
IHSG,1 month,All,30,1,12,0.823,59.1573,6686.9159
IHSG,1 month,Macro_All,30,1,5,0.5071,36.0391,2307.9868
IHSG,1 month,Commodities,30,1,6,0.7795,55.9521,5827.3574
IHSG,1 month,Commodities_STI,30,1,7,0.7638,54.8122,5616.9947
IHSG,1 month,BI_Rate,30,1,1,0.5072,36.0621,2322.2795
IHSG,1 month,CPI,30,1,1,0.5074,36.0765,2324.3946
IHSG,1 month,M2,30,1,1,0.5074,36.0765,2324.2431
IHSG,1 month,NPL_Ratio,30,1,1,0.5071,36.0493,2319.0999
IHSG,1 month,USDIDR,30,1,1,0.508,36.0999,2308.9654
IHSG,1 month,Coal,30,1,1,0.5072,36.0636,2321.2156
IHSG,1 month,Copper,30,1,1,0.5082,36.1289,2326.0441
IHSG,1 month,Nickel,30,1,1,0.507,36.0451,2316.7481
IHSG,1 month,Silver,30,1,1,0.9339,67.1235,9530.4974
IHSG,1 month,Tin,30,1,1,0.5069,36.0366,2317.63
IHSG,1 month,Gold,30,1,1,1.2093,87.3486,13595.241
IHSG,1 month,STI,30,1,1,0.5049,35.9073,2312.6486
IHSG,3 month,None,90,1,0,0.5058,35.9607,2305.5956
IHSG,3 month,All,90,1,12,0.7183,51.5099,4871.1092
IHSG,3 month,Macro_All,90,1,5,0.5117,36.3537,2338.4815
IHSG,3 month,Commodities,90,1,6,0.7088,50.7613,4834.3909
IHSG,3 month,Commodities_STI,90,1,7,0.7069,50.6282,4764.481
IHSG,3 month,BI_Rate,90,1,1,0.5062,35.985,2307.6146
IHSG,3 month,CPI,90,1,1,0.506,35.9744,2306.5913
IHSG,3 month,M2,90,1,1,0.5061,35.9811,2304.1155
IHSG,3 month,NPL_Ratio,90,1,1,0.5063,35.994,2308.5116
IHSG,3 month,USDIDR,90,1,1,0.5096,36.2047,2322.4096
IHSG,3 month,Coal,90,1,1,0.5063,35.9937,2309.1202
IHSG,3 month,Copper,90,1,1,0.5076,36.0855,2317.7117
IHSG,3 month,Nickel,90,1,1,0.5065,36.0093,2311.2422
IHSG,3 month,Silver,90,1,1,0.7722,55.3486,5973.0001
IHSG,3 month,Tin,90,1,1,0.5065,36.0072,2310.3013
IHSG,3 month,Gold,90,1,1,1.0698,77.2055,10535.5578
IHSG,3 month,STI,90,1,1,0.5059,35.9729,2310.437
IHSG,6 month,None,180,1,0,0.5075,36.0792,2326.4426
IHSG,6 month,All,180,1,12,0.508,36.1291,2332.5073
IHSG,6 month,Macro_All,180,1,5,0.5058,35.9511,2322.5143
IHSG,6 month,Commodities,180,1,6,0.5303,37.7666,2531.9329
IHSG,6 month,Commodities_STI,180,1,7,0.5506,39.2492,2710.1334
IHSG,6 month,BI_Rate,180,1,1,0.5077,36.0862,2327.0978
IHSG,6 month,CPI,180,1,1,0.5074,36.0653,2322.8789
IHSG,6 month,M2,180,1,1,0.5077,36.0914,2328.4847
IHSG,6 month,NPL_Ratio,180,1,1,0.508,36.1158,2329.5267
IHSG,6 month,USDIDR,180,1,1,0.5047,35.8646,2299.2212
IHSG,6 month,Coal,180,1,1,0.5075,36.0787,2326.7713
IHSG,6 month,Copper,180,1,1,0.5083,36.1308,2331.495
IHSG,6 month,Nickel,180,1,1,0.5078,36.095,2327.7719
IHSG,6 month,Silver,180,1,1,0.5145,36.5876,2376.6808
IHSG,6 month,Tin,180,1,1,0.5074,36.069,2322.2187
IHSG,6 month,Gold,180,1,1,0.5181,36.883,2428.5353
IHSG,6 month,STI,180,1,1,0.5061,35.9827,2314.6937
