Variable,Category,Transform,N,Mean,Std Dev,Min,Max,Skewness,Kurtosis
IHSG,Target,Log-return,2442,0.00012470899401209726,0.009538401069440223,-0.06805053289396845,0.09704225425851476,-0.22299177233592965,8.579625984161744
BI_Rate,Macro,First-diff,2442,-0.000819000819000819,0.04351170683388402,-1.25,0.5,-7.555233072522859,323.9853390210433
CPI,Macro,First-diff,2442,0.01052018018018018,0.07826835668988831,-0.8100000000000023,1.1726999999999919,6.376397140238028,66.98787418409533
NPL_Ratio,Macro,First-diff,2442,-7.780507780507779e-05,0.023437976570401017,-0.30000000000000027,0.27,-1.3233978116258018,66.91172155123361
M2,Macro,Log-return,2442,0.00032348552693973006,0.003186004167718832,-0.03231731644334168,0.05144139944893311,4.929805132043335,77.88298400730572
USDIDR,Macro,Log-return,2442,0.0001071807677777459,0.003930904195057025,-0.03280184140371567,0.04465888249758265,0.26225585115944267,18.02801989396487
Coal,Commodity,Log-return,2442,0.0002594146957492556,0.023560140802936776,-0.4324539329588859,0.34057153637215354,-1.825983411131935,92.4195711208578
Copper,Commodity,Log-return,2442,0.00015117223378171378,0.013138957166545315,-0.08073955487342666,0.06873714069072001,-0.2260268936368282,2.2095183778766385
Nickel,Commodity,Log-return,2442,1.0360749435446683e-05,0.023542892916089162,-0.16244722520624144,0.5083258734778724,3.810693517434799,92.1837077625891
Silver,Commodity,Log-return,2442,0.0002813882586663667,0.0171531246562263,-0.16118601773623764,0.08435127262159847,-0.45610582766130114,7.100514434502273
Tin,Commodity,Log-return,2442,0.0001747619826862194,0.01602405554036619,-0.09581390377424626,0.09989326195100467,-0.4017761565325361,5.832022812137165
STI,Regional,Log-return,2442,5.507612282401956e-05,0.00845356351066824,-0.07637284709874415,0.05596897883807728,-0.5647733557939711,8.410758330610557
Gold,Commodity,Log-return,2442,0.0003507174237717658,0.008952158335779996,-0.05863230738016956,0.04966568210092337,-0.22283369883082269,3.2582133825100614
WTI,Commodity,Log-return,2442,0.00013086592348653838,0.032045485357376134,-0.5685888676239457,0.5812349505518668,-0.351207709830709,90.99408186521025
GDP,Macro,Log-return,2442,0.00016867453238868913,0.002224151159700155,-0.0706571199484145,0.03180899863949449,-8.846186805192708,458.41409833055747
