Model,Window,Horizon,Group,MAPE,Baseline_MAPE,MAPE_Impr_pct,MASE,MASE_Impr_pct,DA,DA_Impr_pp,HitLarge,HitLarge_Impr_pp,Wilcoxon_p,Significant
RandomForest,20,1,risk_global,0.659,0.6611,0.318,1.1595,0.198,51.2,-0.76,51.95,4.22,0.5,False
RandomForest,20,1,commodity_id,0.6604,0.6611,0.106,1.1615,0.026,51.3,-0.66,50.98,3.25,0.25,False
RandomForest,20,1,monetary_id,0.6611,0.6611,0.0,1.1622,-0.034,51.86,-0.1,48.58,0.85,0.6562,False
RandomForest,20,1,real_economy_id,0.6605,0.6611,0.091,1.161,0.069,51.81,-0.15,51.1,3.37,0.5938,False
RandomForest,20,1,All_Groups,0.6603,0.6611,0.121,1.1616,0.017,50.48,-1.48,50.19,2.46,0.4062,False
RandomForest,20,5,risk_global,1.0911,1.0884,-0.248,1.8969,-0.471,50.75,0.0,51.87,1.97,0.6875,False
RandomForest,20,5,commodity_id,1.0968,1.0884,-0.772,1.9041,-0.853,50.49,-0.26,49.13,-0.77,0.9375,False
RandomForest,20,5,monetary_id,1.0867,1.0884,0.156,1.8862,0.095,51.11,0.36,50.67,0.77,0.2188,False
RandomForest,20,5,real_economy_id,1.0855,1.0884,0.266,1.8838,0.222,50.9,0.15,50.77,0.87,0.2188,False
RandomForest,20,5,All_Groups,1.0918,1.0884,-0.312,1.8978,-0.519,50.49,-0.26,51.45,1.55,0.7812,False
RandomForest,20,20,risk_global,2.1268,2.0972,-1.411,3.6795,-1.557,49.71,0.0,48.73,-0.06,0.5938,False
RandomForest,20,20,commodity_id,2.1195,2.0972,-1.063,3.6639,-1.126,49.6,-0.11,48.45,-0.34,0.9062,False
RandomForest,20,20,monetary_id,2.0952,2.0972,0.095,3.6191,0.11,49.87,0.16,49.09,0.3,0.1562,False
RandomForest,20,20,real_economy_id,2.0981,2.0972,-0.043,3.6238,-0.019,50.03,0.32,48.86,0.07,0.6875,False
RandomForest,20,20,All_Groups,2.1159,2.0972,-0.892,3.6557,-0.9,50.03,0.32,49.24,0.45,0.8125,False
RandomForest,120,1,risk_global,0.6598,0.6626,0.423,1.1601,0.352,51.45,-0.92,50.51,3.15,0.3125,False
RandomForest,120,1,commodity_id,0.6638,0.6626,-0.181,1.1678,-0.309,48.3,-4.07,44.51,-2.85,0.6875,False
RandomForest,120,1,monetary_id,0.6604,0.6626,0.332,1.1609,0.283,52.16,-0.21,48.0,0.64,0.1875,False
RandomForest,120,1,real_economy_id,0.6594,0.6626,0.483,1.1594,0.412,52.98,0.61,48.58,1.22,0.2188,False
RandomForest,120,1,All_Groups,0.6605,0.6626,0.317,1.1618,0.206,50.03,-2.34,48.83,1.47,0.4062,False
RandomForest,120,5,risk_global,1.0921,1.0882,-0.358,1.8963,-0.429,50.75,0.16,51.24,1.24,0.5938,False
RandomForest,120,5,commodity_id,1.091,1.0882,-0.257,1.8949,-0.355,50.03,-0.56,49.79,-0.21,0.7812,False
RandomForest,120,5,monetary_id,1.0858,1.0882,0.221,1.8848,0.18,50.95,0.36,49.87,-0.13,0.2188,False
RandomForest,120,5,real_economy_id,1.084,1.0882,0.386,1.882,0.328,50.59,0.0,49.78,-0.22,0.4062,False
RandomForest,120,5,All_Groups,1.0885,1.0882,-0.028,1.8903,-0.111,50.03,-0.56,49.34,-0.66,0.5,False
RandomForest,120,20,risk_global,2.1216,2.1073,-0.679,3.6652,-0.806,49.82,-0.42,48.96,0.26,0.5938,False
RandomForest,120,20,commodity_id,2.1303,2.1073,-1.091,3.6844,-1.334,49.92,-0.32,48.6,-0.1,0.6875,False
RandomForest,120,20,monetary_id,2.1039,2.1073,0.161,3.6306,0.146,50.03,-0.21,48.73,0.03,0.6875,False
RandomForest,120,20,real_economy_id,2.0956,2.1073,0.555,3.6168,0.525,49.76,-0.48,48.24,-0.46,0.3125,False
RandomForest,120,20,All_Groups,2.1089,2.1073,-0.076,3.6422,-0.173,50.13,-0.11,48.3,-0.4,0.5,False
ExtraTrees,20,1,risk_global,0.6581,0.6608,0.409,1.1573,0.344,52.32,0.51,52.07,3.82,0.0938,False
ExtraTrees,20,1,commodity_id,0.66,0.6608,0.121,1.1606,0.06,52.16,0.35,47.03,-1.22,0.2188,False
ExtraTrees,20,1,monetary_id,0.6589,0.6608,0.288,1.1592,0.181,52.37,0.56,52.02,3.77,0.3125,False
ExtraTrees,20,1,real_economy_id,0.6593,0.6608,0.227,1.1594,0.164,52.82,1.01,49.52,1.27,0.3125,False
ExtraTrees,20,1,All_Groups,0.6579,0.6608,0.439,1.1572,0.353,53.13,1.32,51.37,3.12,0.1562,False
ExtraTrees,20,5,risk_global,1.0881,1.0892,0.101,1.8903,-0.016,50.8,-0.31,51.56,1.14,0.5,False
ExtraTrees,20,5,commodity_id,1.0899,1.0892,-0.064,1.8923,-0.122,50.44,-0.67,51.45,1.03,0.6875,False
ExtraTrees,20,5,monetary_id,1.0852,1.0892,0.367,1.8837,0.333,50.9,-0.21,51.54,1.12,0.1562,False
ExtraTrees,20,5,real_economy_id,1.0858,1.0892,0.312,1.8851,0.259,50.85,-0.26,50.62,0.2,0.3125,False
ExtraTrees,20,5,All_Groups,1.0848,1.0892,0.404,1.8839,0.323,50.8,-0.31,50.61,0.19,0.3125,False
ExtraTrees,20,20,risk_global,2.1144,2.1004,-0.667,3.6496,-0.615,49.5,-0.32,48.22,-0.45,0.6875,False
ExtraTrees,20,20,commodity_id,2.1048,2.1004,-0.209,3.6361,-0.243,49.29,-0.53,48.78,0.11,0.8438,False
ExtraTrees,20,20,monetary_id,2.1076,2.1004,-0.343,3.6404,-0.361,49.82,0.0,49.11,0.44,0.8438,False
ExtraTrees,20,20,real_economy_id,2.0992,2.1004,0.057,3.6247,0.072,49.87,0.05,48.91,0.24,0.5,False
ExtraTrees,20,20,All_Groups,2.105,2.1004,-0.219,3.6338,-0.179,49.97,0.15,49.83,1.16,0.6875,False
ExtraTrees,120,1,risk_global,0.6582,0.6599,0.258,1.1577,0.233,52.32,-0.25,51.19,3.29,0.0625,False
ExtraTrees,120,1,commodity_id,0.6585,0.6599,0.212,1.1585,0.164,51.65,-0.92,46.56,-1.34,0.2188,False
