Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,Improvement_pct,Passed
RandomForest,20,1,BI_Rate,0.662,0.6611,-0.136,False
RandomForest,20,1,CPI,0.6607,0.6611,0.061,False
RandomForest,20,1,M2,0.6608,0.6611,0.045,False
RandomForest,20,1,NPL_Ratio,0.6608,0.6611,0.045,False
RandomForest,20,1,USDIDR,0.6604,0.6611,0.106,False
RandomForest,20,1,GDP,0.6612,0.6611,-0.015,False
RandomForest,20,1,US_Treasury_10Y,0.6636,0.6611,-0.378,False
RandomForest,20,1,Coal,0.6621,0.6611,-0.151,False
RandomForest,20,1,Copper,0.6606,0.6611,0.076,False
RandomForest,20,1,Nickel,0.6618,0.6611,-0.106,False
RandomForest,20,1,Silver,0.6588,0.6611,0.348,True
RandomForest,20,1,Tin,0.661,0.6611,0.015,False
RandomForest,20,1,Gold,0.6602,0.6611,0.136,False
RandomForest,20,1,WTI,0.6605,0.6611,0.091,False
RandomForest,20,1,STI,0.6604,0.6611,0.106,False
RandomForest,20,5,BI_Rate,1.0884,1.0884,0.0,False
RandomForest,20,5,CPI,1.0867,1.0884,0.156,False
RandomForest,20,5,M2,1.0874,1.0884,0.092,False
RandomForest,20,5,NPL_Ratio,1.0885,1.0884,-0.009,False
RandomForest,20,5,USDIDR,1.0907,1.0884,-0.211,False
RandomForest,20,5,GDP,1.0874,1.0884,0.092,False
RandomForest,20,5,US_Treasury_10Y,1.0969,1.0884,-0.781,False
RandomForest,20,5,Coal,1.0913,1.0884,-0.266,False
RandomForest,20,5,Copper,1.0871,1.0884,0.119,False
RandomForest,20,5,Nickel,1.094,1.0884,-0.515,False
RandomForest,20,5,Silver,1.0849,1.0884,0.322,True
RandomForest,20,5,Tin,1.0962,1.0884,-0.717,False
RandomForest,20,5,Gold,1.088,1.0884,0.037,False
RandomForest,20,5,WTI,1.0913,1.0884,-0.266,False
RandomForest,20,5,STI,1.0832,1.0884,0.478,True
RandomForest,20,20,BI_Rate,2.0962,2.0972,0.048,False
RandomForest,20,20,CPI,2.0999,2.0972,-0.129,False
RandomForest,20,20,M2,2.0953,2.0972,0.091,False
RandomForest,20,20,NPL_Ratio,2.1013,2.0972,-0.195,False
RandomForest,20,20,USDIDR,2.0965,2.0972,0.033,False
RandomForest,20,20,GDP,2.1015,2.0972,-0.205,False
RandomForest,20,20,US_Treasury_10Y,2.1583,2.0972,-2.913,False
RandomForest,20,20,Coal,2.1016,2.0972,-0.21,False
RandomForest,20,20,Copper,2.1026,2.0972,-0.257,False
RandomForest,20,20,Nickel,2.0983,2.0972,-0.052,False
RandomForest,20,20,Silver,2.0876,2.0972,0.458,True
RandomForest,20,20,Tin,2.1086,2.0972,-0.544,False
RandomForest,20,20,Gold,2.0968,2.0972,0.019,False
RandomForest,20,20,WTI,2.0907,2.0972,0.31,True
RandomForest,20,20,STI,2.0922,2.0972,0.238,False
RandomForest,120,1,BI_Rate,0.6627,0.6626,-0.015,False
RandomForest,120,1,CPI,0.6614,0.6626,0.181,False
RandomForest,120,1,M2,0.6612,0.6626,0.211,False
RandomForest,120,1,NPL_Ratio,0.6612,0.6626,0.211,False
RandomForest,120,1,USDIDR,0.6626,0.6626,0.0,False
RandomForest,120,1,GDP,0.6619,0.6626,0.106,False
RandomForest,120,1,US_Treasury_10Y,0.6618,0.6626,0.121,False
RandomForest,120,1,Coal,0.6633,0.6626,-0.106,False
RandomForest,120,1,Copper,0.6627,0.6626,-0.015,False
RandomForest,120,1,Nickel,0.6639,0.6626,-0.196,False
RandomForest,120,1,Silver,0.6623,0.6626,0.045,False
RandomForest,120,1,Tin,0.6623,0.6626,0.045,False
RandomForest,120,1,Gold,0.6617,0.6626,0.136,False
RandomForest,120,1,WTI,0.6619,0.6626,0.106,False
RandomForest,120,1,STI,0.6627,0.6626,-0.015,False
RandomForest,120,5,BI_Rate,1.088,1.0882,0.018,False
RandomForest,120,5,CPI,1.0869,1.0882,0.119,False
RandomForest,120,5,M2,1.0864,1.0882,0.165,False
RandomForest,120,5,NPL_Ratio,1.0851,1.0882,0.285,False
RandomForest,120,5,USDIDR,1.0899,1.0882,-0.156,False
RandomForest,120,5,GDP,1.0869,1.0882,0.119,False
RandomForest,120,5,US_Treasury_10Y,1.098,1.0882,-0.901,False
RandomForest,120,5,Coal,1.091,1.0882,-0.257,False
RandomForest,120,5,Copper,1.0893,1.0882,-0.101,False
RandomForest,120,5,Nickel,1.0913,1.0882,-0.285,False
RandomForest,120,5,Silver,1.0919,1.0882,-0.34,False
RandomForest,120,5,Tin,1.0911,1.0882,-0.266,False
RandomForest,120,5,Gold,1.0825,1.0882,0.524,True
RandomForest,120,5,WTI,1.0894,1.0882,-0.11,False
RandomForest,120,5,STI,1.0857,1.0882,0.23,False
RandomForest,120,20,BI_Rate,2.1032,2.1073,0.195,False
RandomForest,120,20,CPI,2.0984,2.1073,0.422,True
RandomForest,120,20,M2,2.1047,2.1073,0.123,False
RandomForest,120,20,NPL_Ratio,2.1004,2.1073,0.327,True
RandomForest,120,20,USDIDR,2.1052,2.1073,0.1,False
RandomForest,120,20,GDP,2.1004,2.1073,0.327,True
RandomForest,120,20,US_Treasury_10Y,2.1271,2.1073,-0.94,False
RandomForest,120,20,Coal,2.1072,2.1073,0.005,False
RandomForest,120,20,Copper,2.1074,2.1073,-0.005,False
RandomForest,120,20,Nickel,2.151,2.1073,-2.074,False
RandomForest,120,20,Silver,2.1004,2.1073,0.327,True
RandomForest,120,20,Tin,2.1068,2.1073,0.024,False
RandomForest,120,20,Gold,2.0979,2.1073,0.446,True
RandomForest,120,20,WTI,2.1009,2.1073,0.304,True
RandomForest,120,20,STI,2.0996,2.1073,0.365,True
ExtraTrees,20,1,BI_Rate,0.6599,0.6608,0.136,False
ExtraTrees,20,1,CPI,0.6595,0.6608,0.197,False
ExtraTrees,20,1,M2,0.66,0.6608,0.121,False
ExtraTrees,20,1,NPL_Ratio,0.6597,0.6608,0.166,False
ExtraTrees,20,1,USDIDR,0.6589,0.6608,0.288,False
ExtraTrees,20,1,GDP,0.6598,0.6608,0.151,False
ExtraTrees,20,1,US_Treasury_10Y,0.661,0.6608,-0.03,False
ExtraTrees,20,1,Coal,0.66,0.6608,0.121,False
ExtraTrees,20,1,Copper,0.6577,0.6608,0.469,True
ExtraTrees,20,1,Nickel,0.66,0.6608,0.121,False
ExtraTrees,20,1,Silver,0.6579,0.6608,0.439,True
ExtraTrees,20,1,Tin,0.6597,0.6608,0.166,False
ExtraTrees,20,1,Gold,0.6595,0.6608,0.197,False
ExtraTrees,20,1,WTI,0.6597,0.6608,0.166,False
ExtraTrees,20,1,STI,0.6595,0.6608,0.197,False
ExtraTrees,20,5,BI_Rate,1.0876,1.0892,0.147,False
ExtraTrees,20,5,CPI,1.0867,1.0892,0.23,False
ExtraTrees,20,5,M2,1.0833,1.0892,0.542,True
