Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
RandomForest,20,1,BI_Rate,0.662,0.6611,-0.136,51.09,51.96,-0.87,-0.005,False,False,False,False
RandomForest,20,1,CPI,0.6607,0.6611,0.061,53.28,51.96,1.32,0.002,False,True,True,False
RandomForest,20,1,M2,0.6608,0.6611,0.045,53.03,51.96,1.07,0.002,False,True,True,False
RandomForest,20,1,NPL_Ratio,0.6608,0.6611,0.045,52.32,51.96,0.36,0.002,False,False,False,False
RandomForest,20,1,USDIDR,0.6604,0.6611,0.106,53.54,51.96,1.58,0.004,False,True,True,False
RandomForest,20,1,GDP,0.6612,0.6611,-0.015,52.37,51.96,0.41,-0.001,False,False,False,False
RandomForest,20,1,US_Treasury_10Y,0.6636,0.6611,-0.378,51.6,51.96,-0.36,-0.016,False,False,False,False
RandomForest,20,1,Coal,0.6621,0.6611,-0.151,51.35,51.96,-0.61,-0.006,False,False,False,False
RandomForest,20,1,Copper,0.6606,0.6611,0.076,52.21,51.96,0.25,0.003,False,False,False,False
RandomForest,20,1,Nickel,0.6618,0.6611,-0.106,51.96,51.96,0.0,-0.004,False,False,False,False
RandomForest,20,1,Silver,0.6588,0.6611,0.348,53.74,51.96,1.78,0.014,True,True,True,True
RandomForest,20,1,Tin,0.661,0.6611,0.015,52.21,51.96,0.25,0.001,False,False,False,False
RandomForest,20,1,Gold,0.6602,0.6611,0.136,51.65,51.96,-0.31,0.005,False,False,False,False
RandomForest,20,1,WTI,0.6605,0.6611,0.091,52.06,51.96,0.1,0.004,False,False,False,False
RandomForest,20,1,STI,0.6604,0.6611,0.106,53.23,51.96,1.27,0.004,False,True,True,False
RandomForest,20,5,BI_Rate,1.0884,1.0884,0.0,50.8,50.75,0.05,0.0,False,False,False,False
RandomForest,20,5,CPI,1.0867,1.0884,0.156,50.69,50.75,-0.06,0.005,False,False,False,False
RandomForest,20,5,M2,1.0874,1.0884,0.092,50.33,50.75,-0.42,0.003,False,False,False,False
RandomForest,20,5,NPL_Ratio,1.0885,1.0884,-0.009,50.59,50.75,-0.16,-0.0,False,False,False,False
RandomForest,20,5,USDIDR,1.0907,1.0884,-0.211,50.44,50.75,-0.31,-0.007,False,False,False,False
RandomForest,20,5,GDP,1.0874,1.0884,0.092,50.95,50.75,0.2,0.003,False,False,False,False
RandomForest,20,5,US_Treasury_10Y,1.0969,1.0884,-0.781,50.18,50.75,-0.57,-0.026,False,False,False,False
RandomForest,20,5,Coal,1.0913,1.0884,-0.266,50.23,50.75,-0.52,-0.008,False,False,False,False
RandomForest,20,5,Copper,1.0871,1.0884,0.119,50.85,50.75,0.1,0.004,False,False,False,False
RandomForest,20,5,Nickel,1.094,1.0884,-0.515,50.33,50.75,-0.42,-0.016,False,False,False,False
RandomForest,20,5,Silver,1.0849,1.0884,0.322,51.11,50.75,0.36,0.01,True,False,True,False
