Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
RandomForest,None,30,1,0.6666,0.1721,40.6649,55.6749,9.9757,0.9688,50.74,2.17
RandomForest,None,30,30,2.6953,0.9643,161.8524,229.1115,64.6545,0.4546,49.56,2.79
RandomForest,None,120,1,0.6626,0.1674,40.4765,55.3421,9.6317,0.969,52.32,2.22
RandomForest,None,120,30,2.7055,0.9644,162.3027,230.4238,65.5469,0.4511,49.97,2.14
RandomForest,BI_Rate,30,1,0.6645,0.1696,40.5694,55.499,9.8055,0.9689,51.35,2.09
RandomForest,BI_Rate,30,30,2.6875,0.9543,161.4609,228.9628,64.5125,0.4552,49.67,2.89
RandomForest,BI_Rate,120,1,0.6629,0.1684,40.4927,55.3453,9.6828,0.969,50.18,2.96
RandomForest,BI_Rate,120,30,2.704,0.9645,162.2036,230.6012,65.5132,0.4498,49.87,1.92
RandomForest,CPI,30,1,0.6636,0.1691,40.5145,55.4839,9.7964,0.9689,52.32,1.45
RandomForest,CPI,30,30,2.69,0.9548,161.5727,229.2329,64.6014,0.4539,49.67,2.74
RandomForest,CPI,120,1,0.6615,0.1657,40.4401,55.3058,9.5133,0.9688,51.96,1.74
RandomForest,CPI,120,30,2.6928,0.9483,161.6677,229.5178,64.3546,0.4488,49.77,1.84
RandomForest,M2,30,1,0.6634,0.1687,40.5043,55.4372,9.6914,0.9688,52.32,1.37
RandomForest,M2,30,30,2.689,0.955,161.5789,228.9195,64.3755,0.4549,49.72,2.58
RandomForest,M2,120,1,0.6612,0.1658,40.4178,55.2664,9.495,0.9689,51.86,1.87
RandomForest,M2,120,30,2.7041,0.9665,162.226,230.2837,65.7229,0.4501,49.77,1.76
RandomForest,NPL_Ratio,30,1,0.6638,0.1698,40.527,55.5108,9.8783,0.9689,52.06,0.95
RandomForest,NPL_Ratio,30,30,2.6934,0.9632,161.7196,229.393,64.9773,0.4547,49.51,2.87
RandomForest,NPL_Ratio,120,1,0.6612,0.1658,40.4157,55.2592,9.5122,0.9689,52.26,1.38
RandomForest,NPL_Ratio,120,30,2.6937,0.9606,161.5956,230.1355,65.6051,0.4567,49.92,2.17
RandomForest,USDIDR,30,1,0.663,0.1682,40.482,55.4773,9.7593,0.9689,51.3,1.33
RandomForest,USDIDR,30,30,2.6851,0.9486,161.343,228.8855,64.2626,0.4555,49.41,2.61
RandomForest,USDIDR,120,1,0.6626,0.1679,40.4792,55.3329,9.6314,0.969,51.09,1.86
