Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
RandomForest,Baseline,20,1,0.5072,36.0552,48.1598,0.9716,51.71,0.9746,43.07
RandomForest,Baseline,20,5,0.8522,60.5674,79.7912,0.9224,47.52,1.6371,51.09
RandomForest,Baseline,20,20,1.392,99.4072,143.0187,0.7528,49.9,2.687,54.41
RandomForest,Baseline,120,1,0.5069,36.0323,48.1029,0.9717,52.28,0.974,43.8
RandomForest,Baseline,120,5,0.8526,60.5931,79.8915,0.9222,47.9,1.6378,51.82
RandomForest,Baseline,120,20,1.3892,99.1823,142.7713,0.7537,49.33,2.6809,52.94
RandomForest,Screening1,20,1,0.5047,35.8832,47.8892,0.9719,53.8,0.9699,51.82
RandomForest,Screening1,20,5,0.8519,60.5519,79.7932,0.9224,49.05,1.6367,54.01
RandomForest,Screening1,20,20,1.405,100.3461,144.6377,0.7472,49.33,2.7124,54.41
RandomForest,Screening1,120,1,0.5059,35.9664,47.9592,0.9718,53.23,0.9722,50.36
RandomForest,Screening1,120,5,0.8526,60.5971,79.8621,0.9222,47.71,1.6379,53.28
RandomForest,Screening1,120,20,1.39,99.2429,142.9256,0.7531,49.52,2.6825,52.94
RandomForest,Screening2,20,1,0.5053,35.9164,47.9785,0.9718,50.95,0.9708,48.91
RandomForest,Screening2,20,5,0.8528,60.6135,79.8355,0.9223,49.43,1.6384,53.28
RandomForest,Screening2,20,20,1.4037,100.244,144.2945,0.7484,49.71,2.7096,54.41
RandomForest,Screening2,120,1,0.5059,35.959,47.9914,0.9718,53.04,0.972,48.18
RandomForest,Screening2,120,5,0.8546,60.7473,80.064,0.9218,49.05,1.642,52.55
RandomForest,Screening2,120,20,1.3909,99.3037,142.7421,0.7538,50.1,2.6842,52.94
RandomForest,All_Commodity_STI,20,1,0.5057,35.9469,47.961,0.9718,52.47,0.9716,53.28
RandomForest,All_Commodity_STI,20,5,0.8521,60.5684,79.7951,0.9224,48.47,1.6372,52.55
RandomForest,All_Commodity_STI,20,20,1.4051,100.3397,144.3843,0.7481,49.13,2.7122,54.41
RandomForest,All_Commodity_STI,120,1,0.506,35.9667,47.9794,0.9718,51.9,0.9722,53.28
RandomForest,All_Commodity_STI,120,5,0.8526,60.5951,79.8725,0.9222,48.09,1.6379,53.28
RandomForest,All_Commodity_STI,120,20,1.3991,99.9055,143.5005,0.7511,49.13,2.7004,52.94
RandomForest,All_Macro_no_UST,20,1,0.5062,35.9815,48.0952,0.9717,52.85,0.9726,48.18
RandomForest,All_Macro_no_UST,20,5,0.8553,60.7902,80.0832,0.9218,48.85,1.6432,51.82
RandomForest,All_Macro_no_UST,20,20,1.387,99.0275,141.975,0.7564,49.71,2.6767,54.41
RandomForest,All_Macro_no_UST,120,1,0.5069,36.0352,48.1471,0.9716,53.04,0.974,46.72
RandomForest,All_Macro_no_UST,120,5,0.8556,60.8063,80.0776,0.9218,48.28,1.6436,51.82
RandomForest,All_Macro_no_UST,120,20,1.3779,98.3843,140.8851,0.7601,50.1,2.6593,52.94
RandomForest,All_Covariates,20,1,0.5067,36.0124,48.077,0.9717,51.14,0.9734,53.28
RandomForest,All_Covariates,20,5,0.8656,61.4956,80.7633,0.9205,47.71,1.6622,49.64
RandomForest,All_Covariates,20,20,1.475,105.2288,152.7445,0.7181,49.71,2.8443,52.21
RandomForest,All_Covariates,120,1,0.5072,36.05,48.1188,0.9717,52.28,0.9744,51.82
RandomForest,All_Covariates,120,5,0.8643,61.4084,80.5775,0.9208,48.66,1.6599,51.82
RandomForest,All_Covariates,120,20,1.4511,103.5222,149.7139,0.7291,48.94,2.7982,50.74
ExtraTrees,Baseline,20,1,0.5053,35.9237,47.9365,0.9719,53.61,0.971,45.26
ExtraTrees,Baseline,20,5,0.8533,60.6595,79.7646,0.9224,47.71,1.6396,51.09
ExtraTrees,Baseline,20,20,1.385,98.8868,141.3147,0.7587,48.75,2.6729,53.68
ExtraTrees,Baseline,120,1,0.5058,35.9609,47.9527,0.9719,52.28,0.972,45.99
ExtraTrees,Baseline,120,5,0.8528,60.6222,79.7349,0.9225,48.28,1.6386,52.55
ExtraTrees,Baseline,120,20,1.3843,98.8245,141.2957,0.7587,49.33,2.6712,54.41
ExtraTrees,Screening1,20,1,0.5055,35.936,47.888,0.9719,52.09,0.9713,51.09
ExtraTrees,Screening1,20,5,0.8519,60.5565,79.6698,0.9226,47.9,1.6368,52.55
ExtraTrees,Screening1,20,20,1.3926,99.4392,142.3921,0.755,48.17,2.6878,53.68
ExtraTrees,Screening1,120,1,0.5053,35.921,47.9066,0.9719,52.47,0.9709,48.91
ExtraTrees,Screening1,120,5,0.85,60.4138,79.4677,0.923,47.71,1.633,54.01
ExtraTrees,Screening1,120,20,1.3845,98.8252,141.3301,0.7586,49.33,2.6712,54.41
ExtraTrees,Screening2,20,1,0.505,35.8995,47.8452,0.972,52.47,0.9704,50.36
ExtraTrees,Screening2,20,5,0.853,60.6316,79.7334,0.9225,48.47,1.6389,54.01
ExtraTrees,Screening2,20,20,1.3865,99.0075,141.7221,0.7573,48.94,2.6762,53.68
ExtraTrees,Screening2,120,1,0.5047,35.8798,47.8567,0.972,54.75,0.9698,52.55
ExtraTrees,Screening2,120,5,0.8522,60.5792,79.7098,0.9225,48.28,1.6375,54.01
ExtraTrees,Screening2,120,20,1.3863,98.9594,141.5188,0.758,49.52,2.6749,52.94
ExtraTrees,All_Commodity_STI,20,1,0.5047,35.8806,47.7975,0.972,53.8,0.9699,51.09
ExtraTrees,All_Commodity_STI,20,5,0.8527,60.6126,79.6803,0.9226,48.28,1.6384,53.28
ExtraTrees,All_Commodity_STI,20,20,1.3937,99.5224,142.3285,0.7552,48.55,2.6901,52.94
ExtraTrees,All_Commodity_STI,120,1,0.5048,35.8882,47.8704,0.972,54.18,0.9701,52.55
ExtraTrees,All_Commodity_STI,120,5,0.8511,60.4947,79.4593,0.923,48.66,1.6352,53.28
ExtraTrees,All_Commodity_STI,120,20,1.3853,98.886,140.9864,0.7598,49.13,2.6729,53.68
ExtraTrees,All_Macro_no_UST,20,1,0.5052,35.9126,47.8828,0.9719,53.8,0.9707,53.28
ExtraTrees,All_Macro_no_UST,20,5,0.8531,60.6405,79.7484,0.9225,47.33,1.6391,51.09
ExtraTrees,All_Macro_no_UST,20,20,1.3908,99.3068,142.0548,0.7561,48.75,2.6843,53.68
ExtraTrees,All_Macro_no_UST,120,1,0.5055,35.9399,47.9038,0.9719,51.71,0.9715,49.64
ExtraTrees,All_Macro_no_UST,120,5,0.8531,60.6385,79.772,0.9224,47.71,1.6391,51.09
ExtraTrees,All_Macro_no_UST,120,20,1.3818,98.6428,141.2293,0.759,49.9,2.6663,53.68
ExtraTrees,All_Covariates,20,1,0.5057,35.9481,47.9064,0.9719,53.61,0.9717,48.91
ExtraTrees,All_Covariates,20,5,0.8542,60.7175,79.8315,0.9223,48.09,1.6412,54.01
ExtraTrees,All_Covariates,20,20,1.4007,99.9914,142.9071,0.7532,48.55,2.7028,52.21
ExtraTrees,All_Covariates,120,1,0.5049,35.8946,47.9089,0.9719,52.47,0.9702,52.55
ExtraTrees,All_Covariates,120,5,0.855,60.7734,79.9122,0.9221,48.09,1.6427,51.82
ExtraTrees,All_Covariates,120,20,1.3849,98.8459,141.5591,0.7578,49.13,2.6718,52.94
XGBoost,Baseline,20,1,0.5044,35.8531,47.8568,0.972,54.75,0.9691,51.09
XGBoost,Baseline,20,5,0.8525,60.5882,79.4571,0.923,47.33,1.6377,54.01
XGBoost,Baseline,20,20,1.3935,99.4391,141.6232,0.7576,48.55,2.6878,52.21
XGBoost,Baseline,120,1,0.5148,36.5772,48.2423,0.9715,48.1,0.9887,49.64
XGBoost,Baseline,120,5,0.861,61.1574,80.5683,0.9209,48.85,1.6531,55.47
XGBoost,Baseline,120,20,1.3899,99.0308,138.4163,0.7685,47.78,2.6768,52.21
XGBoost,Screening1,20,1,0.5017,35.651,47.7262,0.9721,54.37,0.9636,62.04
XGBoost,Screening1,20,5,0.8229,58.4657,77.3121,0.9271,48.47,1.5803,56.93
XGBoost,Screening1,20,20,1.3777,98.5585,143.5294,0.751,48.36,2.664,55.15
XGBoost,Screening1,120,1,0.5012,35.6177,48.015,0.9718,51.9,0.9627,55.47
XGBoost,Screening1,120,5,0.8352,59.3524,78.1431,0.9255,47.33,1.6043,56.2
XGBoost,Screening1,120,20,1.3238,94.3452,131.5895,0.7907,48.36,2.5501,54.41
XGBoost,Screening2,20,1,0.5028,35.7252,47.891,0.9719,54.94,0.9656,59.12
XGBoost,Screening2,20,5,0.8133,57.7709,77.3233,0.9271,47.71,1.5615,56.2
XGBoost,Screening2,20,20,1.387,99.1535,142.1595,0.7558,48.75,2.6801,55.88
XGBoost,Screening2,120,1,0.5059,35.9515,48.0972,0.9717,51.52,0.9718,58.39
XGBoost,Screening2,120,5,0.8344,59.3359,78.7492,0.9244,48.66,1.6038,55.47
XGBoost,Screening2,120,20,1.354,96.5395,133.2818,0.7853,49.33,2.6095,53.68
XGBoost,All_Commodity_STI,20,1,0.5066,36.0051,48.165,0.9716,53.42,0.9732,59.85
XGBoost,All_Commodity_STI,20,5,0.818,58.154,77.6618,0.9265,48.66,1.5719,57.66
XGBoost,All_Commodity_STI,20,20,1.3739,98.2401,140.6611,0.7609,48.55,2.6554,57.35
XGBoost,All_Commodity_STI,120,1,0.5064,36.0046,48.6864,0.971,50.76,0.9732,54.01
XGBoost,All_Commodity_STI,120,5,0.8314,59.0989,78.5175,0.9248,47.33,1.5974,54.74
XGBoost,All_Commodity_STI,120,20,1.3602,97.0069,135.2717,0.7789,48.36,2.6221,52.94
XGBoost,All_Macro_no_UST,20,1,0.503,35.7476,47.7458,0.9721,54.56,0.9663,56.2
XGBoost,All_Macro_no_UST,20,5,0.8379,59.5061,78.3391,0.9252,49.43,1.6084,56.2
XGBoost,All_Macro_no_UST,20,20,1.3936,99.4199,141.4329,0.7583,47.78,2.6873,51.47
XGBoost,All_Macro_no_UST,120,1,0.5144,36.542,48.4848,0.9712,48.86,0.9877,48.18
XGBoost,All_Macro_no_UST,120,5,0.8612,61.1928,80.2402,0.9215,48.47,1.654,51.82
XGBoost,All_Macro_no_UST,120,20,1.4282,101.6454,139.0749,0.7663,47.78,2.7475,50.74
XGBoost,All_Covariates,20,1,0.5069,36.0164,48.0084,0.9718,53.61,0.9735,57.66
XGBoost,All_Covariates,20,5,0.8247,58.6173,77.4859,0.9268,47.9,1.5844,56.2
XGBoost,All_Covariates,20,20,1.4085,100.6949,145.772,0.7432,48.94,2.7218,58.82
XGBoost,All_Covariates,120,1,0.5041,35.827,48.1383,0.9716,51.33,0.9684,56.2
XGBoost,All_Covariates,120,5,0.8295,58.9856,78.4245,0.925,48.47,1.5944,56.93
XGBoost,All_Covariates,120,20,1.4044,100.1662,138.4021,0.7685,46.05,2.7075,51.47
LightGBM,Baseline,20,1,0.5046,35.8743,47.886,0.9719,54.18,0.9697,51.82
LightGBM,Baseline,20,5,0.8531,60.6346,79.6521,0.9226,48.28,1.6389,51.09
LightGBM,Baseline,20,20,1.3996,99.9117,142.3469,0.7551,49.33,2.7006,52.21
LightGBM,Baseline,120,1,0.5099,36.2415,47.9846,0.9718,50.57,0.9796,56.93
LightGBM,Baseline,120,5,0.8514,60.5001,79.6434,0.9227,47.52,1.6353,54.74
LightGBM,Baseline,120,20,1.3849,98.751,138.0916,0.7696,47.21,2.6692,52.94
LightGBM,Screening1,20,1,0.5026,35.7198,47.7284,0.9721,54.75,0.9655,59.85
LightGBM,Screening1,20,5,0.8275,58.7997,77.7614,0.9263,47.52,1.5894,56.93
LightGBM,Screening1,20,20,1.3609,97.295,140.7604,0.7606,49.71,2.6299,57.35
LightGBM,Screening1,120,1,0.5007,35.587,47.9451,0.9719,55.89,0.9619,62.04
LightGBM,Screening1,120,5,0.834,59.2678,78.4946,0.9249,48.09,1.602,55.47
LightGBM,Screening1,120,20,1.3254,94.5244,131.9599,0.7896,48.75,2.555,55.88
LightGBM,Screening2,20,1,0.5035,35.7814,47.7344,0.9721,53.61,0.9672,58.39
LightGBM,Screening2,20,5,0.8185,58.1755,77.4147,0.9269,47.14,1.5725,54.74
LightGBM,Screening2,20,20,1.3839,98.8719,141.4808,0.7581,48.36,2.6725,56.62
LightGBM,Screening2,120,1,0.5074,36.0647,48.3445,0.9714,51.33,0.9748,55.47
LightGBM,Screening2,120,5,0.8261,58.7762,78.0849,0.9257,47.9,1.5887,56.93
LightGBM,Screening2,120,20,1.3554,96.6913,132.3111,0.7884,47.4,2.6136,53.68
LightGBM,All_Commodity_STI,20,1,0.5059,35.9591,47.942,0.9719,53.23,0.972,61.31
LightGBM,All_Commodity_STI,20,5,0.8274,58.8277,78.1938,0.9255,46.76,1.5901,55.47
LightGBM,All_Commodity_STI,20,20,1.3649,97.6015,141.587,0.7577,49.52,2.6382,56.62
LightGBM,All_Commodity_STI,120,1,0.5043,35.8365,48.253,0.9715,52.47,0.9687,55.47
LightGBM,All_Commodity_STI,120,5,0.8269,58.8328,78.399,0.9251,48.28,1.5902,56.93
LightGBM,All_Commodity_STI,120,20,1.3323,95.1389,133.1232,0.7858,48.17,2.5716,55.15
LightGBM,All_Macro_no_UST,20,1,0.5026,35.7211,47.783,0.9721,53.8,0.9655,53.28
LightGBM,All_Macro_no_UST,20,5,0.8458,60.1175,79.3686,0.9232,48.28,1.625,54.01
LightGBM,All_Macro_no_UST,20,20,1.4103,100.6697,143.7357,0.7503,49.13,2.7211,53.68
LightGBM,All_Macro_no_UST,120,1,0.5099,36.2374,48.293,0.9715,47.91,0.9795,46.72
LightGBM,All_Macro_no_UST,120,5,0.8544,60.7499,79.8939,0.9222,48.09,1.6421,54.74
LightGBM,All_Macro_no_UST,120,20,1.4051,100.1719,138.2501,0.769,47.59,2.7076,50.0
LightGBM,All_Covariates,20,1,0.5055,35.9242,47.8886,0.9719,52.85,0.971,59.85
LightGBM,All_Covariates,20,5,0.8256,58.6917,78.0862,0.9257,46.95,1.5864,55.47
LightGBM,All_Covariates,20,20,1.4082,100.6595,146.4928,0.7407,48.17,2.7208,54.41
LightGBM,All_Covariates,120,1,0.5033,35.7727,48.0291,0.9718,53.23,0.9669,59.85
LightGBM,All_Covariates,120,5,0.8302,59.0591,78.5009,0.9249,49.24,1.5964,63.5
LightGBM,All_Covariates,120,20,1.3567,96.7671,135.5216,0.778,47.98,2.6156,53.68
