Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,MASE,hit_large,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
RandomForest,20,1,BI_Rate,0.5071,0.5072,0.02,52.66,51.71,0.95,0.0002,0.9745,44.53,False,False,False,False
RandomForest,20,1,CPI,0.5071,0.5072,0.02,52.85,51.71,1.14,0.0002,0.9744,44.53,False,True,True,False
RandomForest,20,1,M2,0.5071,0.5072,0.02,52.28,51.71,0.57,0.0002,0.9743,45.99,False,False,False,False
RandomForest,20,1,NPL_Ratio,0.5071,0.5072,0.02,52.66,51.71,0.95,0.0002,0.9744,43.8,False,False,False,False
RandomForest,20,1,USDIDR,0.5063,0.5072,0.177,53.23,51.71,1.52,0.0018,0.9727,46.72,False,True,True,False
RandomForest,20,1,GDP,0.507,0.5072,0.039,53.42,51.71,1.71,0.0004,0.9743,45.26,False,True,True,False
RandomForest,20,1,US_Treasury_10Y,0.5134,0.5072,-1.222,48.1,51.71,-3.61,-0.0121,0.9864,39.42,False,False,False,False
RandomForest,20,1,Coal,0.5072,0.5072,0.0,52.47,51.71,0.76,0.0,0.9746,43.8,False,False,False,False
RandomForest,20,1,Copper,0.506,0.5072,0.237,51.33,51.71,-0.38,0.0024,0.9721,51.09,False,False,False,False
RandomForest,20,1,Nickel,0.5101,0.5072,-0.572,48.29,51.71,-3.42,-0.0057,0.9801,44.53,False,False,False,False
RandomForest,20,1,Silver,0.5047,0.5072,0.493,53.61,51.71,1.9,0.005,0.9697,52.55,True,True,True,True
RandomForest,20,1,Tin,0.5074,0.5072,-0.039,50.76,51.71,-0.95,-0.0004,0.9749,43.8,False,False,False,False
RandomForest,20,1,Gold,0.5082,0.5072,-0.197,51.71,51.71,0.0,-0.002,0.9764,44.53,False,False,False,False
RandomForest,20,1,WTI,0.5053,0.5072,0.375,53.61,51.71,1.9,0.0038,0.9709,51.09,True,True,True,True
RandomForest,20,1,STI,0.5079,0.5072,-0.138,52.28,51.71,0.57,-0.0014,0.9761,44.53,False,False,False,False
RandomForest,20,5,BI_Rate,0.8522,0.8522,0.0,47.71,47.52,0.19,0.0,1.6373,51.82,False,False,False,False
RandomForest,20,5,CPI,0.8526,0.8522,-0.047,47.52,47.52,0.0,-0.0005,1.638,51.82,False,False,False,False
RandomForest,20,5,M2,0.8529,0.8522,-0.082,47.33,47.52,-0.19,-0.0008,1.6386,51.82,False,False,False,False
RandomForest,20,5,NPL_Ratio,0.8523,0.8522,-0.012,47.52,47.52,0.0,-0.0001,1.6375,51.82,False,False,False,False
RandomForest,20,5,USDIDR,0.8567,0.8522,-0.528,48.85,47.52,1.33,-0.0053,1.6458,51.82,False,True,True,False
RandomForest,20,5,GDP,0.8521,0.8522,0.012,47.52,47.52,0.0,0.0001,1.6371,51.82,False,False,False,False
RandomForest,20,5,US_Treasury_10Y,0.8803,0.8522,-3.297,47.33,47.52,-0.19,-0.0319,1.6897,51.09,False,False,False,False
RandomForest,20,5,Coal,0.8524,0.8522,-0.023,47.71,47.52,0.19,-0.0002,1.6377,51.82,False,False,False,False
RandomForest,20,5,Copper,0.8519,0.8522,0.035,48.09,47.52,0.57,0.0004,1.6367,52.55,False,False,False,False
RandomForest,20,5,Nickel,0.8523,0.8522,-0.012,47.71,47.52,0.19,-0.0001,1.6374,51.82,False,False,False,False
RandomForest,20,5,Silver,0.851,0.8522,0.141,47.71,47.52,0.19,0.0014,1.6351,52.55,False,False,False,False
RandomForest,20,5,Tin,0.8525,0.8522,-0.035,47.52,47.52,0.0,-0.0004,1.6378,51.82,False,False,False,False
RandomForest,20,5,Gold,0.8507,0.8522,0.176,48.28,47.52,0.76,0.0018,1.6344,52.55,False,False,False,False
RandomForest,20,5,WTI,0.852,0.8522,0.023,47.52,47.52,0.0,0.0002,1.6368,51.82,False,False,False,False
RandomForest,20,5,STI,0.8538,0.8522,-0.188,47.9,47.52,0.38,-0.0019,1.6404,51.82,False,False,False,False
RandomForest,20,20,BI_Rate,1.3917,1.392,0.022,49.9,49.9,0.0,0.0002,2.6865,54.41,False,False,False,False
RandomForest,20,20,CPI,1.3911,1.392,0.065,49.9,49.9,0.0,0.0006,2.6852,54.41,False,False,False,False
RandomForest,20,20,M2,1.3904,1.392,0.115,49.9,49.9,0.0,0.0012,2.6837,54.41,False,False,False,False
RandomForest,20,20,NPL_Ratio,1.393,1.392,-0.072,49.9,49.9,0.0,-0.0007,2.6891,54.41,False,False,False,False
RandomForest,20,20,USDIDR,1.3943,1.392,-0.165,50.1,49.9,0.2,-0.0016,2.6911,54.41,False,False,False,False
RandomForest,20,20,GDP,1.3924,1.392,-0.029,49.9,49.9,0.0,-0.0003,2.6878,54.41,False,False,False,False
RandomForest,20,20,US_Treasury_10Y,1.5136,1.392,-8.736,49.13,49.9,-0.77,-0.0803,2.9167,52.21,False,False,False,False
RandomForest,20,20,Coal,1.3922,1.392,-0.014,49.9,49.9,0.0,-0.0001,2.6877,54.41,False,False,False,False
RandomForest,20,20,Copper,1.3907,1.392,0.093,49.9,49.9,0.0,0.0009,2.6844,54.41,False,False,False,False
RandomForest,20,20,Nickel,1.3923,1.392,-0.022,49.9,49.9,0.0,-0.0002,2.6877,54.41,False,False,False,False
RandomForest,20,20,Silver,1.3935,1.392,-0.108,49.71,49.9,-0.19,-0.0011,2.6897,54.41,False,False,False,False
RandomForest,20,20,Tin,1.3923,1.392,-0.022,49.71,49.9,-0.19,-0.0002,2.688,54.41,False,False,False,False
RandomForest,20,20,Gold,1.4031,1.392,-0.797,50.1,49.9,0.2,-0.0079,2.7078,54.41,False,False,False,False
RandomForest,20,20,WTI,1.3899,1.392,0.151,49.52,49.9,-0.38,0.0015,2.6828,54.41,False,False,False,False
RandomForest,20,20,STI,1.4057,1.392,-0.984,49.9,49.9,0.0,-0.0097,2.715,54.41,False,False,False,False
RandomForest,120,1,BI_Rate,0.5067,0.5069,0.039,53.23,52.28,0.95,0.0004,0.9737,43.8,False,False,False,False
RandomForest,120,1,CPI,0.507,0.5069,-0.02,52.28,52.28,0.0,-0.0002,0.9744,45.26,False,False,False,False
RandomForest,120,1,M2,0.5069,0.5069,0.0,52.28,52.28,0.0,0.0,0.9741,43.8,False,False,False,False
RandomForest,120,1,NPL_Ratio,0.5073,0.5069,-0.079,50.38,52.28,-1.9,-0.0008,0.9747,44.53,False,False,False,False
RandomForest,120,1,USDIDR,0.5061,0.5069,0.158,53.23,52.28,0.95,0.0016,0.9724,43.8,False,False,False,False
RandomForest,120,1,GDP,0.5081,0.5069,-0.237,52.47,52.28,0.19,-0.0024,0.9763,44.53,False,False,False,False
RandomForest,120,1,US_Treasury_10Y,0.5124,0.5069,-1.085,47.91,52.28,-4.37,-0.0107,0.9846,39.42,False,False,False,False
RandomForest,120,1,Coal,0.5072,0.5069,-0.059,51.14,52.28,-1.14,-0.0006,0.9746,43.07,False,False,False,False
RandomForest,120,1,Copper,0.5058,0.5069,0.217,51.71,52.28,-0.57,0.0022,0.9718,52.55,False,False,False,False
RandomForest,120,1,Nickel,0.5098,0.5069,-0.572,49.05,52.28,-3.23,-0.0057,0.9794,48.91,False,False,False,False
RandomForest,120,1,Silver,0.5055,0.5069,0.276,54.18,52.28,1.9,0.0028,0.9713,53.28,False,True,True,False
RandomForest,120,1,Tin,0.507,0.5069,-0.02,50.57,52.28,-1.71,-0.0002,0.9743,42.34,False,False,False,False
RandomForest,120,1,Gold,0.5079,0.5069,-0.197,51.9,52.28,-0.38,-0.002,0.9758,43.07,False,False,False,False
RandomForest,120,1,WTI,0.5051,0.5069,0.355,53.23,52.28,0.95,0.0036,0.9705,53.28,True,False,True,False
RandomForest,120,1,STI,0.5077,0.5069,-0.158,52.66,52.28,0.38,-0.0016,0.9756,45.26,False,False,False,False
RandomForest,120,5,BI_Rate,0.8523,0.8526,0.035,47.9,47.9,0.0,0.0004,1.6374,51.82,False,False,False,False
RandomForest,120,5,CPI,0.8525,0.8526,0.012,47.9,47.9,0.0,0.0001,1.6378,51.82,False,False,False,False
RandomForest,120,5,M2,0.8532,0.8526,-0.07,47.52,47.9,-0.38,-0.0007,1.6391,51.82,False,False,False,False
RandomForest,120,5,NPL_Ratio,0.8535,0.8526,-0.106,47.33,47.9,-0.57,-0.0011,1.6399,51.82,False,False,False,False
RandomForest,120,5,USDIDR,0.8563,0.8526,-0.434,48.85,47.9,0.95,-0.0043,1.6451,51.82,False,False,False,False
RandomForest,120,5,GDP,0.8524,0.8526,0.023,48.09,47.9,0.19,0.0002,1.6376,51.82,False,False,False,False
RandomForest,120,5,US_Treasury_10Y,0.8769,0.8526,-2.85,47.71,47.9,-0.19,-0.0277,1.6835,51.09,False,False,False,False
RandomForest,120,5,Coal,0.8523,0.8526,0.035,47.9,47.9,0.0,0.0004,1.6374,51.82,False,False,False,False
RandomForest,120,5,Copper,0.8525,0.8526,0.012,47.9,47.9,0.0,0.0001,1.6378,51.82,False,False,False,False
RandomForest,120,5,Nickel,0.8524,0.8526,0.023,47.9,47.9,0.0,0.0002,1.6375,51.82,False,False,False,False
RandomForest,120,5,Silver,0.8525,0.8526,0.012,47.52,47.9,-0.38,0.0001,1.6377,51.82,False,False,False,False
RandomForest,120,5,Tin,0.8528,0.8526,-0.023,47.9,47.9,0.0,-0.0002,1.6384,51.82,False,False,False,False
