Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
RandomForest,Baseline,20,1,0.506,35.971,47.9861,0.9718,52.28,0.9723,44.53
RandomForest,Baseline,20,5,0.8523,60.5832,79.7111,0.9225,47.71,1.6376,51.82
RandomForest,Baseline,20,20,1.3849,98.8792,141.7634,0.7571,49.52,2.6727,54.41
RandomForest,Baseline,120,1,0.5057,35.9507,47.9733,0.9718,52.09,0.9717,43.8
RandomForest,Baseline,120,5,0.8526,60.5988,79.7697,0.9224,47.9,1.638,51.82
RandomForest,Baseline,120,20,1.3841,98.8033,141.6452,0.7575,49.71,2.6706,53.68
RandomForest,Screening1,20,1,0.5046,35.8745,47.8331,0.972,55.13,0.9697,52.55
RandomForest,Screening1,20,5,0.852,60.5726,79.6973,0.9226,47.9,1.6373,51.82
RandomForest,Screening1,20,20,1.413,100.8186,143.7976,0.7501,49.13,2.7251,53.68
RandomForest,Screening1,120,1,0.5071,36.0487,48.0609,0.9717,52.28,0.9744,48.91
RandomForest,Screening1,120,5,0.8543,60.7278,80.0215,0.9219,47.33,1.6415,51.82
RandomForest,Screening1,120,20,1.3888,99.1389,141.6303,0.7576,49.13,2.6797,52.94
RandomForest,Screening2,20,1,0.5046,35.8743,47.837,0.972,56.65,0.9697,54.74
RandomForest,Screening2,20,5,0.8517,60.5456,79.8535,0.9223,48.09,1.6365,51.82
RandomForest,Screening2,20,20,1.3982,99.8379,143.4401,0.7514,49.71,2.6986,54.41
RandomForest,Screening2,120,1,0.5068,36.0296,47.96,0.9718,52.85,0.9739,52.55
RandomForest,Screening2,120,5,0.8522,60.5766,79.8464,0.9223,48.85,1.6374,51.82
RandomForest,Screening2,120,20,1.3842,98.7788,141.0403,0.7596,49.33,2.67,52.94
RandomForest,All_Commodity_STI,20,1,0.5053,35.9179,47.8983,0.9719,53.99,0.9709,54.01
RandomForest,All_Commodity_STI,20,5,0.8504,60.4507,79.6068,0.9227,48.09,1.634,51.82
RandomForest,All_Commodity_STI,20,20,1.4055,100.3313,143.7373,0.7503,49.33,2.7119,53.68
RandomForest,All_Commodity_STI,120,1,0.5047,35.8765,47.8323,0.972,53.8,0.9697,51.82
RandomForest,All_Commodity_STI,120,5,0.8497,60.4024,79.5733,0.9228,48.85,1.6327,53.28
RandomForest,All_Commodity_STI,120,20,1.3934,99.4115,141.5866,0.7577,49.52,2.6871,52.94
RandomForest,All_Macro_no_UST,20,1,0.5048,35.8816,47.9263,0.9719,53.99,0.9699,49.64
RandomForest,All_Macro_no_UST,20,5,0.8537,60.6797,79.8557,0.9222,48.09,1.6402,51.82
RandomForest,All_Macro_no_UST,20,20,1.3852,98.8897,141.5853,0.7577,49.52,2.673,54.41
RandomForest,All_Macro_no_UST,120,1,0.5065,36.0106,47.9838,0.9718,53.61,0.9734,47.45
RandomForest,All_Macro_no_UST,120,5,0.853,60.6258,79.7937,0.9224,48.28,1.6387,52.55
