Model,Covariates,Window,mape,mae,rmse,r2,da
RandomForest,Sig_Macro,30,0.5048,35.8797,47.9133,0.9719,52.28
RandomForest,Sig_Macro,120,0.5063,35.9952,47.945,0.9719,49.43
RandomForest,Sig_Commodity,30,0.5044,35.8555,47.8617,0.972,54.18
RandomForest,Sig_Commodity,120,0.505,35.8978,47.8701,0.972,53.61
RandomForest,Sig_Regional,30,0.5059,35.9642,48.0078,0.9718,52.85
RandomForest,Sig_Regional,120,0.5056,35.9457,47.9314,0.9719,52.66
RandomForest,Sig_All,30,0.5046,35.8661,47.8647,0.972,54.75
RandomForest,Sig_All,120,0.5057,35.952,47.9249,0.9719,52.66
ExtraTrees,Sig_Macro,30,0.5054,35.928,47.9086,0.9719,51.9
ExtraTrees,Sig_Macro,120,0.5061,35.9783,47.9365,0.9719,50.38
ExtraTrees,Sig_Commodity,30,0.5044,35.8581,47.8198,0.972,54.18
ExtraTrees,Sig_Commodity,120,0.5048,35.8855,47.8805,0.9719,52.85
ExtraTrees,Sig_Regional,30,0.5053,35.9227,47.9468,0.9719,53.04
ExtraTrees,Sig_Regional,120,0.5056,35.9396,47.9292,0.9719,53.61
ExtraTrees,Sig_All,30,0.5046,35.8723,47.8441,0.972,53.99
ExtraTrees,Sig_All,120,0.505,35.8982,47.8764,0.9719,54.56
XGBoost,Sig_Macro,30,0.5054,35.9341,47.9204,0.9719,53.42
XGBoost,Sig_Macro,120,0.5052,35.9122,47.9299,0.9719,53.42
XGBoost,Sig_Commodity,30,0.5046,35.8706,47.8785,0.9719,53.61
XGBoost,Sig_Commodity,120,0.5048,35.8826,47.8973,0.9719,52.28
XGBoost,Sig_Regional,30,0.5055,35.9367,47.9263,0.9719,53.42
XGBoost,Sig_Regional,120,0.5055,35.9366,47.9334,0.9719,53.42
XGBoost,Sig_All,30,0.5047,35.8762,47.8732,0.972,54.37
XGBoost,Sig_All,120,0.5047,35.8798,47.9177,0.9719,53.04
