feature,importance,covariate_set,scenario
STI_lag_112,0.02172944187904239,Macro_Regional,W120_H1
STI_lag_100,0.013993869316383273,Macro_Regional,W120_H1
IHSG_lag_118,0.011788438510219634,Macro_Regional,W120_H1
IHSG_lag_119,0.010375726160150412,Macro_Regional,W120_H1
STI_lag_74,0.0090805928454012,Macro_Regional,W120_H1
STI_lag_120,0.009049988730226558,Macro_Regional,W120_H1
STI_lag_106,0.008677372534898514,Macro_Regional,W120_H1
IHSG_lag_116,0.008409114216789502,Macro_Regional,W120_H1
STI_lag_96,0.008132717984087854,Macro_Regional,W120_H1
STI_lag_81,0.008051681351647303,Macro_Regional,W120_H1
IHSG_lag_120,0.00778866544161883,Macro_Regional,W120_H1
STI_lag_84,0.007712780325348301,Macro_Regional,W120_H1
IHSG_lag_114,0.007548101579419377,Macro_Regional,W120_H1
IHSG_lag_115,0.007526878527509992,Macro_Regional,W120_H1
STI_lag_90,0.007445585805628603,Macro_Regional,W120_H1
STI_lag_116,0.007111363332955559,Macro_Regional,W120_H1
IHSG_lag_113,0.006975828949229161,Macro_Regional,W120_H1
IHSG_lag_117,0.006627805732244018,Macro_Regional,W120_H1
STI_lag_108,0.006093759610477191,Macro_Regional,W120_H1
STI_lag_104,0.006085747415587263,Macro_Regional,W120_H1
STI_lag_58,0.005806989873380135,Macro_Regional,W120_H1
STI_lag_114,0.00570063795152174,Macro_Regional,W120_H1
STI_lag_60,0.005673790931495473,Macro_Regional,W120_H1
STI_lag_64,0.005651642696513706,Macro_Regional,W120_H1
USDIDR_lag_3,0.005610839052311488,Macro_Regional,W120_H1
STI_lag_57,0.005489880228695837,Macro_Regional,W120_H1
STI_lag_88,0.005333803721871295,Macro_Regional,W120_H1
STI_lag_50,0.005277597624653229,Macro_Regional,W120_H1
USDIDR_lag_59,0.005267724054399517,Macro_Regional,W120_H1
STI_lag_72,0.0050932281322626565,Macro_Regional,W120_H1
USDIDR_lag_43,0.005045609471926247,Macro_Regional,W120_H1
STI_lag_92,0.0050141776689486784,Macro_Regional,W120_H1
STI_lag_80,0.004948020266434188,Macro_Regional,W120_H1
STI_lag_82,0.004883139150435886,Macro_Regional,W120_H1
IHSG_lag_111,0.004682362152250191,Macro_Regional,W120_H1
STI_lag_68,0.004643336192149901,Macro_Regional,W120_H1
