variable,ADF Statistic,p-value,Lags Used,Observations Used,Stationary
IHSG,-1.5296150039657899,0.5188136867450106,3,2439,No
BI_Rate,-1.8905198718899812,0.33653392050876896,22,2420,No
CPI,-0.7383987117995261,0.8365511741024336,21,2421,No
M2,0.6270729311632908,0.9882642648431689,21,2421,No
NPL_Ratio,-1.0838271937935784,0.7214781542033626,19,2423,No
GDP,0.150359326268327,0.9693358633193319,0,2442,No
USDIDR,-1.9611878847583655,0.3038457265248305,4,2438,No
WTI,-1.952631401004575,0.3077206927722531,12,2430,No
US_Treasury_10Y,-0.522332968862467,0.8875841951499863,1,2441,No
Coal,-1.6418147936307768,0.46131266839743035,18,2424,No
Copper,-1.195977891027812,0.6753235239906196,1,2441,No
Nickel,-1.8228772184029223,0.36916438713207733,25,2417,No
Silver,-1.1259708202284382,0.7046047186465478,10,2432,No
Tin,-1.404390419574612,0.580169495625948,1,2441,No
Gold,1.0763143446582375,0.9950093184550396,0,2442,No
STI,-2.1001216493313537,0.24446568850741968,4,2438,No
