variable,ADF Statistic,p-value,Lags Used,Observations Used,Stationary
IHSG (log-diff),-27.41963673512842,0.0,2,2404,Yes
BI_Rate (diff),-6.740421537220476,3.129071880637256e-09,21,2385,Yes
CPI (diff),-8.62452243682198,5.980111957306787e-14,20,2386,Yes
M2 (log-diff),-49.55396585921774,0.0,0,2406,Yes
NPL_Ratio (diff),-49.03188988112865,0.0,0,2406,Yes
GDP (log-diff),-49.30427733174945,0.0,0,2406,Yes
USDIDR (log-diff),-20.988545477085022,0.0,3,2403,Yes
WTI (log-diff),-9.684031617196265,1.1836602558575404e-16,21,2385,Yes
US_Treasury_10Y (diff),-51.299003164610006,0.0,0,2406,Yes
Coal (log-diff),-11.097938574104452,3.930740479524499e-20,17,2389,Yes
Copper (log-diff),-51.57396213332424,0.0,0,2406,Yes
Nickel (log-diff),-14.747445871200185,2.5152670070011384e-27,13,2393,Yes
Silver (log-diff),-32.41470362153331,0.0,1,2405,Yes
Tin (log-diff),-47.00737762651453,0.0,0,2406,Yes
Gold (log-diff),-48.20391986807581,0.0,0,2406,Yes
STI (log-diff),-14.032645112843886,3.412929116244724e-26,11,2395,Yes
