Model,Covariates,Window,Horizon,Fold,mape,mae,rmse,r2,da,mase,hit_large,train_end_date,test_start_date,test_end_date,regime_flags
RandomForest,Baseline,20,1,0,0.8162,44.2712,64.6277,0.9914,51.29,1.3539,42.47,2019-02-13,2019-02-15,2020-08-12,covid_crash
RandomForest,Baseline,20,1,1,0.7949,43.4897,58.8217,0.99,51.8,1.2523,48.94,2020-03-26,2020-03-30,2021-09-23,covid_crash
RandomForest,Baseline,20,1,2,0.5699,37.857,48.64,0.9868,53.09,1.0286,54.72,2021-05-07,2021-05-11,2022-11-04,rate_hike_cycle_2022
RandomForest,Baseline,20,1,3,0.4743,32.6497,43.0519,0.9242,53.87,0.8813,47.52,2022-06-20,2022-06-22,2023-12-18,rate_hike_cycle_2022
RandomForest,Baseline,20,1,4,0.5469,39.3251,52.0166,0.9576,52.58,1.0768,48.65,2023-08-01,2023-08-03,2025-01-28,
RandomForest,Baseline,20,5,0,1.4386,77.2049,125.7218,0.9674,49.48,2.3611,47.22,2019-02-13,2019-02-21,2020-08-18,covid_crash
RandomForest,Baseline,20,5,1,1.2232,67.5391,97.7606,0.9717,50.78,1.9518,59.78,2020-03-25,2020-04-02,2021-09-28,covid_crash
RandomForest,Baseline,20,5,2,0.8991,59.8866,80.7433,0.9633,54.95,1.6265,59.43,2021-05-05,2021-05-13,2022-11-08,rate_hike_cycle_2022
RandomForest,Baseline,20,5,3,0.7892,54.1877,74.6342,0.769,52.86,1.4645,52.53,2022-06-15,2022-06-23,2023-12-19,rate_hike_cycle_2022
RandomForest,Baseline,20,5,4,0.9135,65.6985,86.0558,0.885,48.18,1.7986,51.82,2023-07-26,2023-08-03,2025-01-28,
RandomForest,Baseline,20,20,0,2.5509,133.8494,228.0186,0.8917,50.66,4.0934,52.11,2019-02-13,2019-03-14,2020-09-08,covid_crash
RandomForest,Baseline,20,20,1,2.6155,145.9101,193.6746,0.882,46.97,4.2494,48.94,2020-03-20,2020-04-20,2021-10-14,covid_crash
RandomForest,Baseline,20,20,2,1.9677,132.4195,177.6449,0.8079,49.08,3.5913,50.0,2021-04-27,2021-05-26,2022-11-21,rate_hike_cycle_2022
RandomForest,Baseline,20,20,3,1.4207,97.6199,129.4585,0.3153,50.4,2.645,48.45,2022-06-02,2022-07-01,2023-12-27,rate_hike_cycle_2022
RandomForest,Baseline,20,20,4,1.5077,109.1013,161.9779,0.5926,50.4,2.9815,49.54,2023-07-10,2023-08-08,2025-01-31,
RandomForest,Baseline,120,1,0,0.825,44.732,64.3714,0.9914,47.68,1.368,43.84,2019-02-13,2019-02-15,2020-08-12,covid_crash
RandomForest,Baseline,120,1,1,0.8005,43.7573,59.0719,0.9899,46.13,1.26,43.62,2020-03-26,2020-03-30,2021-09-23,covid_crash
RandomForest,Baseline,120,1,2,0.57,37.8586,48.6943,0.9868,52.32,1.0286,52.83,2021-05-07,2021-05-11,2022-11-04,rate_hike_cycle_2022
RandomForest,Baseline,120,1,3,0.4744,32.6599,43.076,0.9241,54.12,0.8816,46.53,2022-06-20,2022-06-22,2023-12-18,rate_hike_cycle_2022
RandomForest,Baseline,120,1,4,0.5468,39.3187,52.0191,0.9576,52.58,1.0766,47.75,2023-08-01,2023-08-03,2025-01-28,
RandomForest,Baseline,120,5,0,1.4351,77.1579,124.6199,0.968,48.7,2.3596,51.39,2019-02-13,2019-02-21,2020-08-18,covid_crash
RandomForest,Baseline,120,5,1,1.1988,66.2286,95.1281,0.9732,52.34,1.9139,61.96,2020-03-25,2020-04-02,2021-09-28,covid_crash
RandomForest,Baseline,120,5,2,0.8953,59.6359,80.5194,0.9635,55.21,1.6196,60.38,2021-05-05,2021-05-13,2022-11-08,rate_hike_cycle_2022
RandomForest,Baseline,120,5,3,0.789,54.1643,74.7187,0.7685,52.6,1.4638,52.53,2022-06-15,2022-06-23,2023-12-19,rate_hike_cycle_2022
RandomForest,Baseline,120,5,4,0.9125,65.6188,86.0047,0.8851,48.7,1.7964,51.82,2023-07-26,2023-08-03,2025-01-28,
RandomForest,Baseline,120,20,0,2.6485,139.128,233.9102,0.886,51.72,4.2548,52.11,2019-02-13,2019-03-14,2020-09-08,covid_crash
RandomForest,Baseline,120,20,1,2.6449,147.2805,192.3986,0.8835,45.38,4.2893,44.68,2020-03-20,2020-04-20,2021-10-14,covid_crash
RandomForest,Baseline,120,20,2,1.9415,130.5515,176.9121,0.8095,49.34,3.5406,48.08,2021-04-27,2021-05-26,2022-11-21,rate_hike_cycle_2022
RandomForest,Baseline,120,20,3,1.4222,97.6546,130.32,0.3061,51.45,2.6459,49.48,2022-06-02,2022-07-01,2023-12-27,rate_hike_cycle_2022
RandomForest,Baseline,120,20,4,1.513,109.3859,161.7265,0.5939,49.87,2.9893,50.46,2023-07-10,2023-08-08,2025-01-31,
RandomForest,BI_Rate,20,1,0,0.8181,44.3636,64.3812,0.9914,48.71,1.3567,46.58,2019-02-13,2019-02-15,2020-08-12,covid_crash
RandomForest,BI_Rate,20,1,1,0.7919,43.3394,58.8189,0.99,49.48,1.2479,50.0,2020-03-26,2020-03-30,2021-09-23,covid_crash
RandomForest,BI_Rate,20,1,2,0.5719,37.9921,48.7947,0.9867,48.71,1.0323,47.17,2021-05-07,2021-05-11,2022-11-04,rate_hike_cycle_2022
RandomForest,BI_Rate,20,1,3,0.4757,32.7554,43.1522,0.9238,51.29,0.8842,42.57,2022-06-20,2022-06-22,2023-12-18,rate_hike_cycle_2022
RandomForest,BI_Rate,20,1,4,0.5464,39.2946,51.9935,0.9576,53.09,1.076,49.55,2023-08-01,2023-08-03,2025-01-28,
RandomForest,BI_Rate,20,5,0,1.4376,77.1723,125.2049,0.9677,49.22,2.3601,47.22,2019-02-13,2019-02-21,2020-08-18,covid_crash
RandomForest,BI_Rate,20,5,1,1.2154,67.1725,96.5629,0.9724,51.56,1.9412,61.96,2020-03-25,2020-04-02,2021-09-28,covid_crash
RandomForest,BI_Rate,20,5,2,0.8992,59.8908,80.7618,0.9633,54.69,1.6266,57.55,2021-05-05,2021-05-13,2022-11-08,rate_hike_cycle_2022
RandomForest,BI_Rate,20,5,3,0.7896,54.2148,74.6498,0.7689,52.86,1.4652,51.52,2022-06-15,2022-06-23,2023-12-19,rate_hike_cycle_2022
RandomForest,BI_Rate,20,5,4,0.9136,65.7052,86.0812,0.8849,48.7,1.7988,51.82,2023-07-26,2023-08-03,2025-01-28,
RandomForest,BI_Rate,20,20,0,2.5504,133.7486,228.7193,0.891,50.66,4.0903,52.11,2019-02-13,2019-03-14,2020-09-08,covid_crash
RandomForest,BI_Rate,20,20,1,2.6481,147.753,194.0219,0.8815,46.7,4.3031,47.87,2020-03-20,2020-04-20,2021-10-14,covid_crash
RandomForest,BI_Rate,20,20,2,1.9674,132.3979,177.6059,0.808,49.08,3.5907,50.0,2021-04-27,2021-05-26,2022-11-21,rate_hike_cycle_2022
