Model,Covariates,Window,Horizon,mape_mean,mape_std,da_mean,mase_mean,n_folds
ExtraTrees,All_Commodity_STI,20,1,0.63742,0.15184365972934138,51.855999999999995,1.11412,5
ExtraTrees,All_Commodity_STI,20,5,1.04786,0.25941693853717424,50.989999999999995,1.8328600000000002,5
ExtraTrees,All_Commodity_STI,20,20,2.01106,0.5534795822792382,49.71,3.51068,5
ExtraTrees,All_Commodity_STI,120,1,0.63662,0.15169255749706378,51.444,1.11278,5
ExtraTrees,All_Commodity_STI,120,5,1.0433400000000002,0.2578720865080205,50.366,1.82666,5
ExtraTrees,All_Commodity_STI,120,20,2.0251799999999998,0.5731654098076752,49.552,3.53196,5
ExtraTrees,All_Covariates,20,1,0.63624,0.15080241377378548,52.525999999999996,1.11224,5
ExtraTrees,All_Covariates,20,5,1.0446199999999999,0.25331831161603774,50.312,1.8279800000000002,5
ExtraTrees,All_Covariates,20,20,2.00734,0.5561651490339896,49.498000000000005,3.5037800000000003,5
ExtraTrees,All_Covariates,120,1,0.63624,0.14996710639336874,52.318000000000005,1.11238,5
ExtraTrees,All_Covariates,120,5,1.0425200000000001,0.2541526844241469,50.21,1.8259999999999998,5
ExtraTrees,All_Covariates,120,20,2.02166,0.5727461418464554,49.71,3.5251000000000006,5
ExtraTrees,All_Macro_no_UST,20,1,0.6373599999999999,0.15015756058220972,51.54600000000001,1.11402,5
ExtraTrees,All_Macro_no_UST,20,5,1.04092,0.25317584205448995,50.418,1.82242,5
ExtraTrees,All_Macro_no_UST,20,20,2.0135,0.5608385552010491,49.552,3.5135199999999998,5
ExtraTrees,All_Macro_no_UST,120,1,0.63676,0.15027023324664143,52.267999999999994,1.1131,5
ExtraTrees,All_Macro_no_UST,120,5,1.03732,0.2532130170429633,50.782,1.81782,5
ExtraTrees,All_Macro_no_UST,120,20,2.01602,0.5699719089569237,49.55,3.5164400000000002,5
ExtraTrees,BI_Rate,20,1,0.63796,0.15092731031857687,51.54600000000001,1.1149799999999999,5
ExtraTrees,BI_Rate,20,5,1.03958,0.2527561215875889,51.146,1.8214,5
ExtraTrees,BI_Rate,20,20,2.01494,0.5635547382464281,49.604,3.5157200000000004,5
