Feature,Mean_Abs_SHAP,Category
IHSG_target_lag-1,0.7200577120411239,IHSG_Lags
IHSG_target_lag-2,0.043894747129310935,IHSG_Lags
USDIDR_pastcov_lag-1,0.023234058319338616,USD/IDR
NPL_Ratio_pastcov_lag-3,0.014379632273595552,NPL_Ratio
IHSG_target_lag-3,0.00992397003557498,IHSG_Lags
NPL_Ratio_pastcov_lag-2,0.007143733984394536,NPL_Ratio
M2_YoY_pastcov_lag-3,0.0064745176104586905,M2_YoY
BI_Rate_pastcov_lag-3,0.0045446065213458516,BI_Rate
USDIDR_pastcov_lag-3,0.0029239777573834493,USD/IDR
Inflation_YoY_pastcov_lag-3,0.002909057031999707,Inflation_YoY
M2_YoY_pastcov_lag-2,0.0022017130290457837,M2_YoY
BI_Rate_pastcov_lag-1,0.0019045488606619326,BI_Rate
Inflation_YoY_pastcov_lag-2,0.0017456854924060704,Inflation_YoY
USDIDR_pastcov_lag-2,0.001314841382579703,USD/IDR
Inflation_YoY_pastcov_lag-1,0.0012622971287854401,Inflation_YoY
M2_YoY_pastcov_lag-1,0.0010107413487622351,M2_YoY
BI_Rate_pastcov_lag-2,0.0008169821478014892,BI_Rate
NPL_Ratio_pastcov_lag-1,0.0007278033158053885,NPL_Ratio
