Date,idx
2015-01-02,0
2015-01-05,1
2015-01-06,2
2015-01-07,3
2015-01-08,4
2015-01-09,5
2015-01-12,6
2015-01-13,7
2015-01-14,8
2015-01-15,9
2015-01-16,10
2015-01-19,11
2015-01-20,12
2015-01-21,13
2015-01-22,14
2015-01-23,15
2015-01-26,16
2015-01-27,17
2015-01-28,18
2015-01-29,19
2015-01-30,20
2015-02-02,21
2015-02-03,22
2015-02-04,23
2015-02-05,24
2015-02-06,25
2015-02-09,26
2015-02-10,27
2015-02-11,28
2015-02-12,29
2015-02-13,30
2015-02-16,31
2015-02-17,32
2015-02-18,33
2015-02-23,34
2015-02-24,35
2015-02-25,36
2015-02-26,37
2015-02-27,38
2015-03-02,39
2015-03-03,40
2015-03-04,41
2015-03-05,42
2015-03-06,43
2015-03-09,44
2015-03-10,45
2015-03-11,46
2015-03-12,47
2015-03-13,48
2015-03-16,49
2015-03-17,50
2015-03-18,51
2015-03-19,52
2015-03-20,53
2015-03-23,54
2015-03-24,55
2015-03-25,56
2015-03-26,57
2015-03-27,58
2015-03-30,59
2015-03-31,60
2015-04-01,61
2015-04-02,62
2015-04-07,63
2015-04-08,64
2015-04-09,65
2015-04-10,66
2015-04-13,67
2015-04-14,68
2015-04-15,69
2015-04-16,70
2015-04-17,71
2015-04-20,72
2015-04-21,73
2015-04-22,74
2015-04-23,75
2015-04-24,76
2015-04-27,77
2015-04-28,78
2015-04-29,79
2015-04-30,80
2015-05-05,81
2015-05-06,82
2015-05-07,83
2015-05-08,84
2015-05-11,85
2015-05-12,86
2015-05-13,87
2015-05-15,88
2015-05-18,89
2015-05-19,90
2015-05-20,91
2015-05-21,92
2015-05-22,93
2015-05-26,94
2015-05-27,95
2015-05-28,96
2015-05-29,97
2015-06-03,98
2015-06-04,99
2015-06-05,100
2015-06-08,101
2015-06-09,102
2015-06-10,103
2015-06-11,104
2015-06-12,105
2015-06-15,106
2015-06-16,107
2015-06-17,108
2015-06-18,109
2015-06-19,110
2015-06-22,111
2015-06-23,112
2015-06-24,113
2015-06-25,114
2015-06-26,115
2015-06-29,116
2015-06-30,117
2015-07-01,118
2015-07-02,119
2015-07-03,120
2015-07-06,121
2015-07-07,122
2015-07-08,123
2015-07-09,124
2015-07-10,125
2015-07-13,126
2015-07-14,127
2015-07-15,128
2015-07-22,129
2015-07-23,130
2015-07-24,131
2015-07-27,132
2015-07-28,133
2015-07-29,134
2015-07-30,135
2015-07-31,136
2015-08-03,137
2015-08-04,138
2015-08-05,139
2015-08-06,140
2015-08-11,141
2015-08-12,142
2015-08-13,143
2015-08-14,144
2015-08-18,145
2015-08-19,146
2015-08-20,147
2015-08-21,148
2015-08-24,149
2015-08-25,150
2015-08-26,151
2015-08-27,152
2015-08-28,153
2015-09-01,154
2015-09-02,155
2015-09-03,156
2015-09-04,157
2015-09-07,158
2015-09-08,159
2015-09-09,160
2015-09-10,161
2015-09-14,162
2015-09-15,163
2015-09-16,164
2015-09-17,165
2015-09-18,166
2015-09-21,167
2015-09-22,168
2015-09-23,169
2015-09-25,170
2015-09-28,171
2015-09-29,172
2015-09-30,173
2015-10-01,174
2015-10-02,175
2015-10-05,176
2015-10-06,177
2015-10-07,178
2015-10-08,179
2015-10-09,180
2015-10-12,181
2015-10-13,182
2015-10-15,183
2015-10-16,184
2015-10-19,185
2015-10-20,186
2015-10-21,187
2015-10-22,188
2015-10-23,189
2015-10-26,190
2015-10-27,191
2015-10-28,192
2015-10-29,193
2015-10-30,194
2015-11-02,195
2015-11-03,196
2015-11-04,197
2015-11-05,198
2015-11-06,199
2015-11-09,200
2015-11-11,201
2015-11-12,202
2015-11-13,203
2015-11-16,204
2015-11-17,205
2015-11-18,206
2015-11-19,207
2015-11-20,208
2015-11-23,209
2015-11-24,210
2015-11-25,211
2015-11-26,212
2015-11-27,213
2015-11-30,214
2015-12-01,215
2015-12-02,216
2015-12-03,217
2015-12-04,218
2015-12-07,219
2015-12-08,220
2015-12-10,221
2015-12-11,222
2015-12-14,223
2015-12-15,224
2015-12-16,225
2015-12-17,226
2015-12-18,227
2015-12-21,228
2015-12-22,229
2015-12-23,230
2015-12-29,231
2015-12-30,232
2016-01-04,233
2016-01-05,234
2016-01-06,235
2016-01-07,236
2016-01-08,237
2016-01-11,238
2016-01-12,239
2016-01-13,240
2016-01-14,241
2016-01-15,242
2016-01-18,243
2016-01-19,244
2016-01-20,245
2016-01-21,246
2016-01-22,247
2016-01-25,248
2016-01-26,249
2016-01-27,250
2016-01-28,251
2016-01-29,252
2016-02-01,253
2016-02-02,254
2016-02-03,255
2016-02-04,256
2016-02-05,257
2016-02-10,258
2016-02-11,259
2016-02-12,260
2016-02-15,261
2016-02-16,262
2016-02-17,263
2016-02-18,264
2016-02-19,265
2016-02-22,266
2016-02-23,267
2016-02-24,268
2016-02-25,269
2016-02-26,270
2016-02-29,271
2016-03-01,272
2016-03-02,273
2016-03-03,274
2016-03-04,275
2016-03-07,276
2016-03-08,277
2016-03-10,278
2016-03-11,279
2016-03-14,280
2016-03-15,281
2016-03-16,282
2016-03-17,283
2016-03-18,284
2016-03-21,285
2016-03-22,286
2016-03-23,287
2016-03-24,288
2016-03-29,289
2016-03-30,290
2016-03-31,291
2016-04-01,292
2016-04-04,293
2016-04-05,294
2016-04-06,295
2016-04-07,296
2016-04-08,297
2016-04-11,298
2016-04-12,299
2016-04-13,300
2016-04-14,301
2016-04-15,302
2016-04-18,303
2016-04-19,304
2016-04-20,305
2016-04-21,306
2016-04-22,307
2016-04-25,308
2016-04-26,309
2016-04-27,310
2016-04-28,311
2016-04-29,312
2016-05-03,313
2016-05-04,314
2016-05-09,315
2016-05-10,316
2016-05-11,317
2016-05-12,318
2016-05-13,319
2016-05-16,320
2016-05-17,321
2016-05-18,322
2016-05-19,323
2016-05-20,324
2016-05-23,325
2016-05-24,326
2016-05-25,327
2016-05-26,328
2016-05-27,329
2016-05-31,330
2016-06-01,331
2016-06-02,332
2016-06-03,333
2016-06-06,334
2016-06-07,335
2016-06-08,336
2016-06-09,337
2016-06-10,338
2016-06-13,339
2016-06-14,340
2016-06-15,341
2016-06-16,342
2016-06-17,343
2016-06-20,344
2016-06-21,345
2016-06-22,346
2016-06-23,347
2016-06-24,348
2016-06-27,349
2016-06-28,350
2016-06-29,351
2016-06-30,352
2016-07-01,353
2016-07-11,354
2016-07-12,355
2016-07-13,356
2016-07-14,357
2016-07-15,358
2016-07-18,359
2016-07-19,360
2016-07-20,361
2016-07-21,362
2016-07-22,363
2016-07-25,364
2016-07-26,365
2016-07-27,366
2016-07-28,367
2016-07-29,368
2016-08-01,369
2016-08-02,370
2016-08-03,371
2016-08-04,372
2016-08-05,373
2016-08-08,374
2016-08-10,375
2016-08-11,376
2016-08-12,377
2016-08-15,378
2016-08-16,379
2016-08-18,380
2016-08-19,381
2016-08-22,382
2016-08-23,383
2016-08-24,384
2016-08-25,385
2016-08-26,386
2016-08-30,387
2016-08-31,388
2016-09-01,389
2016-09-02,390
2016-09-05,391
2016-09-06,392
2016-09-07,393
2016-09-08,394
2016-09-09,395
2016-09-13,396
2016-09-14,397
2016-09-15,398
2016-09-16,399
2016-09-19,400
2016-09-20,401
2016-09-21,402
2016-09-22,403
2016-09-23,404
2016-09-26,405
2016-09-27,406
2016-09-28,407
2016-09-29,408
2016-09-30,409
2016-10-03,410
2016-10-04,411
2016-10-05,412
2016-10-06,413
2016-10-07,414
2016-10-10,415
2016-10-11,416
2016-10-12,417
2016-10-13,418
2016-10-14,419
2016-10-17,420
2016-10-18,421
2016-10-19,422
2016-10-20,423
2016-10-21,424
2016-10-24,425
2016-10-25,426
2016-10-26,427
2016-10-27,428
2016-10-28,429
2016-10-31,430
2016-11-01,431
